Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Alex Nedeljkovic,,,,,,,,,,,,,,,,,,,,,,,,30.5x1,,,3.5x1
Nathan MacKinnon,,,1.5x1,,,4.5x1,,,,,,,0.5x0.8,0.5sx1.25,,,,0.5x1,,,12.55x1,,,,,,0.5x1
Cale Makar,0.5x0.7,0.5sx1.5,,,,3.0x1,1.5x0.85,1.5sx1.1,,,,,0.5x0.8,0.5sx1.2,,0.5sx1.25,0.5x0.75,,,,9.55x1,,,,0.5sx2.25,,
Mikko Rantanen,1.5sx1.1,1.5x0.85,,,,3.5x1,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.25,0.5x0.8,,,,9.55x1,,,,,,0.5x1
Sidney Crosby,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Casey Mittelstadt,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx3.25,,,,,,,,,0.5sx2.25,,
Evgeni Malkin,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.5,,,,,,,,,0.5sx2.25,,
Erik Karlsson,,,0.5x1,,,2.5x1,,,,,,,,,0.5x1,0.5sx2.25,,,,,,,,,0.5sx3.75,,
Valeri Nichushkin,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.25,0.5x0.8,
Michael Bunting,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2,0.5x0.65,
Bryan Rust,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.25,0.5x0.75,
Jonathan Drouin,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx2.25,,
Devon Toews,0.5sx1.1,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx4.25,,
Kris Letang,0.5sx1.1,0.5x0.9,,,,2.0x1,1.5x0.85,1.5sx1.1,,,,,0.5sx1.25,0.5x0.8,,0.5sx3,,,,,,,,,0.5sx4.5,,
Rickard Rakell,0.5sx1.25,0.5x0.75,,,,2.0x1,,,,,,,0.5sx2.25,,,0.5sx4.25,,,,,,,,,0.5sx2.25,,
Artturi Lehkonen,0.5x0.85,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Lars Eller,0.5sx1.25,0.5x0.75,,1.5x0.85,1.5sx1.2,,,,,,,,0.5sx2,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx2.5,,
Reilly Smith,0.5sx1.25,0.5x0.8,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Noel Acciari,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Drew O'Connor,,,,1.5x0.85,1.5sx1.2,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Valtteri Puustinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Zach Parise,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Brandon Duhaime,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Ross Colton,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Andrew Cogliano,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Yakov Trenin,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Jesse Puljujarvi,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Miles Wood,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Emil Bemstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Marcus Pettersson,,,,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,
Samuel Girard,,,,,,,1.5x0.85,1.5sx1.2,,,,,,,,,,,,,,,,,,,
Ilya Sorokin,,,,,,,,,,,,,,,,,,,,,11.55x1,,,26.5x1,,,2.5x1
Jesper Bratt,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Noah Dobson,0.5x0.9,0.5sx1.1,,2.5sx1.1,2.5x0.9,,1.5x0.8,1.5sx1.2,,,,,,,0.5x1,0.5sx2.25,,,,,7.05x1,,,,0.5sx3.25,,
Mathew Barzal,1.5sx1.5,1.5x0.7,,,,2.5x1,,,,,,,0.5x0.9,0.5sx1.05,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Jack Hughes,1.5sx1.25,1.5x0.8,,,,4.0x1,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,10.05x1,,,,0.5sx1.1,0.5x0.85,
Bo Horvat,0.5x0.8,0.5sx1.2,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.25,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Brock Nelson,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.25,0.5x0.75,
Nico Hischier,0.5x0.8,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Kyle Palmieri,0.5x0.9,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx1.5,0.5x0.7,
Timo Meier,0.5x0.85,0.5sx1.1,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,8.55x1,,,,0.5sx1.25,0.5x0.75,
Erik Haula,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.25,,
Anders Lee,0.5sx1.1,0.5x0.85,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx2,0.5x0.65,
Pierre Engvall,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.75,,,,,,,,,0.5sx2.5,,
Dawson Mercer,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx2,,,,,,,,,,,,0.5sx2.5,,
Luke Hughes,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx4.25,,
Ondrej Palat,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Jean-Gabriel Pageau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Mike Reilly,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Kyle MacLean,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
