Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Alex Lyon,,,,,,,,,,,,,,,,,,,,,9.05x1,,,29.5x1,3.5sx1.1,3.5x0.85,
Filip Forsberg,0.5x0.75,0.5sx1.25,,3.5x0.85,3.5sx1.1,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,9.55x1,,,,0.5sx1.2,0.5x0.85,
Roman Josi,0.5x0.85,0.5sx1.2,,3.5sx1.1,3.5x0.85,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx2.5,,
Dylan Larkin,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Alex DeBrincat,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx1.75,0.5x0.65,
Ryan O'Reilly,0.5x0.9,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Lucas Raymond,0.5sx1.1,0.5x0.9,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx1.75,0.5x0.65,
Gustav Nyquist,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx2,0.5x0.65,
J.T. Compher,0.5sx1.1,0.5x0.9,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2.75,,
Shayne Gostisbehere,,,,,,,,,,,,,,,,0.5sx3.25,,,,,,,,,,,
David Perron,0.5sx1.25,0.5x0.8,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2.5,,
Tommy Novak,0.5sx1.1,0.5x0.9,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.5,,
Jason Zucker,0.5sx1.2,0.5x0.85,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx2.25,,
Luke Evangelista,,,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.25,,,,,,,,,0.5sx2,0.5x0.65,
Anthony Beauvillier,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Moritz Seider,0.5sx1.25,0.5x0.8,,,,,,,2.5x1,,,,0.5sx1.25,0.5x0.75,,0.5sx4,,,,,,,,,,,
Patrick Kane,0.5x0.8,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Andrew Copp,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Michael McCarron,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Robby Fabbri,,,,,,,,,,,,,,,,0.5sx3.75,,,,,,,,,0.5sx2.75,,
Christian Fischer,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Mark Jankowski,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Kiefer Sherwood,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Joe Veleno,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Cole Smith,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Ryan McDonagh,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,0.5sx6,,
Colton Sissons,,,,,,,,,,,,,,,,0.5sx4.75,,,,,,,,,0.5sx2.75,,
Michael Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Tyson Barrie,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Ben Chiarot,,,,,,,2.5sx1.1,2.5x0.85,,,,,,,,,,,,,,,,,,,
Jake Allen,,,,,,,,,,,,,,,,,,,,,13.05x1,,,28.5x1,2.5x0.85,2.5sx1.1,
Jesper Bratt,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.5,0.5x0.7,
Tim Stutzle,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Jack Hughes,1.5sx1.2,1.5x0.8,,,,4.0x1,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.8,,,,9.55x1,,,,0.5sx1.1,0.5x0.85,
Claude Giroux,0.5x0.85,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.75,,,,,,,,,0.5sx2,0.5x0.65,
Brady Tkachuk,0.5x0.75,0.5sx1.25,,,,4.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,11.05x1,,,,0.5sx1.1,0.5x0.85,
Drake Batherson,0.5x0.9,0.5sx1.1,,2.5x0.9,2.5sx1.05,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Nico Hischier,0.5x0.8,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Timo Meier,0.5x0.85,0.5sx1.1,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Thomas Chabot,0.5sx1.1,0.5x0.85,,2.5sx1.25,2.5x0.8,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx4,,
Jakob Chychrun,0.5sx1.1,0.5x0.85,,2.5x0.9,2.5sx1.1,,,,2.0x1,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,7.05x1,,,,0.5sx3.5,,
Jake Sanderson,0.5sx1.1,0.5x0.85,,,,2.0x1,1.5x0.8,1.5sx1.25,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx4.25,,
Shane Pinto,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.25,,,,,,,,,0.5sx2,0.5x0.65,
Ondrej Palat,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx3,,
Dawson Mercer,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2,,
Erik Haula,0.5sx1.1,0.5x0.9,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx5,,,,,,,,,0.5sx2,,
Luke Hughes,0.5sx1.05,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx4.25,,
Mathieu Joseph,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Dominik Kubalik,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Angus Crookshank,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Ridly Greig,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Tomas Nosek,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Parker Kelly,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Boris Katchouk,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Mark Kastelic,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Curtis Lazar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Simon Nemec,,,,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,0.5sx4.75,,
Alexander Holtz,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Ilya Samsonov,,,,,,,,,,,,,,,,,,,,,9.55x1,,,27.5x1,,,3.0x1
Stuart Skinner,,,,,,,,,,,,,,,,,,,,,12.05x1,,,27.5x1,2.5x0.85,2.5sx1.1,
Connor McDavid,,,1.5x1,,,3.5x1,,,,,,,1.5sx1.25,1.5x0.75,,,,0.5x1,,,10.55x1,,,,0.5sx1.1,0.5x0.85,
Auston Matthews,1.5sx1.25,1.5x0.8,,,,4.0x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,10.05x1,,,,,,0.5x1
Leon Draisaitl,1.5sx1.25,1.5x0.75,,2.5x0.9,2.5sx1.1,,,,,,,,0.5x0.9,0.5sx1.05,,0.5sx1.25,0.5x0.8,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
William Nylander,1.5sx1.2,1.5x0.8,,,,3.5x1,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.25,0.5x0.8,,,,9.05x1,,,,0.5sx1.25,0.5x0.8,
Evan Bouchard,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx2.75,,
Zach Hyman,0.5x0.8,0.5sx1.25,,3.5sx1.05,3.5x0.9,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.2,0.5x0.8,
Ryan Nugent-Hopkins,0.5x0.85,0.5sx1.2,,,,2.0x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx2,,
Morgan Rielly,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,,,,,0.5sx4.75,,
John Tavares,0.5x0.9,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Adam Henrique,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Evander Kane,0.5sx1.1,0.5x0.85,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2,,
Tyler Bertuzzi,0.5sx1.05,0.5x0.9,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx2,0.5x0.65,
Max Domi,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,,,,,0.5sx2.5,,
Darnell Nurse,,,,,,2.0x1,2.5sx1.1,2.5x0.85,,,,,,,,,,,,,,,,,0.5sx5.25,,
Nicholas Robertson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Matthew Knies,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Mattias Ekholm,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Mattias Janmark,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Connor Dewar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Sam Carrick,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Ryan McLeod,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Warren Foegele,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Pontus Holmberg,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Connor Brown,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Bobby McMann,,,,2.5sx1.1,2.5x0.9,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
Noah Gregor,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
David Kampf,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Timothy Liljegren,,,,,,,,,2.0x1,,,,,,,0.5sx4.5,,,,,,,,,,,
Jake McCabe,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Vincent Desharnais,,,,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Sergei Bobrovsky,,,,,,,,,,,,,,,,,,,,,11.55x1,,,27.5x1,2.5x0.9,2.5sx1.1,
Igor Shesterkin,,,,,,,,,,,,,,,,,,,,,12.05x1,,,27.5x1,2.5x0.85,2.5sx1.1,
Artemi Panarin,1.5sx1.25,1.5x0.75,,,,3.0x1,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Sam Reinhart,0.5x0.75,0.5sx1.25,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
Matthew Tkachuk,1.5sx1.25,1.5x0.75,,,,3.0x1,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Carter Verhaeghe,0.5x0.8,0.5sx1.2,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
