Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Charlie Lindgren,,,,,,,,,,,,,,,,,,,,,11.05x1,,,27.5x1,,,3.0x1
Auston Matthews,1.5sx1.25,1.5x0.8,,4.5sx1.05,4.5x0.9,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.25,0.5x0.75,,,,11.05x1,,,,,,0.5x1
Alex Ovechkin,0.5x0.8,0.5sx1.25,,3.5sx1.1,3.5x0.9,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx1.5,0.5x0.7,
William Nylander,1.5sx1.1,1.5x0.9,,,,3.5x1,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.2,0.5x0.8,,,,9.05x1,,,,0.5sx1.1,0.5x0.85,
Morgan Rielly,,,0.5x1,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx2,,,,,7.55x1,,,,0.5sx4,,
Dylan Strome,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx2,,
John Tavares,0.5x0.9,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Joseph Woll,,,,,,,,,,,,,,,,,,,,,11.05x1,,,26.5x1,,,2.5x1
Max Pacioretty,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2.5,,
John Carlson,,,0.5x1,,,2.0x1,2.5sx1.1,2.5x0.85,,,,,,,0.5x1,0.5sx2,0.5x0.65,,,,7.05x1,,,,0.5sx4.25,,
T.J. Oshie,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2.25,,
Tyler Bertuzzi,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx1.75,0.5x0.65,
Tom Wilson,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx2.25,,
Max Domi,0.5sx1.1,0.5x0.85,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx5,,,,,,,,,0.5sx2.5,,
Connor McMichael,0.5sx1.2,0.5x0.8,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
