Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Eetu Luostarinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Dominik Kubalik,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Ridly Greig,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Nick Cousins,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Mathieu Joseph,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Ryan Lomberg,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Kevin Stenlund,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Gustav Forsling,,,,,,2.0x1,,,1.5x1,,,,,,,,,,,,,,,,0.5sx5,,
Jake Sanderson,,,,,,,,,,,,,,,,0.5sx4.25,,,,,,,,,,,
Alex Nedeljkovic,,,,,,,,,,,,,,,,,,,,,12.55x1,,,27.5x1,,,2.5x1
Ilya Sorokin,,,,,,,,,,,,,,,,,,,,,12.55x1,,,29.5x1,2.5x0.85,2.5sx1.1,
Sidney Crosby,1.5sx1.25,1.5x0.75,,,,3.5x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,9.05x1,,,,0.5sx1.2,0.5x0.8,
Evgeni Malkin,0.5x0.8,0.5sx1.25,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.5,0.5x0.7,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Erik Karlsson,0.5x0.8,0.5sx1.25,,,,2.5x1,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.5,0.5x0.7,,,,7.05x1,,,,0.5sx3.25,,
Rickard Rakell,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx2,0.5x0.65,
Kris Letang,,,0.5x1,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.75,,,,,7.05x1,,,,0.5sx3.75,,
Bryan Rust,0.5x0.85,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Lars Eller,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.5,,,,,,,,,0.5sx2.5,,
Kyle Palmieri,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Bo Horvat,0.5x0.8,0.5sx1.25,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,,,,,7.05x1,,,,0.5sx1.25,0.5x0.75,
Mathew Barzal,0.5x0.7,0.5sx1.5,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Brock Nelson,0.5x0.9,0.5sx1.1,,2.5x0.9,2.5x1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Pierre Engvall,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Reilly Smith,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.5,,
Anders Lee,0.5sx1.25,0.5x0.8,,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx2.25,,,,,,,,,,,,0.5sx2,0.5x0.65,
Noah Dobson,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx2.25,,,,,7.05x1,,,,0.5sx4,,
Jeff Carter,,,,,,,,,,,,,,,,0.5sx5.25,,,,,,,,,0.5sx3.25,,
Matthew Phillips,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Valtteri Puustinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Casey Cizikas,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Jean-Gabriel Pageau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Ryan Pulock,,,,,,,2.5x1,2.5x0.9,,,,,,,,,,,,,,,,,0.5sx6,,
Jesse Puljujarvi,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Simon Holmstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Drew O'Connor,,,,1.5x0.8,1.5sx1.25,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Matt Martin,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Oliver Wahlstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Mike Reilly,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,,,
Scott Mayfield,,,,,,,,,2.5x1,,,,,,,,,,,,,,,,,,
Marcus Pettersson,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Ryan Graves,,,,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Marc-Andre Fleury,,,,,,,,,,,,,,,,,,,,,11.05x1,,,27.5x1,,,3.0x1
Laurent Brossoit,,,,,,,,,,,,,,,,,,,,,11.55x1,,,25.5x1,,,2.5x1
Kirill Kaprizov,1.5sx1.5,1.5x0.7,,,,3.5x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,9.05x1,,,,0.5sx1.25,0.5x0.8,
Kyle Connor,0.5x0.7,0.5sx1.5,,3.5sx1.1,3.5x0.85,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Nikolaj Ehlers,,,0.5x1,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Joel Eriksson Ek,0.5x0.8,0.5sx1.2,,3.5sx1.1,3.5x0.85,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,9.05x1,,,,0.5sx1.5,0.5x0.7,
Josh Morrissey,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,,,,,7.05x1,,,,0.5sx3.75,,
Matt Boldy,0.5x0.8,0.5sx1.2,,3.5sx1.1,3.5x0.85,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Mats Zuccarello,0.5x0.8,0.5sx1.25,,1.5x0.8,1.5sx1.25,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx2,,
Mark Scheifele,0.5x0.8,0.5sx1.25,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Ryan Hartman,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx2.25,,
Alex Iafallo,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Nino Niederreiter,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Gabriel Vilardi,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.25,,,,,5.55x1,,,,0.5sx1.75,0.5x0.65,
Adam Lowry,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3,,
Sean Monahan,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,,,,,,,,,0.5sx2,0.5x0.65,
Marco Rossi,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx2,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx2.75,,
Cole Perfetti,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,,,,,0.5sx2.5,,
Brock Faber,0.5x1,0.5x0.9,,,,,,,2.0x1,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,6.55x1,,,,0.5sx4.75,,
Marcus Johansson,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx3,,
Vladislav Namestnikov,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Mason Appleton,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Frederick Gaudreau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Morgan Barron,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Brandon Duhaime,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Neal Pionk,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Connor Dewar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Jonas Brodin,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Jake Middleton,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Dylan Samberg,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Alexandar Georgiev,,,,,,,,,,,,,,,,,,,,,11.05x1,,,25.5x1,,,2.5x1
Thatcher Demko,,,,,,,,,,,,,,,,,,,,,9.05x1,,,27.5x1,,,3.0x1
Nathan MacKinnon,,,1.5x1,,,4.5x1,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.1,0.5x0.9,,,,11.05x1,,,,,,0.5x1
Elias Pettersson,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
J.T. Miller,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Mikko Rantanen,1.5sx1.1,1.5x0.85,,,,3.5x1,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.1,0.5x0.85,,,,9.55x1,,,,,,0.5x1
Brock Boeser,0.5x0.9,0.5x1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,0.5x0.65,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Cale Makar,0.5x0.7,0.5sx1.5,,,,3.0x1,1.5x0.85,1.5sx1.1,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,8.55x1,,,,0.5sx2.25,,
Artturi Lehkonen,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Quinn Hughes,0.5x0.8,0.5sx1.2,,,,2.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,6.05x1,,,,0.5sx3.75,,
Elias Lindholm,,,0.5x1,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,6.55x1,,,,0.5sx2,0.5x0.65,
Conor Garland,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Bowen Byram,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Devon Toews,0.5sx1.2,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4.75,,,,,,,,,0.5sx4.5,,
Jonathan Drouin,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx2,,
Ross Colton,0.5sx1.25,0.5x0.8,,,,2.0x1,,,,,,,0.5sx2.25,,,,,,,,,,,,0.5sx2.25,,
Filip Hronek,0.5sx1.1,0.5x0.9,,1.5x0.9,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx3.25,,,,,5.05x1,,,,0.5sx5.75,,
Andrew Cogliano,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Chris Wagner,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Ryan Johansen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Miles Wood,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Teddy Blueger,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Pius Suter,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Sam Lafferty,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Zach Parise,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Ilya Mikheyev,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Nils Hoglander,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Arshdeep Bains,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Ian Cole,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Tyler Myers,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Samuel Girard,,,,,,,1.5x0.9,1.5x1,,,,,,,,,,,,,,,,,,,
Adin Hill,,,,,,,,,,,,,,,,,,,,,12.55x1,,,27.5x1,,,2.5x1
Roman Josi,0.5x0.85,0.5sx1.1,,,,3.0x1,1.5x0.9,1.5sx1.1,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx2.75,,
Jonathan Marchessault,0.5x0.85,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Filip Forsberg,0.5x0.75,0.5sx1.25,,,,3.5x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,9.05x1,,,,0.5sx1.2,0.5x0.8,
Ryan O'Reilly,0.5x0.85,0.5sx1.1,,2.5x1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Mark Stone,0.5x0.85,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Tommy Novak,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx2.25,,
Shea Theodore,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx3.25,,
Luke Evangelista,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Cody Glass,,,,,,2.0x1,,,,,,,,,,0.5sx4.5,,,,,,,,,0.5sx2.75,,
Alex Pietrangelo,,,0.5x1,,,2.0x1,1.5x0.85,1.5sx1.2,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.25,,,,,7.05x1,,,,0.5sx4.5,,
