Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Charlie Lindgren,,,,,,,,,,,,,,,,,,,,,9.55x1,,,27.5x1,,,3.0x1
Jack Hughes,1.5sx1.25,1.5x0.8,,,,4.0x1,,,,,,,0.5x0.9,0.5x1,,0.5sx1.25,0.5x0.8,,,,9.55x1,,,,0.5sx1.1,0.5x0.85,
Alex Ovechkin,0.5x0.75,0.5sx1.25,,3.5sx1.1,3.5x0.85,,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.5,0.5x0.7,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Max Pacioretty,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx2,0.5x0.65,
Timo Meier,0.5x1,0.5x0.9,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
John Carlson,0.5x0.8,0.5sx1.25,,,,2.5x1,,,2.5x1,,,,0.5x0.9,0.5x1,,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx3.5,,
T.J. Oshie,0.5sx1.1,0.5x0.85,,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.75,,,,,,,,,0.5sx1.75,0.5x0.65,
Tyler Toffoli,0.5x0.85,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Nico Hischier,0.5x0.8,0.5sx1.2,,2.5x0.9,2.5x1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Tom Wilson,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,6.55x1,,,,0.5sx2.25,,
Jesper Bratt,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,0.5x1,0.5x0.9,,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Erik Haula,0.5sx1.2,0.5x0.8,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Dylan Strome,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Luke Hughes,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx4.25,,
Ondrej Palat,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.75,,,,,,,,,0.5sx2.5,,
Nic Dowd,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Curtis Lazar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Anthony Mantha,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Sonny Milano,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Nathan Bastian,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Connor McMichael,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Dawson Mercer,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Beck Malenstyn,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Aliaksei Protas,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Alexander Holtz,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Michael Sgarbossa,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Nick Jensen,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Simon Nemec,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Kevin Bahl,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Igor Shesterkin,,,,,,,,,,,,,,,,,,,,,12.05x1,,,26.5x1,,,2.5x1
Scott Wedgewood,,,,,,,,,,,,,,,,,,,,,9.55x1,,,27.5x1,,,3.0x1
Mika Zibanejad,0.5x0.8,0.5sx1.2,,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Jason Robertson,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx2,0.5x0.65,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Roope Hintz,0.5x0.85,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,6.05x1,,,,0.5sx1.5,0.5x0.7,
Chris Kreider,0.5x0.8,0.5sx1.25,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
Artemi Panarin,1.5sx1.2,1.5x0.8,,,,3.0x1,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.25,0.5x0.8,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Tyler Seguin,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,5.55x1,,,,0.5sx2,,
Vincent Trocheck,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx1.5,0.5x0.7,
Miro Heiskanen,,,,,,,,,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,0.5sx4,,
Adam Fox,0.5x0.85,0.5sx1.1,,1.5x0.85,1.5sx1.1,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,6.05x1,,,,0.5sx5,,
Joe Pavelski,0.5x0.9,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Jamie Benn,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2.5,,
Jacob Trouba,,,,1.5x0.8,1.5sx1.2,,,,2.0x1,,,,,,,,,,,,6.55x1,,,,,,
Wyatt Johnston,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx1.75,0.5x0.65,
Alexis Lafreniere,0.5sx1.1,0.5x0.9,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Jonny Brodzinski,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Kaapo Kakko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Adam Sykora,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Will Cuylle,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Craig Smith,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Ty Dellandrea,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Mason Marchment,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
Adam Edstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Sam Steel,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Radek Faksa,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Jimmy Vesey,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Thomas Harley,,,,,,2.0x1,1.5x0.9,1.5sx1.1,,,,,,,,0.5sx4.25,,,,,,,,,0.5sx3.25,,
Esa Lindell,,,,,,,1.5x0.9,1.5x1,,,,,,,,,,,,,,,,,,,
Sergei Bobrovsky,,,,,,,,,,,,,,,,,,,,,13.05x1,,,27.5x1,,,2.5x1
Brady Tkachuk,0.5x0.9,0.5x1,,,,3.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2,0.5x0.65,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Matthew Tkachuk,,,,,,3.0x1,,,,,,,,,,0.5sx1.25,0.5x0.75,,,,8.55x1,,,,0.5sx1.5,0.5x0.7,
Sam Bennett,0.5sx1.1,0.5x0.9,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,6.55x1,,,,0.5sx2.25,,
Tim Stutzle,0.5x0.9,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.5,,,,,5.55x1,,,,0.5sx2,0.5x0.65,
Brandon Montour,0.5sx1.1,0.5x0.9,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx3.5,,
Thomas Chabot,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx4.5,,
Carter Verhaeghe,0.5x0.75,0.5sx1.25,,3.5sx1.1,3.5x0.9,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
Drake Batherson,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,5.05x1,,,,0.5sx2,,
Vladimir Tarasenko,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Aleksander Barkov,1.5sx1.5,1.5x0.7,,,,2.5x1,,,,,,,0.5x0.8,0.5sx1.2,,0.5sx1.25,0.5x0.75,,,,7.55x1,,,,0.5sx2,0.5x0.65,
Sam Reinhart,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.1,0.5x0.85,
Claude Giroux,0.5x0.9,0.5sx1.1,,2.5x1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Aaron Ekblad,0.5sx1.25,0.5x0.75,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.5,,,,,,,,,0.5sx4.75,,
Jakob Chychrun,0.5sx1.25,0.5x0.8,,2.5sx1.1,2.5x0.85,,1.5x0.85,1.5sx1.1,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,6.55x1,,,,0.5sx4,,
Evan Rodrigues,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.5,,
Josh Norris,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.75,,,,,,,,,0.5sx2,,
Anton Lundell,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Shane Pinto,0.5sx1.2,0.5x0.85,,,,2.0x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.5,,,,,,,,,0.5sx2.25,,
Jonah Gadjovich,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
