Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Laurent Brossoit,,,,,,,,,,,,,,,,,,,,,,,,26.5x1,,,2.5x1
Jake Allen,,,,,,,,,,,,,,,,,,,,,,,,27.5x1,,,3.0x1
Jesper Bratt,0.5x0.8,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx2.25,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Jack Hughes,1.5sx1.25,1.5x0.75,,3.5x0.9,3.5sx1.1,,,,,,,,0.5x0.9,0.5sx1.05,,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx1.25,0.5x0.75,
Mark Scheifele,0.5x0.8,0.5sx1.25,,,,2.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,,,,,,,,,0.5sx1.5,0.5x0.7,
Sean Monahan,,,0.5x1,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx2,,
Nikolaj Ehlers,0.5sx1.05,0.5x0.9,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx2,0.5x0.65,
Kyle Connor,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Nico Hischier,0.5x0.85,0.5sx1.1,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Josh Morrissey,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,,,0.5x1,0.5sx2.25,,,,,7.05x1,,,,0.5sx3.75,,
Tyler Toffoli,,,0.5x1,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Timo Meier,0.5x0.85,0.5sx1.1,,,,3.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,8.55x1,,,,0.5sx1.25,0.5x0.75,
Alex Iafallo,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.5,,
Nino Niederreiter,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.25,,
Erik Haula,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.25,,
Adam Lowry,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.75,,
Dawson Mercer,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Luke Hughes,0.5sx1.2,0.5x0.8,,,,1.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx5.25,,
Ondrej Palat,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Vladislav Namestnikov,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Curtis Lazar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Tomas Nosek,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Mason Appleton,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Neal Pionk,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
