Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Nathan MacKinnon,1.5x0.9,1.5sx1.05,,,,4.5x1,,,,,,,0.5x0.75,0.5sx1.25,,,,0.5x1,,,11.05x1,,,,,,0.5x1
Mikko Rantanen,1.5sx1.1,1.5x0.9,,,,3.5x1,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.1,0.5x0.85,,,,10.05x1,,,,,,0.5x1
Cale Makar,1.5sx1.25,1.5x0.75,,,,3.0x1,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.2,0.5x0.8,,,,9.05x1,,,,0.5sx2.25,,
Dylan Larkin,0.5x0.8,0.5sx1.2,,2.5x0.9,2.5sx1.05,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Alex DeBrincat,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Lucas Raymond,,,0.5x1,,,1.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2.25,,
Daniel Sprong,,,,2.5sx1.25,2.5x0.8,,,,,,,,,,,0.5sx4.25,,,,,,,,,0.5sx2.5,,
Jonathan Drouin,0.5x0.9,0.5sx1.05,,,,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,,,,,,,,,0.5sx2,0.5x0.65,
J.T. Compher,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx2.5,,
Devon Toews,0.5sx1.1,0.5x0.85,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4,,,,,,,,,0.5sx4.5,,
Shayne Gostisbehere,,,,,,,,,,,,,,,,0.5sx3.25,,,,,,,,,,,
