Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Ukko-Pekka Luukkonen,,,,,,,,,,,,,,,,,,,,,11.55x1,,,26.5x1,2.5x0.9,2.5sx1.1,
Daniil Tarasov,,,,,,,,,,,,,,,,,,,,,9.55x1,,,28.5x1,,,3.0x1
Casey Mittelstadt,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.25,,,,,,,,,0.5sx2.25,,
Rasmus Dahlin,0.5x0.7,0.5sx1.5,,,,3.0x1,1.5x0.8,1.5sx1.25,,,,,0.5x0.8,0.5sx1.2,,0.5sx1.25,0.5x0.75,,,,,,,,0.5sx2.25,,
Johnny Gaudreau,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx2,,
Alex Tuch,0.5x0.8,0.5sx1.2,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
JJ Peterka,,,0.5x1,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.5,,,,,5.55x1,,,,0.5sx1.75,0.5x0.65,
Jeff Skinner,,,0.5x1,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Dylan Cozens,0.5x0.9,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Tage Thompson,0.5x0.8,0.5sx1.2,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx1.25,0.5x0.75,
Boone Jenner,0.5x0.9,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,,,,,0.5sx1.25,0.5x0.75,
Kirill Marchenko,0.5sx1.1,0.5x0.85,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.25,,,,,,,,,0.5sx2,,
Ivan Provorov,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,,,
Zach Werenski,,,0.5x1,,,3.0x1,1.5x0.9,1.5sx1.1,,,,,0.5sx1.1,0.5x0.9,,0.5sx2,,,,,7.55x1,,,,0.5sx3.75,,
Jack Roslovic,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx3,,
Dmitri Voronkov,0.5sx1.25,0.5x0.8,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx2,,,0.5sx4.5,,,,,,,,,0.5sx2.5,,
