Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Robert Thomas,0.5x0.75,0.5sx1.25,,2.5sx1.25,2.5x0.8,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx1.75,0.5x0.65,
Jonathan Marchessault,0.5x0.85,0.5sx1.1,,3.5sx1.1,3.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Jack Eichel,1.5sx1.25,1.5x0.75,,,,4.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,9.55x1,,,,0.5sx1.25,0.5x0.8,
Jordan Kyrou,0.5x0.9,0.5sx1.05,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx1.5,0.5x0.7,
Pavel Buchnevich,0.5x0.85,0.5sx1.2,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,,,,,0.5sx1.75,0.5x0.65,
William Karlsson,0.5x0.9,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.75,,,,,,,,,0.5sx1.75,0.5x0.65,
Ivan Barbashev,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Kevin Hayes,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Justin Faulk,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.75,,,,,,,,,0.5sx5.5,,
Shea Theodore,,,0.5x1,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx4.25,,
Noah Hanifin,0.5sx1.25,0.5x0.8,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,,,,,0.5sx4.25,,
Brayden Schenn,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx2.25,,
Chandler Stephenson,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.75,,,,,,,,,0.5sx2.25,,
Nicolas Roy,0.5sx1.1,0.5x0.85,,1.5x0.9,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.75,,,,,,,,,0.5sx2.75,,
Jake Neighbours,0.5sx1.05,0.5x0.9,,1.5x0.8,1.5sx1.25,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx1.75,0.5x0.65,
Brandon Saad,,,,,,,,,,,,,,,,0.5sx5,,,,,,,,,0.5sx2.25,,
Torey Krug,,,,1.5x0.8,1.5sx1.25,,,,,,,,,,,0.5sx3.5,,,,,,,,,0.5sx5.5,,
Anthony Mantha,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
William Carrier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Michael Amadio,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Keegan Kolesar,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Brett Howden,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Alexey Toropchenko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Pavel Dorofeyev,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Zack Bolduc,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Kasperi Kapanen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
J.T. Miller,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx1.5,0.5x0.7,
Elias Pettersson,0.5x0.75,0.5sx1.25,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Brock Boeser,0.5x0.9,0.5sx1.1,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,0.5x0.65,,,,,,,,0.5sx1.75,0.5x0.65,
Quinn Hughes,0.5x0.8,0.5sx1.25,,2.5sx1.1,2.5x0.85,,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx3.5,,
Adrian Kempe,0.5x0.85,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Anze Kopitar,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx2,,
Kevin Fiala,0.5x0.85,0.5sx1.1,,2.5x0.9,2.5sx1.05,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2,0.5x0.65,,,,,,,,0.5sx1.5,0.5x0.7,
Filip Hronek,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx3.25,,,,,,,,,,,
Trevor Moore,0.5sx1.05,0.5x0.9,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx1.75,0.5x0.65,
