Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Elias Lindholm,0.5sx1.2,0.5x0.85,,,,1.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx2.5,,
Phillip Danault,0.5sx1.05,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,,,,,0.5sx2.25,,
Pierre-Luc Dubois,0.5sx1.25,0.5x0.75,,,,1.5x1,,,,,,,0.5sx2.25,,,0.5sx5,,,,,,,,,0.5sx2.5,,
Viktor Arvidsson,0.5sx1.05,0.5x0.9,,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx2,,
Conor Garland,0.5sx1.25,0.5x0.8,,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Drew Doughty,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx4.25,,
Trevor Lewis,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Teddy Blueger,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Pius Suter,,,,,,,,,,,,,,,,0.5sx5,,,,,,,,,0.5sx2.75,,
Sam Lafferty,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Blake Lizotte,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Alex Laferriere,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Nils Hoglander,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Vasily Podkolzin,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Ilya Mikheyev,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
