Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Anders Lee,,,,,,,,,,,-188,2.5
Jeff Carter,,,,,,,,,,,,
Drew O'Connor,,,,,,,,,,,123,1.5
Jesse Puljujarvi,,,,,,,,,,,,
Valtteri Puustinen,,,,,,,,,,,,
Simon Holmstrom,,,,,,,,,,,,
Matthew Phillips,,,,,,,,,,,,
Casey Cizikas,,,,,,,,,,,,
Colin White,,,,,,,,,,,,
Mike Reilly,,,,,,,,,,,108,1.5
Cal Clutterbuck,,,,,,,,,,,,
Marcus Pettersson,,,,,,,,,,,,
Alexander Romanov,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,
Ryan Graves,,,,,,,,,,,,
Scott Mayfield,,,,,,,,,,,,
Chad Ruhwedel,,,,,,,,,,,,
John Ludvig,,,,,,,,,,,,
Kirill Kaprizov,-120,,0.5,,,,,,,,-127,3.5
Kyle Connor,-115,,0.5,,,,-270,,0.5,,-161,3.5
Josh Morrissey,105,,0.5,,,,-126,,0.5,,-133,2.5
Mark Scheifele,109,,0.5,,,,-195,,0.5,,-149,2.5
Joel Eriksson Ek,122,,0.5,,,,-190,,0.5,,-155,3.5
Brock Faber,125,,0.5,,,,-102,,0.5,,,
Matt Boldy,128,,0.5,,,,-180,,0.5,,-158,3.5
Sean Monahan,145,,0.5,,,,-130,,0.5,,-198,2.5
Nikolaj Ehlers,185,,0.5,,,,-116,,0.5,,108,2.5
Marcus Johansson,200,,0.5,,,,124,,0.5,,,
Cole Perfetti,200,,0.5,,,,113,,0.5,,113,1.5
Gabriel Vilardi,205,,0.5,,,,-111,,0.5,,-198,2.5
Adam Lowry,205,,0.5,,,,127,,0.5,,,
Nino Niederreiter,235,,0.5,,,,125,,0.5,,123,1.5
Marco Rossi,245,,0.5,,,,135,,0.5,,,
Ryan Hartman,,,,,,,,,,,133,1.5
Mason Appleton,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,
Vladislav Namestnikov,,,,,,,,,,,,
Frederick Gaudreau,,,,,,,,,,,,
Neal Pionk,,,,,,,,,,,108,1.5
Morgan Barron,,,,,,,,,,,,
Jonas Brodin,,,,,,,,,,,,
Brandon Duhaime,,,,,,,,,,,,
Connor Dewar,,,,,,,,,,,,
Vinni Lettieri,,,,,,,,,,,,
Jacob Lucchini,,,,,,,,,,,,
Nate Schmidt,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,,,,
Declan Chisholm,,,,,,,,,,,,
Dylan Samberg,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,
Jake Middleton,,,,,,,,,,,,
Zach Bogosian,,,,,,,,,,,,
Jon Merrill,,,,,,,,,,,,
Nathan MacKinnon,-195,,0.5,,,,,,,,-135,4.5
Cale Makar,-170,,0.5,,,,-250,,0.5,,-188,3.5
Quinn Hughes,-150,,0.5,,,,-190,,0.5,,-208,2.5
Mikko Rantanen,-145,,0.5,,,,,,,,-121,3.5
J.T. Miller,-117,,0.5,,,,-235,,0.5,,-143,2.5
Elias Pettersson,-111,,0.5,,,,-225,,0.5,,-137,2.5
Filip Hronek,125,,0.5,,,,102,,0.5,,102,1.5
Jonathan Drouin,140,,0.5,,,,-125,,0.5,,,
Elias Lindholm,145,,0.5,,,,-130,,0.5,,-178,2.5
Brock Boeser,150,,0.5,,,,-145,,0.5,,-164,2.5
Artturi Lehkonen,150,,0.5,,,,-135,,0.5,,-198,2.5
Devon Toews,160,,0.5,,,,118,,0.5,,110,1.5
Ross Colton,280,,0.5,,,,135,,0.5,,-188,2.5
Conor Garland,,,,,,,,,,,-193,2.5
Pius Suter,,,,,,,,,,,,
Nils Hoglander,,,,,,,,,,,,
Miles Wood,,,,,,,,,,,-188,2.5
Zach Parise,,,,,,,,,,,,
Ilya Mikheyev,,,,,,,,,,,,
Ryan Johansen,,,,,,,,,,,,
Teddy Blueger,,,,,,,,,,,,
Sam Lafferty,,,,,,,,,,,,
Chris Wagner,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,
Phillip Di Giuseppe,,,,,,,,,,,,
Andrew Cogliano,,,,,,,,,,,,
Fredrik Olofsson,,,,,,,,,,,,
Joel Kiviranta,,,,,,,,,,,,
Samuel Girard,,,,,,,,,,,,
Nils Aman,,,,,,,,,,,,
Josh Manson,,,,,,,,,,,,
Nikita Zadorov,,,,,,,,,,,,
Tyler Myers,,,,,,,,,,,,
Ian Cole,,,,,,,,,,,,
Jack Johnson,,,,,,,,,,,,
Noah Juulsen,,,,,,,,,,,,
Roman Josi,-108,,0.5,,,,-155,,0.5,,-183,3.5
William Karlsson,110,,0.5,,,,-175,,0.5,,-131,2.5
Mark Stone,110,,0.5,,,,-170,,0.5,,-183,2.5
Filip Forsberg,112,,0.5,,,,-245,,0.5,,-108,3.5
Alex Pietrangelo,118,,0.5,,,,-108,,0.5,,-198,2.5
Chandler Stephenson,127,,0.5,,,,-129,,0.5,,,
Ryan O'Reilly,130,,0.5,,,,-160,,0.5,,-149,2.5
Gustav Nyquist,160,,0.5,,,,-104,,0.5,,104,1.5
Jonathan Marchessault,170,,0.5,,,,-160,,0.5,,-178,3.5
Nicolas Roy,180,,0.5,,,,106,,0.5,,-107,1.5
Ivan Barbashev,215,,0.5,,,,106,,0.5,,-102,1.5
Tommy Novak,230,,0.5,,,,119,,0.5,,,
Michael Amadio,,,,,,,,,,,,
Colton Sissons,,,,,,,,,,,,
Cody Glass,,,,,,,,,,,127,1.5
Paul Cotter,,,,,,,,,,,,
Luke Evangelista,,,,,,,,,,,,
Yakov Trenin,,,,,,,,,,,,
Mason Morelli,,,,,,,,,,,,
Michael McCarron,,,,,,,,,,,,
Brett Howden,,,,,,,,,,,,
Cole Smith,,,,,,,,,,,,
Kiefer Sherwood,,,,,,,,,,,,
Keegan Kolesar,,,,,,,,,,,,
Byron Froese,,,,,,,,,,,,
Alec Martinez,,,,,,,,,,,,
Ryan McDonagh,,,,,,,,,,,,
Jeremy Lauzon,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,
Brayden McNabb,,,,,,,,,,,,
Zach Whitecloud,,,,,,,,,,,,
Luke Schenn,,,,,,,,,,,,
Dante Fabbro,,,,,,,,,,,,
Kevin Fiala,-116,,0.5,,,,-205,,0.5,,-107,2.5
Anze Kopitar,100,,0.5,,,,-175,,0.5,,,
Adrian Kempe,109,,0.5,,,,-200,,0.5,,-152,3.5
Viktor Arvidsson,111,,0.5,,,,-185,,0.5,,-146,3.5
Zach Werenski,117,,0.5,,,,-108,,0.5,,-108,2.5
Quinton Byfield,119,,0.5,,,,-155,,0.5,,-161,2.5
Johnny Gaudreau,135,,0.5,,,,-125,,0.5,,139,1.5
Phillip Danault,135,,0.5,,,,-124,,0.5,,127,1.5
Trevor Moore,155,,0.5,,,,-145,,0.5,,-152,3.5
Boone Jenner,205,,0.5,,,,-135,,0.5,,108,2.5
Kirill Marchenko,305,,0.5,,,,115,,0.5,,-152,2.5
Pierre-Luc Dubois,,,,,,,,,,,-173,2.5
Yegor Chinakhov,,,,,,,,,,,130,1.5
Dmitri Voronkov,,,,,,,,,,,,
Alex Laferriere,,,,,,,,,,,133,1.5
Cole Sillinger,,,,,,,,,,,,
Arthur Kaliyev,,,,,,,,,,,-102,1.5
Jack Roslovic,,,,,,,,,,,,
Kent Johnson,,,,,,,,,,,,
Drew Doughty,,,,,,,,,,,,
Emil Bemstrom,,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,
Trevor Lewis,,,,,,,,,,,,
Sean Kuraly,,,,,,,,,,,,
Alex Turcotte,,,,,,,,,,,,
Justin Danforth,,,,,,,,,,,,
Matt Roy,,,,,,,,,,,-102,1.5
Damon Severson,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,
Vladislav Gavrikov,,,,,,,,,,,,
Mikey Anderson,,,,,,,,,,,,
Brandt Clarke,,,,,,,,,,,,
Erik Gudbranson,,,,,,,,,,,,
Jake Bean,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,
