Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Jake DeBrusk,,-125,0.5,,-143,2.5
David Pastrnak,,-204,1.5,,-156,4.5
Charlie McAvoy,,-139,0.5,,,
Brad Marchand,,130,0.5,,-145,2.5
Artemi Panarin,,-238,1.5,,120,2.5
Mika Zibanejad,,104,0.5,,-145,2.5
Vincent Trocheck,,121,0.5,,-103,2.5
Charlie Coyle,,-111,0.5,,123,1.5
Chris Kreider,,114,0.5,,119,2.5
Pavel Zacha,,-104,0.5,,111,1.5
Adam Fox,,-102,0.5,,115,1.5
Alexis Lafrenière,,-133,0.5,,-110,2.5
Alexander Wennberg,,-196,0.5,,,
Jack Roslovic,,-149,0.5,,,
Sebastian Aho,,149,0.5,,-111,2.5
Andrei Svechnikov,,110,0.5,,-128,2.5
Travis Konecny,,-101,0.5,,126,2.5
Martin Necas,,105,0.5,,112,2.5
Travis Sanheim,,-189,0.5,,,
Scott Laughton,,-172,0.5,,-103,1.5
Owen Tippett,,-116,0.5,,-161,3.5
Tyson Foerster,,-179,0.5,,114,1.5
Joel Farabee,,-145,0.5,,122,1.5
Brady Skjei,,-179,0.5,,152,1.5
Seth Jarvis,,103,0.5,,-169,2.5
Morgan Frost,,-179,0.5,,100,1.5
Brent Burns,,-172,0.5,,-189,2.5
Jake Guentzel,,155,0.5,,116,2.5
Evgeny Kuznetsov,,-132,0.5,,,
Jordan Martinook,,,,,105,1.5
Anders Lee,,-161,0.5,,-156,2.5
Kyle Palmieri,,-103,0.5,,-112,2.5
Noah Dobson,,106,0.5,,-139,2.5
Mathew Barzal,,177,0.5,,-110,2.5
Lucas Raymond,,103,0.5,,-156,2.5
Brock Nelson,,117,0.5,,119,2.5
Moritz Seider,,-156,0.5,,106,1.5
Jean-Gabriel Pageau,,-192,0.5,,,
Bo Horvat,,137,0.5,,112,2.5
Shayne Gostisbehere,,-149,0.5,,110,1.5
Patrick Kane,,162,0.5,,-179,3.5
Alex DeBrincat,,103,0.5,,-106,2.5
Pierre Engvall,,-161,0.5,,,
J.T. Compher,,-111,0.5,,,
Mike Reilly,,,,,144,1.5
Nico Hischier,,118,0.5,,109,2.5
Josh Morrissey,,104,0.5,,-122,2.5
Adam Lowry,,-161,0.5,,,
Nikolaj Ehlers,,-137,0.5,,-118,2.5
Jesper Bratt,,142,0.5,,122,2.5
Jack Hughes,,-217,1.5,,108,3.5
Mark Scheifele,,137,0.5,,-189,2.5
Kyle Connor,,160,0.5,,128,2.5
Erik Haula,,-149,0.5,,-192,2.5
Dawson Mercer,,-164,0.5,,,
Sean Monahan,,-108,0.5,,127,1.5
Nino Niederreiter,,-169,0.5,,139,1.5
Luke Hughes,,-169,0.5,,100,1.5
Timo Meier,,110,0.5,,-128,3.5
Tyler Toffoli,,105,0.5,,109,2.5
Alex Iafallo,,-159,0.5,,,
Brady Tkachuk,,160,0.5,,-123,4.5
Drake Batherson,,115,0.5,,104,2.5
Thomas Chabot,,-132,0.5,,-152,2.5
Jordan Kyrou,,111,0.5,,108,2.5
Brayden Schenn,,-104,0.5,,142,1.5
Torey Krug,,-192,0.5,,133,1.5
Shane Pinto,,-108,0.5,,-110,2.5
Justin Faulk,,-172,0.5,,133,1.5
Jake Neighbours,,-149,0.5,,117,1.5
Tim Stützle,,179,0.5,,103,2.5
Pavel Buchnevich,,130,0.5,,-143,2.5
Jake Sanderson,,-147,0.5,,-172,2.5
Kevin Hayes,,-196,0.5,,,
Jakob Chychrun,,-143,0.5,,112,2.5
Claude Giroux,,125,0.5,,-156,2.5
Robert Thomas,,-233,1.5,,-179,2.5
Aleksander Barkov,,-200,1.5,,-110,2.5
Carter Verhaeghe,,135,0.5,,124,2.5
Tommy Novak,,-156,0.5,,,
Filip Forsberg,,128,0.5,,-116,3.5
Brandon Montour,,-120,0.5,,108,2.5
Roman Josi,,104,0.5,,127,2.5
Sam Reinhart,,154,0.5,,109,2.5
Luke Evangelista,,-164,0.5,,127,1.5
Vladimir Tarasenko,,-123,0.5,,134,1.5
Ryan O'Reilly,,-119,0.5,,111,1.5
Gustav Nyquist,,-122,0.5,,110,1.5
