Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Matthew Tkachuk,,-256,1.5,,-159,3.5
Gustav Forsling,,,,,134,1.5
Jason Zucker,,,,,-204,2.5
Jeff Skinner,,-172,0.5,,-161,2.5
Tage Thompson,,-108,0.5,,133,2.5
Rasmus Dahlin,,103,0.5,,-149,2.5
Ryan Nugent-Hopkins,,119,0.5,,-196,2.5
Leon Draisaitl,,-192,1.5,,118,2.5
Alex Tuch,,-108,0.5,,-149,2.5
Evander Kane,,-154,0.5,,-123,2.5
Zach Hyman,,147,0.5,,-141,3.5
Evan Bouchard,,119,0.5,,-110,2.5
Connor McDavid,,-103,1.5,,-125,3.5
Owen Power,,-196,0.5,,,
Dylan Cozens,,-122,0.5,,-139,2.5
JJ Peterka,,-185,0.5,,-196,2.5
Bowen Byram,,-208,0.5,,,
Adam Henrique,,-179,0.5,,,
Warren Foegele,,,,,-175,2.5
Darnell Nurse,,,,,-204,2.5
Cam Fowler,,-122,0.5,,,
Troy Terry,,118,0.5,,-125,2.5
Philipp Kurashev,,110,0.5,,-189,2.5
Mason McTavish,,-120,0.5,,146,1.5
Frank Vatrano,,102,0.5,,-182,3.5
Seth Jones,,-114,0.5,,112,2.5
Tyler Johnson,,-127,0.5,,-192,2.5
Ryan Strome,,-108,0.5,,,
Leo Carlsson,,-139,0.5,,-179,2.5
Connor Bedard,,161,0.5,,-139,3.5
Jason Dickinson,,-179,0.5,,,
Nick Foligno,,-116,0.5,,139,1.5
Alex Killorn,,-106,0.5,,-182,2.5
Andreas Athanasiou,,,,,-179,2.5
Ryan Donato,,,,,-172,2.5
Brock Boeser,,150,0.5,,109,2.5
Elias Pettersson,,-250,1.5,,118,2.5
Quinn Hughes,,164,0.5,,-106,2.5
J.T. Miller,,-244,1.5,,-104,2.5
Nick Suzuki,,138,0.5,,-169,2.5
Juraj Slafkovsky,,-130,0.5,,116,1.5
Alex Newhook,,-164,0.5,,110,1.5
Cole Caufield,,127,0.5,,112,3.5
Conor Garland,,-161,0.5,,-120,2.5
Mike Matheson,,-103,0.5,,-169,2.5
Filip Hronek,,-116,0.5,,131,1.5
Elias Lindholm,,-141,0.5,,131,1.5
Brendan Gallagher,,,,,112,1.5
Ilya Mikheyev,,,,,122,1.5
Nils Hoglander,,,,,112,1.5
Nikita Kucherov,,-108,1.5,,-120,3.5
Brayden Point,,-204,1.5,,110,2.5
Victor Hedman,,161,0.5,,-106,2.5
Anthony Cirelli,,-103,0.5,,,
Steven Stamkos,,179,0.5,,109,2.5
William Eklund,,-149,0.5,,109,1.5
Brandon Hagel,,125,0.5,,-154,2.5
Nicholas Paul,,-169,0.5,,,
Thomas Bordeleau,,-208,0.5,,120,1.5
Mikael Granlund,,120,0.5,,131,1.5
Fabian Zetterlund,,-116,0.5,,-132,2.5
Anthony Duclair,,105,0.5,,149,1.5
Michael Eyssimont,,,,,132,1.5
Filip Zadina,,,,,-192,2.5
Nicolas Roy,,-147,0.5,,,
Chandler Stephenson,,-127,0.5,,,
Jonathan Marchessault,,112,0.5,,122,2.5
Shea Theodore,,-102,0.5,,-145,2.5
William Karlsson,,116,0.5,,-132,2.5
Jared McCann,,-116,0.5,,103,2.5
Jordan Eberle,,104,0.5,,-132,2.5
Oliver Bjorkstrand,,-116,0.5,,-156,2.5
Jack Eichel,,-250,1.5,,-106,3.5
Yanni Gourde,,-154,0.5,,122,1.5
Andre Burakovsky,,-156,0.5,,129,1.5
Matty Beniers,,-123,0.5,,133,1.5
Ivan Barbashev,,-161,0.5,,,
Eeli Tolvanen,,-127,0.5,,148,1.5
Noah Hanifin,,-175,0.5,,-172,2.5
Anthony Mantha,,,,,100,1.5
