Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Clayton Keller,-200,,0.5,,108,2.5
Lawson Crouse,,-182,0.5,,112,1.5
Nick Schmaltz,-154,,0.5,152,,2.5
Roope Hintz,,104,0.5,112,,2.5
Matias Maccelli,-101,,0.5,,,
Joe Pavelski,-154,,0.5,117,,2.5
Miro Heiskanen,,-101,0.5,128,,2.5
Tyler Seguin,,-132,0.5,,-149,2.5
Jamie Benn,,110,0.5,,144,1.5
Jason Robertson,-192,,0.5,,112,2.5
Dylan Guenther,,-130,0.5,,-133,2.5
Wyatt Johnston,-103,,0.5,,-103,2.5
Logan Stankoven,112,,0.5,149,,2.5
Sean Durzi,,-156,0.5,,,
Matt Duchene,,-119,0.5,,-179,2.5
Mason Marchment,,-156,0.5,,117,1.5
Logan Cooley,,-149,0.5,-154,,1.5
Nick Bjugstad,,-156,0.5,-172,,1.5
Thomas Harley,,,,,147,1.5
Cam Fowler,120,,0.5,,,
Victor Hedman,-196,,0.5,-118,,2.5
Steven Stamkos,-222,,0.5,,115,2.5
Nikita Kucherov,,-114,1.5,-122,,3.5
Mason McTavish,,-161,0.5,-141,,1.5
Brandon Hagel,-149,,0.5,118,,2.5
Anthony Cirelli,-105,,0.5,,,
Troy Terry,,104,0.5,113,,2.5
Frank Vatrano,,-111,0.5,-159,,2.5
Ryan Strome,,-130,0.5,-114,,1.5
Leo Carlsson,134,,0.5,,112,1.5
Alex Killorn,-106,,0.5,,131,1.5
Anthony Duclair,-130,,0.5,-200,,1.5
Nicholas Paul,,,,,110,1.5
Michael Eyssimont,,,,,123,1.5
Rasmus Dahlin,-147,,0.5,-101,,2.5
Rasmus Andersson,120,,0.5,,,
Mikael Backlund,-111,,0.5,-141,,2.5
Blake Coleman,,-128,0.5,112,,2.5
Dylan Cozens,,100,0.5,,-123,2.5
Tage Thompson,,106,0.5,,-156,3.5
Andrew Mangiapane,,-156,0.5,,129,1.5
Jeff Skinner,,-161,0.5,,-179,2.5
Owen Power,,-167,0.5,,,
Alex Tuch,,110,0.5,,-127,2.5
Jonathan Huberdeau,-123,,0.5,,108,1.5
JJ Peterka,110,,0.5,,-145,2.5
Yegor Sharangovich,-111,,0.5,,-149,2.5
Jordan Greenway,,-185,0.5,,,
Nazem Kadri,-154,,0.5,,-145,3.5
MacKenzie Weegar,134,,0.5,,-130,2.5
Bowen Byram,,-189,0.5,,,
Cole Caufield,-185,,0.5,,109,3.5
Jared McCann,,106,0.5,,124,2.5
Jaden Schwartz,-102,,0.5,-192,,1.5
Yanni Gourde,112,,0.5,-159,,1.5
Jordan Eberle,,116,0.5,100,,2.5
Matty Beniers,-125,,0.5,-200,,1.5
Nick Suzuki,,172,0.5,120,,2.5
Juraj Slafkovsky,,-116,0.5,-147,,1.5
Oliver Bjorkstrand,,-122,0.5,,-185,2.5
Mike Matheson,-145,,0.5,,-185,2.5
Andre Burakovsky,,-139,0.5,,134,1.5
Alex Newhook,,-156,0.5,,,
Eeli Tolvanen,,-102,0.5,,-179,2.5
Joel Armia,,,,-154,,1.5
Brendan Gallagher,,,,-139,,1.5
Josh Anderson,,,,,100,1.5
