Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Brayden Schenn,,-101,0.5,,144,1.5
Shea Theodore,-127,,0.5,,-122,2.5
Jordan Kyrou,,104,0.5,-143,,2.5
Robert Thomas,,170,0.5,,-182,2.5
Justin Faulk,,-156,0.5,-182,,1.5
Nicolas Roy,120,,0.5,-135,,1.5
William Karlsson,,110,0.5,,-127,2.5
Jake Neighbours,106,,0.5,,132,1.5
Chandler Stephenson,,-116,0.5,,,
Jonathan Marchessault,-145,,0.5,,-149,3.5
Pavel Buchnevich,-164,,0.5,112,,2.5
Ivan Barbashev,115,,0.5,,112,1.5
Noah Hanifin,,-179,0.5,,-149,2.5
Jack Eichel,,-233,1.5,-154,,3.5
Torey Krug,,,,,133,1.5
Kevin Hayes,,,,-143,,1.5
Anze Kopitar,-125,,0.5,,,
Elias Pettersson,,160,0.5,,-116,2.5
Drew Doughty,,-149,0.5,,,
Adrian Kempe,,113,0.5,134,,3.5
Quinn Hughes,,134,0.5,,-149,2.5
J.T. Miller,-196,,0.5,,-127,2.5
Quinton Byfield,102,,0.5,-154,,1.5
Trevor Moore,,-139,0.5,-116,,2.5
Kevin Fiala,,116,0.5,-132,,2.5
Phillip Danault,,-139,0.5,-154,,1.5
Brock Boeser,,107,0.5,110,,2.5
Conor Garland,141,,0.5,134,,2.5
Viktor Arvidsson,,-137,0.5,,-103,2.5
Pierre-Luc Dubois,,-200,0.5,,-103,1.5
Filip Hronek,115,,0.5,-135,,1.5
Elias Lindholm,,-156,0.5,-120,,1.5
Alex Laferriere,,,,,122,1.5
