Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Brad Marchand,,147,0.5,,-123,2.5
Jake DeBrusk,,-120,0.5,-101,,2.5
Charlie McAvoy,,-127,0.5,,106,1.5
Thomas Chabot,130,,0.5,152,,2.5
Charlie Coyle,-123,,0.5,-175,,1.5
David Pastrnak,,-192,1.5,-116,,4.5
Brady Tkachuk,-167,,0.5,,-161,4.5
Jake Sanderson,128,,0.5,,139,1.5
Pavel Zacha,,105,0.5,-161,,1.5
Tim Stützle,-204,,0.5,-112,,2.5
Shane Pinto,,-139,0.5,,-128,2.5
Jakob Chychrun,,-175,0.5,-118,,2.5
James van Riemsdyk,,-167,0.5,,119,1.5
Claude Giroux,-143,,0.5,,-192,2.5
Morgan Geekie,,-185,0.5,-139,,1.5
Lucas Raymond,-128,,0.5,,-154,2.5
Boone Jenner,,110,0.5,,135,2.5
Johnny Gaudreau,,-101,0.5,,-149,2.5
David Perron,,-143,0.5,120,,2.5
Moritz Seider,115,,0.5,,102,1.5
Kirill Marchenko,,-156,0.5,,-152,2.5
Ivan Provorov,136,,0.5,,,
J.T. Compher,,100,0.5,,,
Patrick Kane,,168,0.5,,138,2.5
Alex DeBrincat,,110,0.5,-133,,2.5
Alex Nylander,104,,0.5,-143,,2.5
Cole Sillinger,130,,0.5,,-196,2.5
Zach Werenski,,114,0.5,113,,3.5
Shayne Gostisbehere,109,,0.5,,119,1.5
Jake Walman,,,,-185,,1.5
Dmitri Voronkov,,,,,137,1.5
Daniel Sprong,,,,,131,1.5
Jesper Bratt,,153,0.5,-175,,2.5
Sidney Crosby,,-250,1.5,,-156,3.5
Kris Letang,-101,,0.5,124,,2.5
Bryan Rust,-152,,0.5,,136,2.5
Jack Hughes,,-169,1.5,-164,,3.5
Nico Hischier,-172,,0.5,,119,2.5
Evgeni Malkin,,-103,0.5,146,,2.5
Dawson Mercer,136,,0.5,,,
Ondrej Palat,,-179,0.5,,,
Rickard Rakell,,-169,0.5,132,,2.5
Luke Hughes,,-156,0.5,,108,1.5
Timo Meier,-147,,0.5,104,,3.5
Erik Karlsson,,118,0.5,-111,,2.5
Erik Haula,106,,0.5,,-156,2.5
Reilly Smith,118,,0.5,-189,,1.5
Lars Eller,,-169,0.5,,147,1.5
Michael Bunting,-110,,0.5,,-130,2.5
Drew O'Connor,,,,146,,2.5
Mark Scheifele,,106,0.5,-154,,1.5
Josh Morrissey,,-118,0.5,115,,2.5
Mika Zibanejad,,-102,0.5,,-139,2.5
Adam Lowry,141,,0.5,,,
Kyle Connor,,136,0.5,-145,,2.5
Chris Kreider,,114,0.5,-154,,2.5
Nikolaj Ehlers,,-147,0.5,-105,,2.5
Adam Fox,,-104,0.5,-147,,1.5
Vincent Trocheck,-147,,0.5,-119,,2.5
