Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Jack Roslovic,136,,0.5,,112,1.5
Alexis Lafrenière,,-161,0.5,115,,2.5
Sean Monahan,-101,,0.5,-154,,1.5
Nino Niederreiter,,-185,0.5,-167,,1.5
Tyler Toffoli,-133,,0.5,-130,,2.5
Artemi Panarin,190,,1.5,,119,2.5
Alexander Wennberg,141,,0.5,,-164,1.5
Alex Iafallo,,,,-114,,1.5
Kaapo Kakko,,,,104,,1.5
Travis Konecny,-154,,0.5,,-159,3.5
Travis Sanheim,,-147,0.5,,,
Scott Laughton,,-147,0.5,,126,1.5
Auston Matthews,,-208,1.5,-167,,3.5
Sean Couturier,126,,0.5,-189,,1.5
John Tavares,-116,,0.5,-147,,2.5
Tyson Foerster,,-149,0.5,,-189,2.5
Morgan Frost,,-161,0.5,,124,1.5
William Nylander,152,,1.5,,-145,3.5
Joel Farabee,-103,,0.5,,-182,2.5
Morgan Rielly,-108,,0.5,132,,2.5
Owen Tippett,-122,,0.5,-102,,3.5
Cam York,130,,0.5,,,
Max Domi,,-182,0.5,,103,1.5
Tyler Bertuzzi,107,,0.5,-154,,1.5
Bobby McMann,,,,,-164,2.5
Ryan Pulock,226,,0.5,,,
Anders Lee,149,,0.5,-172,,1.5
Andrei Svechnikov,-167,,0.5,-141,,2.5
Noah Dobson,,-120,0.5,,-192,2.5
Brock Nelson,-122,,0.5,-108,,2.5
Brady Skjei,,-161,0.5,120,,2.5
Mathew Barzal,-175,,0.5,,-156,2.5
Martin Necas,,110,0.5,-172,,2.5
Seth Jarvis,-123,,0.5,,-172,2.5
Jean-Gabriel Pageau,178,,0.5,,,
Kyle Palmieri,,-132,0.5,,-161,2.5
Bo Horvat,,110,0.5,-103,,2.5
Jake Guentzel,,171,0.5,,-175,3.5
Mike Reilly,,-400,0.5,,,
Pierre Engvall,,-213,0.5,,,
Brent Burns,134,,0.5,,-172,2.5
Sebastian Aho,,171,0.5,-156,,2.5
Evgeny Kuznetsov,-106,,0.5,-149,,1.5
Jordan Martinook,,,,,119,1.5
Nathan MacKinnon,-122,,1.5,-133,,4.5
Mikko Rantanen,115,,1.5,100,,3.5
Jordan Kyrou,-130,,0.5,-122,,2.5
Robert Thomas,-185,,0.5,-159,,1.5
Brayden Schenn,,-128,0.5,,103,1.5
Valeri Nichushkin,-213,,0.5,,-179,3.5
Cale Makar,-233,,0.5,,132,2.5
Torey Krug,,-233,0.5,,119,1.5
Justin Faulk,,-179,0.5,,110,1.5
Brandon Saad,141,,0.5,,,
Jake Neighbours,,-179,0.5,,,
Kevin Hayes,161,,0.5,,,
Artturi Lehkonen,-149,,0.5,128,,2.5
Pavel Buchnevich,-139,,0.5,136,,2.5
Jonathan Drouin,,-130,0.5,,,
Casey Mittelstadt,,-127,0.5,,,
Devon Toews,107,,0.5,-179,,1.5
Ross Colton,,,,,116,1.5
Miles Wood,,,,,139,1.5
Filip Forsberg,174,,1.5,-154,,3.5
Roman Josi,-169,,0.5,,-149,3.5
Alexander Barabanov,178,,0.5,,,
Luke Evangelista,,-130,0.5,139,,2.5
Fabian Zetterlund,-109,,0.5,-108,,2.5
Ryan O'Reilly,,123,0.5,134,,2.5
Tommy Novak,,-127,0.5,199,,2.5
William Eklund,,-156,0.5,-161,,1.5
Gustav Nyquist,-156,,0.5,146,,2.5
Mikael Granlund,-156,,0.5,,142,1.5
Jason Zucker,124,,0.5,,-152,2.5
Thomas Bordeleau,,,,,119,1.5
Filip Zadina,,,,,-172,2.5
Anthony Beauvillier,,,,,131,1.5
Tyson Barrie,,,,,112,1.5
Connor McDavid,-139,,1.5,-110,,3.5
Ryan Nugent-Hopkins,,139,0.5,124,,2.5
Evan Bouchard,,140,0.5,-137,,2.5
Nick Suzuki,-189,,0.5,,-172,2.5
Cole Caufield,-156,,0.5,-125,,3.5
Leon Draisaitl,,-137,1.5,,-182,3.5
Evander Kane,,-139,0.5,-119,,2.5
Juraj Slafkovsky,103,,0.5,-149,,1.5
Zach Hyman,-238,,0.5,-103,,3.5
Mike Matheson,,-102,0.5,141,,2.5
Adam Henrique,,-156,0.5,,120,1.5
Alex Newhook,,-164,0.5,,,
Darnell Nurse,,,,,-156,2.5
Joel Armia,,,,,-109,1.5
Warren Foegele,,,,-105,,2.5
Brendan Gallagher,,,,-145,,1.5
Mattias Ekholm,,,,,147,1.5
Jonas Brodin,,-172,0.5,,127,1.5
Cam Fowler,,-128,0.5,-147,,1.5
Ryan Hartman,-130,,0.5,,111,2.5
Marco Rossi,120,,0.5,132,,2.5
Kirill Kaprizov,,-152,1.5,117,,4.5
Troy Terry,,106,0.5,,-130,2.5
Mats Zuccarello,,-233,1.5,,-120,2.5
Marcus Johansson,130,,0.5,,,
Matt Boldy,,-233,1.5,,-127,3.5
Alex Killorn,-106,,0.5,,-196,2.5
Frank Vatrano,-122,,0.5,,122,2.5
Ryan Strome,,-111,0.5,,,
Brock Faber,-105,,0.5,-145,,1.5
Leo Carlsson,,-149,0.5,,144,1.5
Elias Pettersson,,160,0.5,-118,,2.5
Jeff Skinner,130,,0.5,112,,2.5
Brock Boeser,,135,0.5,-119,,2.5
Quinn Hughes,,154,0.5,,-120,2.5
Tage Thompson,-120,,0.5,134,,3.5
Rasmus Dahlin,,105,0.5,,-159,2.5
J.T. Miller,-217,,0.5,102,,2.5
Filip Hronek,,-132,0.5,-152,,1.5
Dylan Cozens,-111,,0.5,-103,,2.5
Elias Lindholm,,-149,0.5,,113,1.5
Alex Tuch,,-105,0.5,112,,2.5
Owen Power,,-204,0.5,,,
JJ Peterka,141,,0.5,146,,2.5
Conor Garland,136,,0.5,112,,2.5
Jordan Greenway,,-200,0.5,-123,,1.5
Bowen Byram,,-196,0.5,-122,,1.5
Ilya Mikheyev,,,,-137,,1.5
Drew Doughty,-116,,0.5,-133,,1.5
Adrian Kempe,,171,0.5,,-106,3.5
Trevor Moore,-130,,0.5,,-172,3.5
Anze Kopitar,,131,0.5,144,,2.5
Quinton Byfield,,120,0.5,,-145,2.5
Philipp Kurashev,,-130,0.5,-141,,1.5
Phillip Danault,-128,,0.5,128,,2.5
Seth Jones,120,,0.5,112,,2.5
Kevin Fiala,-250,,0.5,109,,3.5
Connor Bedard,,119,0.5,-161,,2.5
Pierre-Luc Dubois,,-128,0.5,,-179,2.5
Nick Foligno,112,,0.5,,-105,1.5
Tyler Johnson,,-182,0.5,-122,,1.5
Andreas Athanasiou,158,,0.5,-135,,1.5
Matt Roy,,,,-141,,1.5
Arthur Kaliyev,,,,-141,,1.5
Ryan Donato,,,,-167,,1.5
Alex Laferriere,,,,122,,2.5
Colin Blackwell,,,,,-120,1.5
Brayden Point,-208,,0.5,,-116,2.5
Nicolas Roy,,-179,0.5,,,
Anthony Cirelli,,-127,0.5,,-118,1.5
Nikita Kucherov,136,,1.5,,-128,3.5
William Karlsson,,113,0.5,,-132,2.5
Steven Stamkos,-182,,0.5,,-111,2.5
Victor Hedman,,127,0.5,,-125,2.5
Jonathan Marchessault,-132,,0.5,,-179,3.5
Alex Pietrangelo,,-179,0.5,,127,1.5
Shea Theodore,-103,,0.5,115,,2.5
Chandler Stephenson,107,,0.5,115,,1.5
Jack Eichel,186,,1.5,-111,,3.5
Ivan Barbashev,,-179,0.5,,,
Anthony Duclair,120,,0.5,-167,,1.5
Brandon Hagel,-139,,0.5,128,,2.5
Noah Hanifin,,-192,0.5,-196,,1.5
Anthony Mantha,,-127,0.5,-167,,1.5
Michael Eyssimont,,,,-179,,1.5
