Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Clayton Keller,-196,,0.5,-149,,2.5
Jonas Brodin,,-175,0.5,-164,,1.5
Kirill Kaprizov,144,,1.5,-141,,3.5
Matias Maccelli,-118,,0.5,,,
Ryan Hartman,,-139,0.5,,-145,2.5
Matt Boldy,,171,0.5,-102,,3.5
Dylan Guenther,,-141,0.5,,-161,2.5
Mats Zuccarello,-213,,0.5,,-149,2.5
Joel Eriksson Ek,,153,0.5,-101,,3.5
Sean Durzi,115,,0.5,,108,1.5
Brock Faber,107,,0.5,,,
Nick Bjugstad,,-154,0.5,,146,1.5
Nick Schmaltz,,118,0.5,136,,2.5
Lawson Crouse,,-161,0.5,-179,,1.5
Marco Rossi,,-179,0.5,,-179,2.5
Logan Cooley,132,,0.5,,125,1.5
Barrett Hayton,,,,,128,1.5
Roope Hintz,,-115,0.5,132,,2.5
Aleksander Barkov,,-256,1.5,,-130,2.5
Miro Heiskanen,-108,,0.5,,-172,2.5
Carter Verhaeghe,-172,,0.5,,119,2.5
Jason Robertson,-172,,0.5,-130,,2.5
Jamie Benn,,-152,0.5,,140,1.5
Joe Pavelski,,-109,0.5,,-185,2.5
Brandon Montour,,-128,0.5,,-143,2.5
Sam Reinhart,-182,,0.5,,-119,2.5
Wyatt Johnston,,-132,0.5,-130,,2.5
Matthew Tkachuk,186,,1.5,-175,,2.5
Vladimir Tarasenko,-143,,0.5,,146,1.5
Matt Duchene,,-120,0.5,152,,2.5
Sam Bennett,,-143,0.5,,-137,2.5
Logan Stankoven,136,,0.5,-192,,1.5
Mason Marchment,136,,0.5,,,
Thomas Harley,,,,,121,1.5
Gustav Forsling,,,,-164,,1.5
Evan Rodrigues,,,,,135,1.5
Cam Fowler,,-127,0.5,,,
Mason McTavish,103,,0.5,,-185,2.5
Philipp Kurashev,,112,0.5,120,,2.5
Troy Terry,,108,0.5,,-122,2.5
Tyler Johnson,103,,0.5,,142,1.5
Seth Jones,,101,0.5,,119,2.5
Pavel Mintyukov,,-192,0.5,,,
Frank Vatrano,,102,0.5,-159,,2.5
Jason Dickinson,109,,0.5,-164,,1.5
Alex Killorn,-130,,0.5,,-154,2.5
Ryan Strome,-130,,0.5,,110,1.5
Connor Bedard,-227,,0.5,-112,,3.5
Nick Foligno,,101,0.5,130,,2.5
Taylor Raddysh,155,,0.5,-167,,1.5
Ryan Donato,,,,,-185,2.5
Colin Blackwell,,,,-185,,1.5
Max Jones,,,,-147,,1.5
Rasmus Andersson,,-145,0.5,,-103,1.5
Mikael Backlund,,-119,0.5,,103,2.5
Andrew Mangiapane,,-152,0.5,-192,,1.5
MacKenzie Weegar,110,,0.5,-102,,2.5
Mikko Rantanen,141,,1.5,,-175,3.5
Jonathan Huberdeau,,-106,0.5,,109,1.5
Valeri Nichushkin,,153,0.5,,-179,3.5
Nathan MacKinnon,,-108,1.5,-110,,4.5
Cale Makar,-217,,0.5,,119,2.5
Devon Toews,128,,0.5,,105,1.5
Blake Coleman,,-139,0.5,,-167,2.5
Artturi Lehkonen,-147,,0.5,,-169,2.5
Nazem Kadri,-145,,0.5,,-185,3.5
Yegor Sharangovich,,-120,0.5,,-143,2.5
Andrei Kuzmenko,,-133,0.5,-139,,1.5
Jonathan Drouin,-103,,0.5,,,
Casey Mittelstadt,110,,0.5,,,
Ross Colton,,,,-156,,1.5
Miles Wood,,,,,118,1.5
Shea Theodore,103,,0.5,126,,2.5
William Karlsson,-141,,0.5,,-145,2.5
Jordan Eberle,,-101,0.5,,-132,2.5
Nicolas Roy,130,,0.5,,,
Jonathan Marchessault,,110,0.5,-161,,2.5
Chandler Stephenson,,-123,0.5,,,
Alex Pietrangelo,139,,0.5,,133,1.5
Yanni Gourde,113,,0.5,,137,1.5
Eeli Tolvanen,-106,,0.5,136,,2.5
Andre Burakovsky,102,,0.5,,138,1.5
Jared McCann,-149,,0.5,,113,2.5
Jack Eichel,,164,0.5,112,,3.5
Oliver Bjorkstrand,,101,0.5,120,,2.5
Anthony Mantha,,-172,0.5,,,
Matty Beniers,,-128,0.5,-152,,1.5
Ivan Barbashev,,-161,0.5,,,
Noah Hanifin,144,,0.5,,140,1.5
Pavel Dorofeyev,,,,-130,,1.5
