Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Mike Matheson,,,,,,,-145,,0.5,,-137,2.5
Matthew Phillips,,,,,,,,,,,,
Joshua Roy,,,,,,,,,,,,
Brandon Gignac,,,,,,,,,,,,
Arber Xhekaj,,,,,,,,,,,,
Michael Pezzetta,,,,,,,,,,,,
Jansen Harkins,,,,,,,,,,,,
Kaiden Guhle,,,,,,,,,,,,
Ryan Graves,,,,,,,,,,,,
David Savard,,,,,,,,,,,,
Johnathan Kovacevic,,,,,,,,,,,,
John Ludvig,,,,,,,,,,,,
Josh Anderson,,,,,,,,,,,106,1.5
Artemi Panarin,-195,,0.5,,,,,,,,120,2.5
Jack Hughes,-170,,0.5,,,,,,,,-149,4.5
Adam Fox,-130,,0.5,,,,-165,,0.5,,,
Vincent Trocheck,-116,,0.5,,,,-260,,0.5,,110,2.5
Mika Zibanejad,104,,0.5,,,,-205,,0.5,,-131,2.5
Nico Hischier,119,,0.5,,,,-180,,0.5,,-102,2.5
Chris Kreider,145,,0.5,,,,-205,,0.5,,-149,3.5
Luke Hughes,150,,0.5,,,,113,,0.5,,110,1.5
Tyler Toffoli,150,,0.5,,,,-175,,0.5,,-152,3.5
Ondrej Palat,200,,0.5,,,,115,,0.5,,,
Timo Meier,205,,0.5,,,,100,,0.5,,-113,2.5
Erik Haula,230,,0.5,,,,120,,0.5,,110,1.5
Jesper Bratt,,,,,,,-230,,0.5,,127,2.5
Alexis Lafreniere,,,,,,,,,,,,
Dawson Mercer,,,,,,,,,,,,
Jimmy Vesey,,,,,,,,,,,,
Will Cuylle,,,,,,,,,,,,
Matt Rempe,,,,,,,,,,,,
Nathan Bastian,,,,,,,,,,,,
Barclay Goodrow,,,,,,,,,,,,
Jacob Trouba,,,,,,,,,,,,
Erik Gustafsson,,,,,,,,,,,,
Simon Nemec,,,,,,,,,,,,
Tomas Nosek,,,,,,,,,,,,
Colin Miller,,,,,,,,,,,,
Ryan Lindgren,,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,
Brendan Smith,,,,,,,,,,,,
Kevin Bahl,,,,,,,,,,,,
Nikita Kucherov,-270,,0.5,,,,,,,,-107,3.5
Victor Hedman,-180,,0.5,,,,-245,,0.5,,-143,2.5
John Carlson,-126,,0.5,,,,-165,,0.5,,-133,2.5
Brayden Point,-122,,0.5,,,,-280,,0.5,,-110,2.5
Steven Stamkos,-120,,0.5,,,,-245,,0.5,,-113,2.5
Brandon Hagel,112,,0.5,,,,,,,,-121,2.5
Alex Ovechkin,115,,0.5,,,,-205,,0.5,,-167,3.5
Dylan Strome,160,,0.5,,,,-135,,0.5,,-173,2.5
Max Pacioretty,200,,0.5,,,,106,,0.5,,-146,2.5
Nicholas Paul,230,,0.5,,,,119,,0.5,,102,1.5
T.J. Oshie,235,,0.5,,,,,,,,-188,2.5
Tom Wilson,235,,0.5,,,,122,,0.5,,120,1.5
Anthony Cirelli,,,,,,,-140,,0.5,,-198,2.5
Connor McMichael,,,,,,,,,,,,
Anthony Mantha,,,,,,,,,,,,
Sonny Milano,,,,,,,,,,,,
Aliaksei Protas,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,
Tyler Motte,,,,,,,,,,,,
Luke Glendening,,,,,,,,,,,,
Conor Sheary,,,,,,,,,,,,
Michael Sgarbossa,,,,,,,,,,,,
Darren Raddysh,,,,,,,,,,,,
Rasmus Sandin,,,,,,,,,,,,
Calvin de Haan,,,,,,,,,,,,
Erik Cernak,,,,,,,,,,,,
Ethan Bear,,,,,,,,,,,,
Nick Jensen,,,,,,,,,,,,
Emil Martinsen Lilleberg,,,,,,,,,,,,
Michael Eyssimont,,,,,,,,,,,139,1.5
Robert Thomas,-145,,0.5,,,,-235,,0.5,,133,1.5
Noah Dobson,-107,,0.5,,,,-140,,0.5,,-123,2.5
Pavel Buchnevich,111,,0.5,,,,-190,,0.5,,-121,2.5
Jordan Kyrou,120,,0.5,,,,-190,,0.5,,-149,3.5
Brayden Schenn,130,,0.5,,,,-129,,0.5,,133,1.5
Torey Krug,135,,0.5,,,,110,,0.5,,-155,2.5
Brock Nelson,150,,0.5,,,,-175,,0.5,,117,2.5
Kyle Palmieri,190,,0.5,,,,-118,,0.5,,-123,2.5
Pierre Engvall,215,,0.5,,,,115,,0.5,,110,1.5
Jake Neighbours,235,,0.5,,,,108,,0.5,,127,1.5
Anders Lee,260,,0.5,,,,,,,,-170,2.5
Mathew Barzal,,,,,,,,,,,127,2.5
Brandon Saad,,,,,,,,,,,,
Kevin Hayes,,,,,,,121,,0.5,,111,1.5
Zachary Bolduc,,,,,,,,,,,,
Jean-Gabriel Pageau,,,,,,,,,,,,
Oskar Sundqvist,,,,,,,,,,,,
Oliver Wahlstrom,,,,,,,,,,,,
Simon Holmstrom,,,,,,,,,,,,
Kasperi Kapanen,,,,,,,,,,,,
Ryan Pulock,,,,,,,,,,,,
