Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
John Tavares,,108,0.5,141,,3.5
William Nylander,,-161,1.5,-115,,3.5
T.J. Oshie,,-156,0.5,,150,1.5
Auston Matthews,146,,1.5,,-147,4.5
Connor McMichael,,-169,0.5,,125,1.5
Morgan Rielly,-110,,0.5,112,,2.5
Alex Ovechkin,-179,,0.5,112,,3.5
Dylan Strome,,-111,0.5,-182,,1.5
Tom Wilson,120,,0.5,-179,,1.5
John Carlson,,-106,0.5,152,,2.5
Tyler Bertuzzi,-103,,0.5,155,,2.5
Max Pacioretty,,-149,0.5,155,,2.5
Max Domi,122,,0.5,-167,,1.5
Bobby McMann,,,,,-135,2.5
Lawson Crouse,134,,0.5,,114,1.5
Clayton Keller,-172,,0.5,,-103,2.5
Nick Schmaltz,-147,,0.5,,146,1.5
Miro Heiskanen,,100,0.5,,-145,2.5
Roope Hintz,,114,0.5,,-135,2.5
Jamie Benn,,-112,0.5,,148,1.5
Mason Marchment,115,,0.5,,,
Logan Cooley,120,,0.5,,130,1.5
Joe Pavelski,,122,0.5,132,,2.5
Logan Stankoven,,-149,0.5,,-172,2.5
Matias Maccelli,,-120,0.5,,,
Jason Robertson,-222,,0.5,-141,,2.5
Wyatt Johnston,-128,,0.5,,127,2.5
Dylan Guenther,102,,0.5,,-139,2.5
Nick Bjugstad,,-159,0.5,,128,1.5
Sean Durzi,120,,0.5,,,
Matt Duchene,,-101,0.5,,-145,2.5
Tyler Seguin,,-130,0.5,112,,2.5
Thomas Harley,,-182,0.5,,-189,2.5
Adrian Kempe,,134,0.5,,-154,3.5
Anze Kopitar,-132,,0.5,,,
Ryan Hartman,,-120,0.5,-108,,2.5
Trevor Moore,,-122,0.5,,109,2.5
Mats Zuccarello,,143,0.5,,-179,2.5
Drew Doughty,,-135,0.5,,,
Kirill Kaprizov,,172,0.5,,-102,3.5
Quinton Byfield,-119,,0.5,,-200,2.5
Matt Boldy,-192,,0.5,,128,2.5
Brock Faber,,-161,0.5,,,
Phillip Danault,-110,,0.5,-192,,1.5
Pierre-Luc Dubois,,-161,0.5,-169,,1.5
Kevin Fiala,-192,,0.5,,128,2.5
Marco Rossi,139,,0.5,,120,1.5
Marcus Johansson,146,,0.5,,,
Alex Laferriere,,,,,-204,2.5
