Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Nick Foligno,-115,,0.5,-161,,1.5
Mikael Granlund,,131,0.5,,-192,2.5
Andreas Athanasiou,,,,,131,1.5
Filip Zadina,,,,122,,2.5
Ryan Donato,,,,-196,,1.5
Boone Jenner,,102,0.5,-154,,2.5
Jonathan Marchessault,,124,0.5,,-123,3.5
William Karlsson,,128,0.5,,-120,2.5
Cole Sillinger,,-179,0.5,,133,1.5
Shea Theodore,-122,,0.5,,-105,2.5
Nicolas Roy,110,,0.5,,123,1.5
Jack Eichel,,-185,1.5,-161,,3.5
Ivan Barbashev,109,,0.5,,122,1.5
Johnny Gaudreau,-125,,0.5,,-175,2.5
Noah Hanifin,,-169,0.5,,-139,2.5
Ivan Provorov,144,,0.5,,,
Anthony Mantha,130,,0.5,,,
Alex Nylander,109,,0.5,,-119,2.5
Chandler Stephenson,,-116,0.5,,,
Kirill Marchenko,124,,0.5,122,,2.5
Pavel Dorofeyev,,,,-145,,1.5
Dmitri Voronkov,,,,-149,,1.5
Zach Werenski,,,,-147,,2.5
Anze Kopitar,-132,,0.5,,,
Drew Doughty,107,,0.5,,,
Adrian Kempe,-159,,0.5,,132,2.5
Anthony Cirelli,,-145,0.5,,,
Victor Hedman,-147,,0.5,128,,2.5
Steven Stamkos,,118,0.5,103,,2.5
Brayden Point,-175,,0.5,,-122,2.5
Nikita Kucherov,155,,1.5,,-167,3.5
Quinton Byfield,-108,,0.5,,131,1.5
Phillip Danault,,-122,0.5,-175,,1.5
Brandon Hagel,,-108,0.5,-175,,1.5
Kevin Fiala,,139,0.5,,112,2.5
Pierre-Luc Dubois,,-172,0.5,,111,1.5
Anthony Duclair,,-127,0.5,-159,,1.5
Trevor Moore,-110,,0.5,-130,,2.5
Viktor Arvidsson,-110,,0.5,,112,2.5
Alex Laferriere,,,,,144,1.5
