Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Roman Josi,-167,,0.5,,-149,3.5
Moritz Seider,139,,0.5,,,
Tommy Novak,107,,0.5,,,
Lucas Raymond,109,,0.5,,148,1.5
David Perron,,-175,0.5,-167,,1.5
Luke Evangelista,102,,0.5,124,,2.5
Dylan Larkin,,114,0.5,-122,,2.5
Filip Forsberg,-238,,0.5,,116,3.5
Ryan O'Reilly,-141,,0.5,135,,2.5
Gustav Nyquist,,100,0.5,-200,,1.5
Jason Zucker,124,,0.5,115,,2.5
J.T. Compher,112,,0.5,,,
Alex DeBrincat,,-118,0.5,,-122,2.5
Patrick Kane,,135,0.5,-161,,2.5
Tyson Barrie,,,,,112,1.5
Anthony Beauvillier,,,,-152,,1.5
Daniel Sprong,,,,,-104,1.5
Ryan Nugent-Hopkins,-159,,0.5,,149,1.5
Auston Matthews,146,,1.5,117,,4.5
John Tavares,,107,0.5,132,,3.5
Morgan Rielly,-114,,0.5,115,,2.5
Connor McDavid,,105,1.5,,-135,3.5
Evan Bouchard,,122,0.5,,-114,2.5
William Nylander,130,,1.5,-108,,3.5
Leon Draisaitl,,-200,1.5,-141,,2.5
Zach Hyman,,131,0.5,,-133,3.5
Evander Kane,124,,0.5,,-143,2.5
Max Domi,,-139,0.5,,135,1.5
Tyler Bertuzzi,,-128,0.5,,151,1.5
Adam Henrique,136,,0.5,,,
Darnell Nurse,,,,,138,1.5
Warren Foegele,,,,-185,,1.5
Mattias Ekholm,,,,-167,,1.5
Bobby McMann,,,,,-143,2.5
Nico Hischier,,146,0.5,-167,,2.5
Thomas Chabot,107,,0.5,,-179,2.5
Brady Tkachuk,-200,,0.5,-101,,4.5
Jesper Bratt,,177,0.5,120,,3.5
Dawson Mercer,124,,0.5,,,
Shane Pinto,-111,,0.5,-108,,2.5
Jake Sanderson,115,,0.5,,-196,2.5
Claude Giroux,,118,0.5,,-175,2.5
Drake Batherson,,111,0.5,,104,2.5
Ondrej Palat,144,,0.5,,,
Erik Haula,106,,0.5,132,,2.5
Jack Hughes,,-159,1.5,,-159,4.5
Tim Stützle,-227,,0.5,,-116,2.5
Timo Meier,,126,0.5,-114,,3.5
Jakob Chychrun,,-149,0.5,,109,2.5
Luke Hughes,107,,0.5,,119,1.5
Mika Zibanejad,-132,,0.5,100,,2.5
Artemi Panarin,,-233,1.5,132,,3.5
Alexis Lafrenière,,-145,0.5,,-130,2.5
Carter Verhaeghe,,130,0.5,-156,,2.5
Chris Kreider,,111,0.5,,124,2.5
Adam Fox,-137,,0.5,,115,1.5
Sam Bennett,,-132,0.5,-130,,2.5
Vincent Trocheck,-147,,0.5,,108,2.5
Brandon Montour,-114,,0.5,,-102,2.5
Vladimir Tarasenko,103,,0.5,-149,,1.5
Sam Reinhart,,158,0.5,-137,,2.5
Jack Roslovic,,-179,0.5,-135,,1.5
Evan Rodrigues,130,,0.5,,140,1.5
Matthew Tkachuk,164,,1.5,,-156,3.5
Alexander Wennberg,152,,0.5,,,
Gustav Forsling,,,,,119,1.5
Rasmus Andersson,,-179,0.5,-169,,1.5
Mikael Backlund,,-122,0.5,-154,,2.5
Andrew Mangiapane,,-169,0.5,-169,,1.5
Brock Boeser,,131,0.5,,-125,2.5
Conor Garland,130,,0.5,,-172,2.5
Quinn Hughes,-227,,0.5,,-139,2.5
Elias Pettersson,,184,0.5,,-110,2.5
J.T. Miller,-238,,0.5,,-125,2.5
Blake Coleman,107,,0.5,117,,2.5
Jonathan Huberdeau,-123,,0.5,-137,,1.5
Yegor Sharangovich,,-132,0.5,,-156,2.5
Nazem Kadri,-135,,0.5,,-147,3.5
Elias Lindholm,,-133,0.5,,103,1.5
Andrei Kuzmenko,,-135,0.5,,,
Filip Hronek,,-125,0.5,-137,,1.5
MacKenzie Weegar,,,,,-141,2.5
Philipp Kurashev,-137,,0.5,-172,,1.5
Seth Jones,,100,0.5,,101,2.5
William Eklund,,-132,0.5,-179,,1.5
Thomas Bordeleau,126,,0.5,141,,2.5
Fabian Zetterlund,,-106,0.5,-116,,2.5
Tyler Johnson,,-132,0.5,,138,1.5
Jason Dickinson,130,,0.5,,,
Connor Bedard,-208,,0.5,106,,3.5
