Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
John Carlson,-150,,0.5,,,,-185,,0.5,,-117,2.5
Tim Stutzle,-108,,0.5,,,,-205,,0.5,,-155,2.5
Alex Ovechkin,-101,,0.5,,,,-240,,0.5,,-121,3.5
Claude Giroux,100,,0.5,,,,-195,,0.5,,-117,2.5
Dylan Strome,140,,0.5,,,,-150,,0.5,,-149,2.5
Thomas Chabot,140,,0.5,,,,-104,,0.5,,-173,2.5
Brady Tkachuk,155,,0.5,,,,-185,,0.5,,102,3.5
Vladimir Tarasenko,165,,0.5,,,,-117,,0.5,,-208,2.5
Jakob Chychrun,165,,0.5,,,,114,,0.5,,-133,2.5
Drake Batherson,170,,0.5,,,,-112,,0.5,,-208,2.5
Jake Sanderson,170,,0.5,,,,127,,0.5,,-193,2.5
Max Pacioretty,175,,0.5,,,,-106,,0.5,,-125,2.5
Tom Wilson,185,,0.5,,,,-106,,0.5,,-164,2.5
Mathieu Joseph,195,,0.5,,,,116,,0.5,,,
Josh Norris,205,,0.5,,,,-106,,0.5,,127,1.5
Shane Pinto,205,,0.5,,,,-107,,0.5,,-143,2.5
Connor McMichael,,,,,,,,,,,,
Sonny Milano,,,,,,,,,,,,
Ridly Greig,,,,,,,,,,,,
Nicolas Aube-Kubel,,,,,,,,,,,,
Aliaksei Protas,,,,,,,,,,,,
Dominik Kubalik,,,,,,,,,,,,
Beck Malenstyn,,,,,,,,,,,,
Michael Sgarbossa,,,,,,,,,,,,
Pierrick Dube,,,,,,,,,,,,
Parker Kelly,,,,,,,,,,,,
Mark Kastelic,,,,,,,,,,,,
Rasmus Sandin,,,,,,,,,,,,
Trevor van Riemsdyk,,,,,,,,,,,,
Nick Jensen,,,,,,,,,,,,
Erik Brannstrom,,,,,,,,,,,,
Jacob Bernard-Docker,,,,,,,,,,,,
Joel Edmundson,,,,,,,,,,,,
Travis Hamonic,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,
Jason Robertson,-129,,0.5,,,,-260,,0.5,,120,2.5
Mathew Barzal,-119,,0.5,,,,-245,,0.5,,108,2.5
Noah Dobson,-103,,0.5,,,,-130,,0.5,,-173,2.5
Miro Heiskanen,-102,,0.5,,,,-130,,0.5,,-139,2.5
Joe Pavelski,111,,0.5,,,,-175,,0.5,,-152,2.5
Bo Horvat,112,,0.5,,,,-195,,0.5,,-104,2.5
Roope Hintz,118,,0.5,,,,-170,,0.5,,-146,2.5
Matt Duchene,140,,0.5,,,,-150,,0.5,,-183,2.5
Jamie Benn,150,,0.5,,,,-115,,0.5,,123,1.5
Brock Nelson,155,,0.5,,,,-175,,0.5,,-188,3.5
Wyatt Johnston,165,,0.5,,,,-135,,0.5,,102,2.5
Thomas Harley,165,,0.5,,,,113,,0.5,,-170,2.5
Kyle Palmieri,200,,0.5,,,,-108,,0.5,,-141,2.5
Anders Lee,270,,0.5,,,,120,,0.5,,-178,2.5
Mason Marchment,,,,,,,,,,,,
Pierre Engvall,,,,,,,,,,,,
Jean-Gabriel Pageau,,,,,,,,,,,,
Craig Smith,,,,,,,,,,,,
Sam Steel,,,,,,,,,,,,
Ty Dellandrea,,,,,,,,,,,,
Simon Holmstrom,,,,,,,,,,,,
Radek Faksa,,,,,,,,,,,,
Kyle MacLean,,,,,,,,,,,,
Casey Cizikas,,,,,,,,,,,,
Ryan Pulock,,,,,,,,,,,,
Mike Reilly,,,,,,,,,,,106,1.5
Cal Clutterbuck,,,,,,,,,,,,
Esa Lindell,,,,,,,,,,,,
Matt Martin,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,
Ryan Suter,,,,,,,,,,,,
Sebastian Aho,,,,,,,,,,,,
Joel Hanley,,,,,,,,,,,,
Connor McDavid,-280,,0.5,,,,,,,,-131,3.5
Leon Draisaitl,-155,,0.5,,,,,,,,-125,2.5
Ryan Nugent-Hopkins,-108,,0.5,,,,-185,,0.5,,-198,2.5
Evan Bouchard,100,,0.5,,,,-145,,0.5,,-149,2.5
Kevin Fiala,108,,0.5,,,,-175,,0.5,,-123,2.5
Adrian Kempe,113,,0.5,,,,-185,,0.5,,-188,3.5
Anze Kopitar,124,,0.5,,,,-135,,0.5,,,
Drew Doughty,140,,0.5,,,,105,,0.5,,,
Quinton Byfield,150,,0.5,,,,-123,,0.5,,-208,2.5
Zach Hyman,150,,0.5,,,,-205,,0.5,,-158,3.5
Phillip Danault,175,,0.5,,,,106,,0.5,,108,1.5
Trevor Moore,200,,0.5,,,,-105,,0.5,,106,2.5
Evander Kane,220,,0.5,,,,-108,,0.5,,100,2.5
Pierre-Luc Dubois,250,,0.5,,,,125,,0.5,,123,1.5
Warren Foegele,,,,,,,,,,,-167,2.5
Corey Perry,,,,,,,,,,,,
Alex Laferriere,,,,,,,,,,,-102,1.5
Arthur Kaliyev,,,,,,,,,,,,
Ryan McLeod,,,,,,,,,,,,
Mattias Janmark,,,,,,,,,,,,
Dylan Holloway,,,,,,,,,,,,
Trevor Lewis,,,,,,,,,,,,
Connor Brown,,,,,,,,,,,,
Darnell Nurse,,,,,,,,,,,111,1.5
Mattias Ekholm,,,,,,,,,,,,
Blake Lizotte,,,,,,,,,,,,
Derek Ryan,,,,,,,,,,,,
Alex Turcotte,,,,,,,,,,,,
Matt Roy,,,,,,,,,,,,
Vladislav Gavrikov,,,,,,,,,,,,
Brandt Clarke,,,,,,,,,,,,
Mikey Anderson,,,,,,,,,,,,
Cody Ceci,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,
Vincent Desharnais,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,
David Pastrnak,-155,,0.5,,,,,,,,-123,4.5
Charlie McAvoy,-117,,0.5,,,,-155,,0.5,,115,1.5
Brad Marchand,-109,,0.5,,,,-230,,0.5,,-152,2.5
Vince Dunn,-102,,0.5,,,,-135,,0.5,,-158,2.5
Pavel Zacha,135,,0.5,,,,-140,,0.5,,123,1.5
Charlie Coyle,150,,0.5,,,,-121,,0.5,,,
Andre Burakovsky,165,,0.5,,,,102,,0.5,,113,1.5
Jake DeBrusk,170,,0.5,,,,-115,,0.5,,-183,2.5
Jared McCann,175,,0.5,,,,-140,,0.5,,100,2.5
Oliver Bjorkstrand,175,,0.5,,,,-104,,0.5,,-183,2.5
Alex Wennberg,175,,0.5,,,,112,,0.5,,,
Jordan Eberle,180,,0.5,,,,-112,,0.5,,-178,2.5
Matty Beniers,190,,0.5,,,,109,,0.5,,,
Eeli Tolvanen,195,,0.5,,,,109,,0.5,,120,1.5
Jaden Schwartz,205,,0.5,,,,110,,0.5,,130,1.5
Yanni Gourde,205,,0.5,,,,126,,0.5,,123,1.5
James van Riemsdyk,220,,0.5,,,,115,,0.5,,110,1.5
Morgan Geekie,250,,0.5,,,,135,,0.5,,,
Trent Frederic,,,,,,,,,,,,
Danton Heinen,,,,,,,,,,,,
Tomas Tatar,,,,,,,,,,,,
Justin Brazeau,,,,,,,,,,,,
Brandon Tanev,,,,,,,,,,,,
Jesper Boqvist,,,,,,,,,,,,
Anthony Richard,,,,,,,,,,,,
Tye Kartye,,,,,,,,,,,,
Adam Larsson,,,,,,,,,,,,
Justin Schultz,,,,,,,,,,,,
Mason Lohrei,,,,,,,,,,,,
Kevin Shattenkirk,,,,,,,,,,,,
Jamie Oleksiak,,,,,,,,,,,,
Brandon Carlo,,,,,,,,,,,,
Brian Dumoulin,,,,,,,,,,,,
Will Borgen,,,,,,,,,,,,
Parker Wotherspoon,,,,,,,,,,,,
Derek Forbort,,,,,,,,,,,,
