Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Tyson Foerster,,-152,0.5,,-182,2.5
Cam York,130,,0.5,,,
Jack Roslovic,141,,0.5,,,
Owen Tippett,-119,,0.5,113,,3.5
Vincent Trocheck,,127,0.5,-125,,2.5
Auston Matthews,,-154,1.5,-105,,4.5
Jesper Bratt,-200,,0.5,,117,2.5
John Tavares,,128,0.5,115,,3.5
Morgan Rielly,-120,,0.5,115,,2.5
Nico Hischier,-164,,0.5,,113,2.5
William Nylander,,-143,1.5,,104,3.5
Erik Haula,,-156,0.5,146,,2.5
Timo Meier,,107,0.5,,-139,3.5
Jack Hughes,,-217,1.5,-147,,3.5
Luke Hughes,130,,0.5,,113,1.5
Timothy Liljegren,149,,0.5,,,
Max Domi,-118,,0.5,136,,2.5
Tyler Bertuzzi,-111,,0.5,,-196,2.5
Bobby McMann,,,,,-108,2.5
Ryan Nugent-Hopkins,-156,,0.5,136,,2.5
Connor McDavid,,-116,1.5,112,,3.5
Kyle Connor,,138,0.5,,133,2.5
Adam Lowry,141,,0.5,,,
Leon Draisaitl,,-227,1.5,,109,2.5
Mark Scheifele,-156,,0.5,152,,2.5
Nikolaj Ehlers,120,,0.5,-101,,2.5
Evander Kane,,-169,0.5,112,,2.5
Josh Morrissey,,-112,0.5,,-135,2.5
Zach Hyman,,147,0.5,102,,3.5
Nino Niederreiter,149,,0.5,,,
Evan Bouchard,-147,,0.5,,-105,2.5
Alex Iafallo,,-217,0.5,,,
Sean Monahan,,-130,0.5,,112,1.5
Tyler Toffoli,,-118,0.5,,-118,2.5
Darnell Nurse,,,,-172,,1.5
Warren Foegele,,,,-189,,1.5
Mattias Ekholm,,,,-182,,1.5
William Karlsson,-118,,0.5,,-145,2.5
Filip Forsberg,,160,0.5,-145,,3.5
Jonathan Marchessault,,100,0.5,,133,2.5
Shea Theodore,,-143,0.5,110,,2.5
Chandler Stephenson,102,,0.5,,,
Roman Josi,,106,0.5,,-139,3.5
Nicolas Roy,,-169,0.5,,,
Jack Eichel,-250,,0.5,,-101,3.5
Tommy Novak,115,,0.5,,,
Luke Evangelista,,-149,0.5,152,,2.5
Ryan O'Reilly,,-105,0.5,,136,1.5
Jason Zucker,136,,0.5,115,,2.5
Gustav Nyquist,,-105,0.5,,142,1.5
Tyson Barrie,,,,,113,1.5
Noah Hanifin,,,,,-149,2.5
Mikael Backlund,,-103,0.5,-154,,2.5
Rasmus Andersson,117,,0.5,-149,,1.5
Philipp Kurashev,,-106,0.5,-167,,1.5
Seth Jones,,-114,0.5,,-114,2.5
Andrew Mangiapane,,-145,0.5,-200,,1.5
Jonathan Huberdeau,,101,0.5,-161,,1.5
Tyler Johnson,,-137,0.5,-182,,1.5
Nazem Kadri,,125,0.5,,-139,3.5
Connor Zary,,-175,0.5,,,
Blake Coleman,,-122,0.5,,-135,2.5
MacKenzie Weegar,130,,0.5,,-112,2.5
Nick Foligno,100,,0.5,-143,,1.5
Connor Bedard,-189,,0.5,115,,3.5
Daniil Miromanov,139,,0.5,-179,,1.5
Yegor Sharangovich,,103,0.5,-102,,2.5
Martin Pospisil,,,,-154,,1.5
Andreas Athanasiou,,,,,109,1.5
Ryan Donato,,,,,144,1.5
Nathan MacKinnon,,109,1.5,-143,,4.5
Nick Suzuki,-192,,0.5,134,,2.5
Mikko Rantanen,109,,1.5,-108,,3.5
Valeri Nichushkin,-227,,0.5,,132,2.5
Devon Toews,,-128,0.5,,140,1.5
Cale Makar,178,,1.5,,134,2.5
Juraj Slafkovsky,,-130,0.5,-135,,1.5
Artturi Lehkonen,,125,0.5,,148,1.5
Cole Caufield,-154,,0.5,,-118,3.5
Mike Matheson,,-106,0.5,149,,2.5
Alex Newhook,,-169,0.5,,-108,1.5
Jonathan Drouin,-167,,0.5,,119,1.5
Casey Mittelstadt,,100,0.5,,,
Miles Wood,,,,-189,,1.5
Brendan Gallagher,,,,-120,,1.5
Troy Terry,-130,,0.5,,-145,2.5
Cam Fowler,112,,0.5,,,
Jordan Eberle,,121,0.5,,-110,2.5
Jared McCann,,113,0.5,,-154,3.5
Jaden Schwartz,-102,,0.5,112,,2.5
Mason McTavish,122,,0.5,,119,1.5
Frank Vatrano,,-103,0.5,-172,,2.5
Eeli Tolvanen,-132,,0.5,,-145,2.5
Matty Beniers,,101,0.5,,-175,2.5
Ryan Strome,,-130,0.5,,,
Andre Burakovsky,,-132,0.5,132,,2.5
Oliver Bjorkstrand,-114,,0.5,,-149,2.5
Yanni Gourde,,-145,0.5,-172,,1.5
Leo Carlsson,,-167,0.5,,137,1.5
Alex Killorn,103,,0.5,,127,1.5
Lawson Crouse,,-161,0.5,,141,1.5
Nick Schmaltz,-189,,0.5,,-147,2.5
Zach Werenski,,111,0.5,,-128,3.5
Clayton Keller,,181,0.5,134,,3.5
Boone Jenner,-122,,0.5,,115,2.5
Logan Cooley,112,,0.5,,140,1.5
Matias Maccelli,,-116,0.5,,,
Cole Sillinger,,-185,0.5,146,,2.5
Dylan Guenther,,-114,0.5,,-112,2.5
Kirill Marchenko,132,,0.5,,-152,2.5
Nick Bjugstad,107,,0.5,120,,2.5
Ivan Provorov,155,,0.5,,,
Johnny Gaudreau,,-118,0.5,132,,2.5
Alex Nylander,,-164,0.5,,-143,2.5
Sean Durzi,103,,0.5,-145,,1.5
Jamie Benn,,110,0.5,-182,,1.5
Miro Heiskanen,,104,0.5,,-161,2.5
Tyler Seguin,,-112,0.5,,-149,2.5
Roope Hintz,,110,0.5,,-145,2.5
Joe Pavelski,,119,0.5,,-172,2.5
Logan Stankoven,115,,0.5,,-185,2.5
Wyatt Johnston,,-110,0.5,-125,,2.5
William Eklund,120,,0.5,-118,,1.5
Matt Duchene,,106,0.5,132,,2.5
Thomas Harley,141,,0.5,-185,,1.5
Jason Robertson,,164,0.5,,-104,2.5
Fabian Zetterlund,-101,,0.5,115,,2.5
Thomas Bordeleau,139,,0.5,-167,,1.5
Mason Marchment,,-145,0.5,,103,1.5
Mikael Granlund,-143,,0.5,-143,,1.5
Filip Zadina,,,,,134,1.5
