Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Brad Marchand,,103,0.5,126,,2.5
David Pastrnak,,187,0.5,,-164,4.5
Jake DeBrusk,,-137,0.5,115,,2.5
Charlie McAvoy,,-182,0.5,,100,1.5
Carter Verhaeghe,,135,0.5,,119,2.5
Charlie Coyle,106,,0.5,,112,1.5
Brandon Montour,,-115,0.5,-125,,2.5
Pavel Zacha,,-132,0.5,-145,,1.5
Matthew Tkachuk,161,,1.5,126,,3.5
Sam Bennett,,-120,0.5,-130,,2.5
Anton Lundell,,-156,0.5,,,
Vladimir Tarasenko,118,,0.5,-143,,1.5
Sam Reinhart,-213,,0.5,-139,,2.5
Evan Rodrigues,,-161,0.5,-192,,1.5
James van Riemsdyk,,,,-130,,1.5
Sebastian Aho,-222,,0.5,-130,,2.5
Andrei Svechnikov,,110,0.5,,-109,2.5
Evgeni Malkin,102,,0.5,-154,,1.5
Teuvo Teravainen,,-159,0.5,-149,,1.5
Kris Letang,,-149,0.5,-172,,1.5
Seth Jarvis,,120,0.5,122,,2.5
Martin Necas,,-101,0.5,,115,2.5
Bryan Rust,-137,,0.5,,-102,2.5
Sidney Crosby,-204,,0.5,-159,,2.5
Brady Skjei,,-159,0.5,,-156,2.5
Michael Bunting,106,,0.5,146,,2.5
Jake Guentzel,,-238,1.5,,131,2.5
Erik Karlsson,,-115,0.5,109,,2.5
Evgeny Kuznetsov,,-137,0.5,,,
Brent Burns,120,,0.5,,-169,2.5
Jordan Martinook,,,,,119,1.5
Drew O'Connor,,,,,112,1.5
Reilly Smith,,,,-149,,1.5
Rickard Rakell,,,,,127,1.5
Lars Eller,,,,-145,,1.5
Dylan Larkin,-159,,0.5,-130,,2.5
Alex Ovechkin,190,,1.5,-118,,3.5
Connor McMichael,107,,0.5,-161,,1.5
John Carlson,,134,0.5,,-139,2.5
Dylan Strome,,123,0.5,120,,2.5
Moritz Seider,,-200,0.5,,,
J.T. Compher,100,,0.5,,,
Lucas Raymond,,-132,0.5,-182,,1.5
Rasmus Sandin,,-185,0.5,,,
Max Pacioretty,-103,,0.5,132,,2.5
Alex DeBrincat,-108,,0.5,-111,,2.5
Patrick Kane,,137,0.5,,104,2.5
David Perron,,,,,122,1.5
T.J. Oshie,,,,-159,,1.5
Mika Zibanejad,-128,,0.5,106,,2.5
Scott Laughton,128,,0.5,,133,1.5
Travis Sanheim,,-172,0.5,,,
Artemi Panarin,149,,1.5,120,,3.5
Morgan Frost,115,,0.5,,139,1.5
Joel Farabee,120,,0.5,-196,,1.5
Chris Kreider,-135,,0.5,,110,2.5
Travis Konecny,-147,,0.5,,139,2.5
Adam Fox,-152,,0.5,,126,1.5
Alexis Lafrenière,115,,0.5,-101,,2.5
