Name,Fantasy_Line,Threes_Line,Double_Line,FT_Line,Triple_Line,Blocks_Line,Turnovers_Line,PointsReboundsAssists_Line,PointsRebounds_Line,Points_Line,ReboundsAssists_Line,Steals_Line,PointsAssists_Line,Assists_Line,BlocksSteals_Line,Rebounds_Line
Clint Capela,,,0.5s,,,1.5s,,19.5,18.5,9.5,9.5,0.5s,,,,8.5
John Collins,,0.5s,0.5s,,,0.5s,1.5s,26.0,24.0,14.5,,0.5,16.5,,1.5,9.5
Jordan Clarkson,,1.5s,,3.0,,0.5s,2.5s,24.5,19.5,,8.0,0.5s,21.5,5.0,0.5,3.0
De'Andre Hunter,,2.0,,3.0,,0.5s,1.5s,23.5,21.5,17.0s,,0.5s,,,1.5s,4.0
Collin Sexton,,1.5,,4.0,,0.5s,1.5s,27.5,20.5s,18.5,9.0,0.5s,24.5,6.0,0.5s,2.5
Saddiq Bey,,1.5s,,2.5,,0.5s,,22.5,20.5,14.5,7.5,0.5s,16.5,,,6.0
Walker Kessler,,,,,,,,15.0,,7.5,7.5,,,,2.5,6.5
Bogdan Bogdanovic,,3.0,,,,0.5s,1.5s,26.5,22.5,,7.5,1.5s,22.5,4.0,1.5,3.5
Kris Dunn,,0.5,,,,,1.5s,13.5,,,6.5s,1.5s,,3.5,1.5s,
Keyonte George,,2.0,,2.5,,0.5s,2.0,23.5,17.5,,8.5,0.5s,19.5,5.5s,0.5s,
Taylor Hendricks,,1.5s,,,,0.5s,,14.5,,,6.0,0.5,,,,5.0
Bruno Fernando,,,,,,,,12.5,,,6.0,,,,,5.0
Garrison Mathews,,0.5s,,,,,,6.5,,,2.0,,,0.5,,1.5
Anthony Edwards,,3.0,,,,0.5s,3.0,43.5,38.5,32.0,11.5,1.5s,37.5,5.0,1.5s,6.0
Victor Wembanyama,50.55,1.5,0.5s,,,3.0,3.5s,36.0,32.5,22.5,13.5,1.5,25.5,,4.5s,10.5s
Devin Vassell,,2.0,,,,0.5s,1.5s,26.5,22.5,,7.5,0.5s,22.5,,1.5,4.0
Jaden McDaniels,,1.5,,,,0.5,1.5,16.5,,,,1.5s,,,1.5s,
Keldon Johnson,,1.5s,,,,0.5s,1.5s,17.5,15.5,,,0.5,,,0.5s,4.0
Rudy Gobert,,,,,,2.0,1.5s,31.5,30.5,15.5,16.0,0.5s,16.5,,2.5s,14.5
Jeremy Sochan,,,,,,0.5s,1.5s,19.5,17.5,11.0s,8.0,0.5s,,,1.5s,6.0
Mike Conley,,2.5s,,,,0.5s,1.5s,20.5,,,9.0,1.5s,17.5,5.5,1.5,3.0
Tre Jones,,0.5s,,,,,1.5s,18.5,,,9.5,0.5s,15.5,6.5,1.5s,3.0
