Name,PitcherStrikeoutsC,PitcherStrikeoutsH,PitcherStrikeoutsL,PitcherWalksC,PitcherWalksH,PitcherWalksL,HitsAllowedC,HitsAllowedH,HitsAllowedL,RunsAllowedC,RunsAllowedH,RunsAllowedL,TotalBasesC,TotalBasesH,TotalBasesL,HitsC,HitsH,HitsL,RunsC,RunsH,RunsL,RBIsC,RBIsH,RBIsL,HitsRunsRBIsC,HitsRunsRBIsH,HitsRunsRBIsL,SinglesC,SinglesH,SinglesL,DoublesC,DoublesH,DoublesL,StolenBasesC,StolenBasesH,StolenBasesL,BatterStrikeoutsC,BatterStrikeoutsH,BatterStrikeoutsL,BatterWalksC,BatterWalksH,BatterWalksL,FantasyC,FantasyH,FantasyL
Juan Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Aaron Judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Oneil Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Bryan Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Yoshinobu Yamamoto,4.5x1,,,,,,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5x1,,
Joe Musgrove,5.0x1,,,,,,4.5x1,,,2.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5x1,,
Shohei Ohtani,,,,,,,,,,,,,1.5x1,,,,1.5sx1.5,1.5x0.7,,0.5x0.85,0.5sx1.1,,0.5sx1.2,0.5x0.8,2.0x1,,,,0.5sx1.05,0.5x0.95,,0.5sx2.25,,,0.5sx6,,,,,,,,8.5x1,,
Fernando Tatis,,,,,,,,,,,,,1.5x1,,,,1.5sx1.5,1.5x0.7,0.5x1,,,,0.5sx1.25,0.5x0.8,2.0x1,,,0.5x1,,,,0.5sx2.5,,,0.5sx2.25,,,,,,,,8.5x1,,
Mookie Betts,,,,,,,,,,,,,1.5x1,,,,1.5sx1.5,1.5x0.7,,0.5x0.85,0.5sx1.1,,0.5sx1.5,0.5x0.7,2.0x1,,,,0.5x0.9,0.5sx1.05,,0.5sx2.25,,,0.5sx5.25,,,,,,,,8.5x1,,
Freddie Freeman,,,,,,,,,,,,,1.5x1,,,,1.5sx1.25,1.5x0.75,0.5x1,,,,0.5sx1.2,0.5x0.8,2.0x1,,,,0.5x0.9,0.5sx1.05,,0.5sx2,0.5x0.65,,0.5sx6,,,,,,,,8.0x1,,
Manny Machado,,,,,,,,,,,,,,1.5sx1.1,1.5x0.9,,0.5x0.7,0.5sx1.5,,0.5sx1.1,0.5x0.85,,0.5sx1.1,0.5x0.85,2.0x1,,,0.5x1,,,,0.5sx2.5,,,,,,,,,,,7.0x1,,
Xander Bogaerts,,,,,,,,,,,,,,1.5sx1.2,1.5x0.8,,0.5x0.7,0.5sx1.5,,0.5sx1.1,0.5x0.9,,0.5sx1.5,0.5x0.7,1.5x1,,,,0.5x0.9,0.5sx1.05,,0.5sx2.5,,,0.5sx4,,,,,,,,7.0x1,,
Will Smith,,,,,,,,,,,,,,1.5sx1.1,1.5x0.85,,1.5sx1.5,1.5x0.7,,0.5sx1.05,0.5x0.9,,0.5sx1.2,0.5x0.85,2.0x1,,,,0.5x0.9,0.5sx1.1,,0.5sx2.25,,,,,,,,,,,7.0x1,,
Max Muncy,,,,,,,,,,,,,,0.5x0.85,0.5sx1.1,,,,,0.5sx1.05,0.5x0.9,,0.5sx1.25,0.5x0.8,1.5x1,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,0.5x1,,,7.0x1,,
Teoscar Hernández,,,,,,,,,,,,,,1.5sx1.2,1.5x0.8,,0.5x0.75,0.5sx1.25,,0.5sx1.1,0.5x0.85,,0.5sx1.25,0.5x0.75,1.5x1,,,0.5x1,,,,0.5sx2.75,,,,,,,,,,,6.5x1,,
Ha-Seong Kim,,,,,,,,,,,,,,0.5x0.8,0.5sx1.2,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,,0.5sx1.1,0.5x0.9,,0.5sx3.25,,,0.5sx2.75,,,,,,,,6.0x1,,
Jake Cronenworth,,,,,,,,,,,,,,1.5sx1.1,1.5x0.85,,0.5x0.7,0.5sx1.5,,0.5sx1.1,0.5x0.85,,0.5sx1.25,0.5x0.75,1.5x1,,,0.5x1,,,,0.5sx2.25,,,,,,,,,,,6.5x1,,
Jason Heyward,,,,,,,,,,,,,,0.5x0.85,0.5sx1.1,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,,0.5sx1.2,0.5x0.85,,0.5sx3,,,,,,,,,,,,,
James Outman,,,,,,,,,,,,,0.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.5,0.5x0.7,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.25,,,0.5sx6,,,,,,,,5.5x1,,
Luis Campusano,,,,,,,,,,,,,,1.5sx1.25,1.5x0.8,,0.5x0.75,0.5sx1.25,,,,,0.5sx1.5,0.5x0.7,1.5x1,,,0.5x1,,,,0.5sx2.5,,,,,,,,,,,5.5x1,,
Jackson Merrill,,,,,,,,,,,,,,0.5x0.8,0.5sx1.2,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,,0.5sx1.1,0.5x0.85,,0.5sx3,,,,,,,,,,,,,
Gavin Lux,,,,,,,,,,,,,,0.5x0.85,0.5sx1.1,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,,0.5sx1.1,0.5x0.85,,0.5sx3.25,,,,,,,,,,,,,
Jurickson Profar,,,,,,,,,,,,,,0.5x0.8,0.5sx1.25,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.5,0.5x0.7,1.5x1,,,0.5x1,,,,0.5sx2.75,,,,,,,,,,,6.0x1,,
