Name,PitcherStrikeoutsC,PitcherStrikeoutsH,PitcherStrikeoutsL,PitcherWalksC,PitcherWalksH,PitcherWalksL,HitsAllowedC,HitsAllowedH,HitsAllowedL,RunsAllowedC,RunsAllowedH,RunsAllowedL,TotalBasesC,TotalBasesH,TotalBasesL,HitsC,HitsH,HitsL,RunsC,RunsH,RunsL,RBIsC,RBIsH,RBIsL,HitsRunsRBIsC,HitsRunsRBIsH,HitsRunsRBIsL,SinglesC,SinglesH,SinglesL,DoublesC,DoublesH,DoublesL,StolenBasesC,StolenBasesH,StolenBasesL,BatterStrikeoutsC,BatterStrikeoutsH,BatterStrikeoutsL,BatterWalksC,BatterWalksH,BatterWalksL,FantasyC,FantasyH,FantasyL
Yandy Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Brandon Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Sean Manaea,,4.5x0.85,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke Schmidt,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Francisco Lindor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Brandon Nimmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Bailey Ober,,4.5x0.9,4.5sx1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Sale,,4.5x0.9,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Ozzie Albies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Austin Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5x1,,
Bo Bichette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Kevin Gausman,,3.5x0.85,3.5sx1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Springer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Steven Matz,,4.5x0.9,4.5sx1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Rea,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Whitlock,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Stone,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reid Detmers,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Henry,3.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP Sears,,4.5x0.9,4.5sx1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hicks,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Cease,,5.5x0.85,5.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Miller,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
