Name,PitcherStrikeoutsC,PitcherStrikeoutsH,PitcherStrikeoutsL,PitcherWalksC,PitcherWalksH,PitcherWalksL,HitsAllowedC,HitsAllowedH,HitsAllowedL,RunsAllowedC,RunsAllowedH,RunsAllowedL,TotalBasesC,TotalBasesH,TotalBasesL,HitsC,HitsH,HitsL,RunsC,RunsH,RunsL,RBIsC,RBIsH,RBIsL,HitsRunsRBIsC,HitsRunsRBIsH,HitsRunsRBIsL,SinglesC,SinglesH,SinglesL,DoublesC,DoublesH,DoublesL,StolenBasesC,StolenBasesH,StolenBasesL,BatterStrikeoutsC,BatterStrikeoutsH,BatterStrikeoutsL,BatterWalksC,BatterWalksH,BatterWalksL,FantasyC,FantasyH,FantasyL
Frankie Montas,,4.5x0.85,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Quantrill,,2.5x0.9,2.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elly De La Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Spencer Steer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
Corbin Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0x1,,
Kyle Harrison,,4.5x0.85,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Chourio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
Cody Bellinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Dansby Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
George Kirby,,4.5x0.85,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Bibee,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zac Gallen,,5.5sx1.1,5.5x0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketel Marte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
Corbin Burnes,5.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paddack,,4.5sx1.1,4.5x0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pivetta,,5.5sx1.05,5.5x0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Gray,,4.5x0.85,4.5sx1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Abrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
