Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Stephen Curry,124,,4.5,-123,,25.5,,-116,34.5,118,,4.5,120,,5.5
Draymond Green,,104,5.5,,-105,7.5,,-115,22.5,110,,8.5,104,,0.5
Jimmy Butler,-112,,5.5,-109,,22.5,-109,,33.5,,114,4.5,,144,0.5
Bam Adebayo,,132,2.5,-118,,18.5,-115,,32.5,,-108,10.5,,,
Jonathan Kuminga,,-147,2.5,-120,,17.5,100,,25.5,,-167,5.5,-135,,0.5
Terry Rozier,-152,,4.5,-110,,18.5,,-123,28.5,-101,,4.5,,114,1.5
Brandin Podziemski,-169,,2.5,100,,8.5,,-127,17.5,,-143,5.5,174,,1.5
Patty Mills,141,,2.5,-109,,8.5,,-143,13.5,,-179,2.5,,115,1.5
Nikola Jovic,,,,-143,,6.5,,-118,12.5,-132,,3.5,,-200,1.5
Andrew Wiggins,,,,,-130,11.5,,-118,17.5,,-108,4.5,,-227,1.5
Khris Middleton,,-120,5.5,-114,,15.5,,-103,26.5,-149,,4.5,-133,,1.5
Giannis Antetokounmpo,-118,,5.5,-115,,30.5,-115,,48.5,-101,,12.5,113,,0.5
D'Angelo Russell,-149,,7.5,,-105,19.5,100,,31.5,-109,,3.5,,-128,3.5
Austin Reaves,,112,5.5,,110,16.5,-123,,27.5,-103,,4.5,,-164,2.5
Anthony Davis,-143,,3.5,,-105,24.5,-103,,43.5,,-105,12.5,144,,0.5
Damian Lillard,-143,,6.5,-130,,23.5,-110,,35.5,-101,,4.5,109,,3.5
Brook Lopez,,,,,-127,10.5,-109,,16.5,-109,,4.5,-169,,1.5
Rui Hachimura,,,,-114,,14.5,-125,,19.5,,-130,4.5,,-137,1.5
Malik Beasley,,,,-123,,9.5,-123,,14.5,107,,3.5,-103,,2.5
Shai Gilgeous-Alexander,-114,,5.5,-123,,29.5,,-116,41.5,-130,,5.5,-112,,1.5
Trey Murphy III,,-127,2.5,,-111,16.5,,-114,24.5,,-123,5.5,,133,2.5
Josh Giddey,-175,,3.5,-101,,10.5,,-110,20.5,,101,5.5,,184,0.5
C.J. McCollum,-112,,4.5,,-110,19.5,-135,,28.5,-102,,4.5,106,,3.5
Herb Jones,,-114,2.5,-109,,10.5,,-128,17.5,-147,,3.5,120,,1.5
Jalen Williams,,-143,4.5,,-123,17.5,-122,,25.5,,128,3.5,100,,1.5
Zion Williamson,100,,6.5,-115,,25.5,,-120,39.5,,-145,7.5,,,
Luguentz Dort,,,,,-104,8.5,-112,,13.5,117,,3.5,,112,1.5
Jonas Valanciunas,,,,,-130,10.5,,-120,21.5,,-106,8.5,,-333,0.5
Chet Holmgren,,,,-109,,15.5,-109,,26.5,,-111,8.5,,105,1.5
De'Aaron Fox,-123,,5.5,100,,26.5,,-110,36.5,-125,,4.5,-141,,2.5
Luka Doncic,,-105,10.5,,-116,33.5,,-130,54.5,-108,,9.5,-135,,3.5
Domantas Sabonis,-105,,8.5,,-112,19.5,,-106,42.5,,-119,14.5,,-208,0.5
Keon Ellis,,-154,2.5,,-111,6.5,,-115,12.5,,-159,3.5,,-125,1.5
Kyrie Irving,-114,,4.5,,-106,24.5,-109,,34.5,-105,,4.5,,130,2.5
Harrison Barnes,,,,,-105,12.5,,-125,17.5,-159,,2.5,,112,1.5
Keegan Murray,,,,,-115,16.5,,-105,23.5,,-108,5.5,,113,2.5
Daniel Gafford,,,,-116,,11.5,-112,,20.5,-110,,7.5,,,
Derrick Jones,,,,,-106,6.5,-115,,10.5,,122,2.5,,-112,0.5
P.J. Washington,,,,-112,,10.5,-106,,17.5,,-137,5.5,-112,,1.5
