Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Anthony Davis,-172,,2.5,,-120,25.5,,-103,42.5,-106,,14.5,178,,0.5
D'Angelo Russell,,100,5.5,-108,,18.5,-118,,27.5,104,,3.5,,127,2.5
Austin Reaves,,120,4.5,-125,,15.5,,-114,25.5,,-122,4.5,,124,1.5
LeBron James,,-143,8.5,,-112,26.5,100,,43.5,,-112,7.5,-179,,1.5
Tyrese Haliburton,-130,,10.5,,-120,19.5,-105,,34.5,,-106,3.5,-120,,2.5
Andrew Nembhard,,-135,3.5,,-120,9.5,,-112,15.5,-118,,2.5,-217,,0.5
Pascal Siakam,,-106,3.5,,-130,22.5,-118,,33.5,-130,,7.5,-147,,0.5
T.J. McConnell,,-115,4.5,100,,10.5,-102,,18.5,-161,,2.5,195,,0.5
Spencer Dinwiddie,134,,2.5,,-137,5.5,,-130,9.5,-105,,1.5,-143,,0.5
Aaron Nesmith,,,,105,,13.5,-123,,18.5,,-147,4.5,,141,1.5
Rui Hachimura,,,,,-119,13.5,-109,,18.5,-147,,3.5,,-222,1.5
Jalen Smith,,,,,-127,9.5,103,,16.5,,109,5.5,-233,,0.5
Obi Toppin,,,,,104,6.5,,-118,11.5,,-132,3.5,-189,,0.5
Ben Sheppard,,,,,108,4.5,-130,,7.5,,130,1.5,-192,,0.5
Taurean Prince,,,,,-119,6.5,,-135,10.5,,-111,2.5,,-196,1.5
Jaxson Hayes,,,,118,,4.5,-110,,7.5,-139,,2.5,,,
Myles Turner,,,,100,,15.5,-109,,23.5,-122,,6.5,-120,,1.5
