Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Luka Doncic,,-174,10.5,,-109,51.5,,-109,51.5,,-123,8.5,,102,3.5
Kyrie Irving,,-103,5.5,,-111,37.5,,-111,37.5,,-104,4.5,,114,2.5
Pascal Siakam,,112,3.5,,-125,33.5,,-125,33.5,,110,5.5,,-184,1.5
PJ Washington,,129,1.5,,-127,19.5,,-127,19.5,,108,4.5,,-129,1.5
Josh Green,,-194,2.5,,-121,13.5,,-121,13.5,,-109,2.5,,-184,1.5
Dereck Lively II,,146,0.5,,-111,13.5,,-111,13.5,,-127,5.5,,,
T.J. McConnell,,110,4.5,,-119,15.5,,-119,15.5,,,,,,
Bennedict Mathurin,,110,1.5,,-131,22.5,,-131,22.5,,-115,4.5,,-139,1.5
Tyrese Haliburton,,104,11.5,,-115,37.5,,-115,37.5,,-108,3.5,,-199,3.5
Myles Turner,,-244,1.5,,-127,26.5,,-127,26.5,,-103,6.5,,-113,1.5
Andrew Nembhard,,-106,4.5,,-115,17.5,,-115,17.5,,-129,2.5,,143,0.5
Daniel Gafford,,,,,-104,15.5,,-104,15.5,,-103,5.5,,,
Tim Hardaway Jr.,,,,,-117,16.5,,-117,16.5,,,,,-157,2.5
Obi Toppin,,,,,-111,12.5,,-111,12.5,,-103,3.5,,-224,1.5
Maxi Kleber,,,,,,,,,,,-139,3.5,,146,0.5
Jarrett Allen,,133,1.5,,-123,31.5,,-123,31.5,,-115,11.5,,,
Kyle Kuzma,,-123,3.5,,-123,32.5,,-123,32.5,,-157,7.5,,139,1.5
Tyus Jones,,-115,8.5,,-113,23.5,,-113,23.5,,-111,2.5,,-113,1.5
Marvin Bagley III,,-163,1.5,,-113,21.5,,-113,21.5,,-121,7.5,,,
Caris LeVert,,120,3.5,,-127,18.5,,-127,18.5,,-109,3.5,,172,0.5
Darius Garland,,114,6.5,,-119,26.5,,-119,26.5,,-135,2.5,,116,1.5
Evan Mobley,,-142,2.5,,-104,27.5,,-104,27.5,,126,9.5,,-204,0.5
Max Strus,,-157,3.5,,-131,18.5,,-131,18.5,,120,3.5,,112,1.5
Bilal Coulibaly,,100,1.5,,-108,15.5,,-108,15.5,,-199,5.5,,139,0.5
Donovan Mitchell,,108,5.5,,-117,38.5,,-117,38.5,,-163,5.5,,-169,3.5
Isaac Okoro,,,,,,,,,,,,,,116,0.5
Georges Niang,,,,,,,,,,,,,,-169,1.5
Dean Wade,,,,,,,,,,,,,,-111,0.5
Dejounte Murray,,118,7.5,,-103,36.5,,-103,36.5,,118,4.5,,-179,2.5
