Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Clint Capela,,126,0.5,,-117,17.5,,-117,17.5,,-119,7.5,,,
Saddiq Bey,,-125,1.5,,-129,22.5,,-129,22.5,,-121,5.5,,-101,1.5
Markelle Fultz,,-142,4.5,,-131,17.5,,-131,17.5,,112,2.5,,,
Jalen Suggs,,118,2.5,,-125,19.5,,-125,19.5,,-160,3.5,,-148,2.5
Franz Wagner,,108,4.5,,-115,32.5,,-115,32.5,,110,4.5,,-113,1.5
Wendell Carter Jr.,,-129,1.5,,-129,21.5,,-129,21.5,,102,6.5,,146,0.5
Jalen Johnson,,-109,3.5,,-106,27.5,,-106,27.5,,-133,8.5,,165,0.5
Bogdan Bogdanovic,,-123,3.5,,-115,24.5,,-115,24.5,,-145,3.5,,-101,2.5
De'Andre Hunter,,,,,-127,20.5,,-127,20.5,,-127,3.5,,126,1.5
Coby White,,-133,5.5,,-119,32.5,,-119,32.5,,-142,4.5,,-131,3.5
Nikola Vucevic,,-103,2.5,,-117,32.5,,-117,32.5,,-108,10.5,,-194,1.5
DeMar DeRozan,,104,4.5,,-127,32.5,,-127,32.5,,118,3.5,,129,0.5
Brandon Ingram,,104,6.5,,-127,35.5,,-127,35.5,,-133,5.5,,-123,1.5
Herbert Jones,,-131,2.5,,-123,19.5,,-123,19.5,,-133,4.5,,-117,1.5
Trey Murphy III,,123,1.5,,-111,20.5,,-111,20.5,,120,3.5,,108,2.5
Ayo Dosunmu,,-121,3.5,,-125,21.5,,-125,21.5,,-142,3.5,,120,1.5
Jonas Valanciunas,,-151,2.5,,-127,27.5,,-127,27.5,,-133,10.5,,-244,0.5
Alex Caruso,,-133,3.5,,-131,16.5,,-131,16.5,,106,3.5,,-160,1.5
Zion Williamson,,-157,6.5,,-119,37.5,,-119,37.5,,-154,6.5,,,
Andre Drummond,,,,,-111,18.5,,-111,18.5,,100,8.5,,,
Nikola Jokic,,-119,9.5,,-121,49.5,,-121,49.5,,-123,12.5,,-184,1.5
Jonathan Kuminga,,-115,2.5,,-113,24.5,,-113,24.5,,-133,5.5,,-142,0.5
Brandin Podziemski,,100,4.5,,-127,24.5,,-127,24.5,,-131,6.5,,-139,1.5
Stephen Curry,,-133,5.5,,-125,36.5,,-125,36.5,,-109,3.5,,100,4.5
Draymond Green,,-104,5.5,,102,20.5,,102,20.5,,-101,6.5,,-113,0.5
Aaron Gordon,,126,2.5,,-113,24.5,,-113,24.5,,-151,6.5,,-133,0.5
Andrew Wiggins,,116,1.5,,-117,20.5,,-117,20.5,,-119,4.5,,-189,1.5
Kentavious Caldwell-Pope,,-101,1.5,,-125,14.5,,-125,14.5,,-127,2.5,,-174,1.5
Jamal Murray,,110,6.5,,-108,31.5,,-108,31.5,,-104,3.5,,-142,2.5
Michael Porter Jr.,,-131,1.5,,-111,26.5,,-111,26.5,,-111,6.5,,116,2.5
Klay Thompson,,,,,104,17.5,,104,17.5,,,,,-127,2.5
Jabari Smith Jr.,,-154,1.5,,-111,24.5,,-111,24.5,,108,8.5,,114,1.5
Josh Giddey,,-129,3.5,,-106,19.5,,-106,19.5,,-104,5.5,,152,0.5
Chet Holmgren,,-160,2.5,,-119,26.5,,-119,26.5,,-148,8.5,,-108,1.5
Shai Gilgeous-Alexander,,-119,6.5,,-125,43.5,,-125,43.5,,-133,5.5,,-199,1.5
Alperen Sengun,,108,4.5,,-123,35.5,,-123,35.5,,-101,9.5,,-244,0.5
Luguentz Dort,,-234,1.5,,-104,13.5,,-104,13.5,,-145,3.5,,-103,1.5
Amen Thompson,,-174,3.5,,-121,21.5,,-121,21.5,,-103,6.5,,-324,0.5
Jalen Green,,129,2.5,,-119,22.5,,-119,22.5,,-169,4.5,,108,1.5
Dillon Brooks,,-111,1.5,,-131,17.5,,-131,17.5,,-145,3.5,,100,1.5
Jalen Williams,,-119,4.5,,-125,27.5,,-125,27.5,,118,3.5,,-111,1.5
Fred VanVleet,,-113,6.5,,-108,25.5,,-108,25.5,,-133,3.5,,118,2.5
Cam Whitmore,,,,,-127,17.5,,-127,17.5,,104,3.5,,112,1.5
Aaron Wiggins,,,,,,,,,,,,,,-101,0.5
Jeff Green,,,,,,,,,,,,,,-160,0.5
Gordon Hayward,,,,,,,,,,,,,,-157,0.5
Isaiah Joe,,,,,,,,,,,,,,-121,1.5
Cason Wallace,,,,,,,,,,,,,,165,0.5
Kenrich Williams,,,,,,,,,,,,,,-109,0.5
Lauri Markkanen,,143,1.5,,-127,35.5,,-127,35.5,,100,8.5,,-151,3.5
Collin Sexton,,-157,6.5,,-125,29.5,,-125,29.5,,118,2.5,,-106,1.5
John Collins,,114,1.5,,-111,26.5,,-111,26.5,,-111,9.5,,139,0.5
Julian Champagnie,,-154,1.5,,-104,10.5,,-104,10.5,,123,2.5,,-194,1.5
Victor Wembanyama,,116,3.5,,-117,38.5,,-117,38.5,,-125,10.5,,120,1.5
Jeremy Sochan,,-133,2.5,,-111,22.5,,-111,22.5,,-133,6.5,,136,0.5
Keyonte George,,-101,5.5,,-117,24.5,,-117,24.5,,-157,3.5,,-104,2.5
Tre Jones,,108,6.5,,-129,21.5,,-129,21.5,,-157,3.5,,-117,0.5
Devin Vassell,,-157,4.5,,100,28.5,,100,28.5,,110,3.5,,-163,2.5
Jordan Clarkson,,112,4.5,,-108,26.5,,-108,26.5,,100,3.5,,139,1.5
Keldon Johnson,,,,,-109,20.5,,-109,20.5,,-127,4.5,,-174,1.5
Cody Martin,,-121,3.5,,-108,17.5,,-108,17.5,,-117,4.5,,-224,1.5
Jerami Grant,,-108,3.5,,-117,31.5,,-117,31.5,,123,3.5,,-189,2.5
Brandon Miller,,112,2.5,,-115,27.5,,-115,27.5,,-139,4.5,,110,2.5
Tre Mann,,-139,5.5,,-123,23.5,,-123,23.5,,110,4.5,,-121,1.5
Nick Richards,,-244,1.5,,-109,21.5,,-109,21.5,,-121,9.5,,,
Anfernee Simons,,-104,6.5,,-117,34.5,,-117,34.5,,-113,3.5,,-125,3.5
Deandre Ayton,,139,1.5,,-109,29.5,,-109,29.5,,-101,10.5,,,
Miles Bridges,,114,3.5,,-121,36.5,,-121,36.5,,-142,8.5,,-142,2.5
Grant Williams,,,,,-115,18.5,,-115,18.5,,-163,4.5,,-179,2.5
Paul George,,-131,3.5,,102,29.5,,102,29.5,,129,4.5,,110,2.5
Domantas Sabonis,,-123,8.5,,-113,42.5,,-113,42.5,,-108,12.5,,-324,0.5
De'Aaron Fox,,-151,5.5,,-117,34.5,,-117,34.5,,108,3.5,,-117,2.5
Harrison Barnes,,139,0.5,,-109,16.5,,-109,16.5,,126,2.5,,-104,1.5
Kevin Huerter,,-125,2.5,,-119,17.5,,-119,17.5,,100,3.5,,143,1.5
Ivica Zubac,,-224,1.5,,-109,23.5,,-109,23.5,,100,9.5,,,
Terance Mann,,129,1.5,,-121,16.5,,-121,16.5,,-109,3.5,,172,0.5
Keegan Murray,,-154,1.5,,-127,19.5,,-127,19.5,,108,4.5,,-125,1.5
Kawhi Leonard,,104,3.5,,-111,36.5,,-111,36.5,,-129,6.5,,133,1.5
Malik Monk,,-108,4.5,,-119,24.5,,-119,24.5,,,,,-194,2.5
James Harden,,112,7.5,,-109,32.5,,-109,32.5,,-103,5.5,,118,2.5
