Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Jaden McDaniels,,,,,-109,11.5,,-110,17.5,,-118,4.5,,-172,1.5
Rudy Gobert,,,,,-125,14.5,,-125,30.5,,-123,14.5,,,
Isaac Okoro,,,,,-104,9.5,,-114,15.5,,-108,3.5,,-182,1.5
Tristan Thompson,,,,,-161,4.5,,-123,10.5,,-109,4.5,,,
Sam Merrill,,,,,-114,9.5,,-119,14.5,,-123,2.5,,-103,2.5
Marcus Morris,,,,,100,5.5,,,,,130,2.5,,138,0.5
John Konchar,,-122,3.5,,-110,5.5,,-105,16.5,,-127,7.5,,106,0.5
Devin Vassell,,-122,4.5,,-111,20.5,,-122,30.5,,-123,4.5,,-125,2.5
Tre Jones,,-133,7.5,,-106,9.5,,-116,21.5,,117,3.5,,137,0.5
Santi Aldama,,-143,3.5,,-119,14.5,,-115,25.5,,-128,7.5,,138,1.5
Victor Wembanyama,,121,3.5,,-108,22.5,,-111,38.5,,-118,11.5,,144,1.5
Jeremy Sochan,,120,2.5,,-114,12.5,,-114,23.5,,-147,7.5,,172,0.5
Keldon Johnson,,147,1.5,,100,13.5,,100,21.5,,-135,5.5,,-167,2.5
Julian Champagnie,,,,,-105,5.5,,-102,9.5,,111,2.5,,-137,1.5
Jaren Jackson Jr,,,,,-123,26.5,,-109,34.5,,-135,5.5,,118,1.5
Malaki Branham,,,,,-125,6.5,,-105,9.5,,110,1.5,,114,0.5
Blake Wesley,,,,,-112,3.5,,-123,7.5,,-123,1.5,,-455,0.5
Zach Collins,,,,,-123,7.5,,-106,13.5,,-137,4.5,,-167,0.5
Zion Williamson,,125,5.5,,-116,24.5,,-120,37.5,,-110,6.5,,,
Bam Adebayo,,133,2.5,,-114,18.5,,100,31.5,,-132,10.5,,,
C.J. McCollum,,129,3.5,,-110,18.5,,-114,27.5,,115,3.5,,-141,3.5
Jimmy Butler,,-152,5.5,,-105,21.5,,-115,32.5,,-135,5.5,,150,0.5
Terry Rozier,,-108,4.5,,-116,17.5,,-119,26.5,,126,3.5,,138,1.5
Jaime Jaquez Jr,,-154,2.5,,-123,10.5,,-114,16.5,,-114,3.5,,124,0.5
Herb Jones,,-112,2.5,,-105,9.5,,-123,16.5,,-112,3.5,,-147,1.5
Trey Murphy III,,-167,2.5,,-116,16.5,,-112,23.5,,-115,4.5,,-123,3.5
Jose Alvarado,,-164,2.5,,-120,6.5,,-125,11.5,,-149,2.5,,-192,1.5
Nikola Jovic,,,,,-120,7.5,,-130,14.5,,-116,4.5,,-172,1.5
Caleb Martin,,,,,-114,10.5,,-125,17.5,,-114,4.5,,-115,1.5
Thomas Bryant,,,,,-125,5.5,,-112,9.5,,112,3.5,,,
Jonas Valanciunas,,,,,-127,8.5,,-123,17.5,,109,6.5,,-312,0.5
Naji Marshall,,,,,-130,7.5,,-127,13.5,,-103,3.5,,133,0.5
Larry Nance Jr,,,,,-130,5.5,,-110,12.5,,-137,5.5,,-345,0.5
Stephen Curry,,-105,4.5,,-103,27.5,,-114,36.5,,-114,4.5,,101,4.5
Draymond Green,,-115,6.5,,100,7.5,,-122,23.5,,-130,8.5,,-128,0.5
T.J. McConnell,,-108,4.5,,-112,10.5,,-114,18.5,,131,2.5,,-256,0.5
Jonathan Kuminga,,-139,2.5,,-135,20.5,,-115,28.5,,-132,5.5,,122,0.5
Andrew Nembhard,,-143,3.5,,-130,8.5,,-125,14.5,,-123,2.5,,139,0.5
Pascal Siakam,,-123,3.5,,-111,21.5,,-115,33.5,,115,7.5,,110,0.5
Brandin Podziemski,,-114,3.5,,-120,7.5,,-110,16.5,,-128,5.5,,131,0.5
Chris Paul,,122,5.5,,101,8.5,,-127,19.5,,112,3.5,,-217,1.5
Tyrese Haliburton,,-156,11.5,,-118,18.5,,-106,33.5,,-145,4.5,,-147,2.5
Klay Thompson,,,,,-101,16.5,,-123,22.5,,-167,3.5,,-135,3.5
Myles Turner,,,,,-122,15.5,,-116,23.5,,106,6.5,,-169,1.5
Andrew Wiggins,,,,,-120,13.5,,-114,20.5,,115,4.5,,-159,1.5
Aaron Nesmith,,,,,-125,13.5,,-132,19.5,,-154,4.5,,140,1.5
Trayce Jackson-Davis,,,,,-123,10.5,,-114,18.5,,-106,6.5,,,
Jalen Smith,,,,,-128,9.5,,-127,16.5,,-101,5.5,,154,0.5
Obi Toppin,,,,,-120,6.5,,-120,11.5,,-109,3.5,,100,0.5
Anfernee Simons,,-154,5.5,,-103,22.5,,-122,32.5,,122,3.5,,-125,3.5
Kawhi Leonard,,-130,3.5,,-110,24.5,,-125,34.5,,-106,5.5,,112,1.5
Paul George,,-108,3.5,,-108,23.5,,-123,33.5,,-130,5.5,,-149,3.5
James Harden,,-147,9.5,,100,15.5,,-123,30.5,,114,4.5,,-111,2.5
Scoot Henderson,,113,4.5,,-109,15.5,,-114,24.5,,-114,3.5,,-185,1.5
Kris Murray,,130,1.5,,-127,8.5,,-119,15.5,,-102,4.5,,159,0.5
Ivica Zubac,,,,,100,10.5,,-110,21.5,,-133,9.5,,,
Terance Mann,,,,,-102,8.5,,-127,14.5,,-109,3.5,,145,0.5
Deandre Ayton,,,,,-108,17.5,,-105,30.5,,-123,11.5,,,
Norman Powell,,,,,-108,14.5,,-115,19.5,,128,2.5,,-128,2.5
LeBron James,,-114,8.5,,-112,25.5,,-118,42.5,,-105,7.5,,-175,2.5
Tobias Harris,,130,2.5,,-111,16.5,,-122,26.5,,-127,6.5,,-167,1.5
Anthony Davis,,-154,3.5,,-123,25.5,,-118,42.5,,-135,14.5,,-233,0.5
Tyrese Maxey,,-128,5.5,,-135,28.5,,-114,37.5,,-109,3.5,,-169,3.5
Austin Reaves,,120,4.5,,-123,15.5,,-123,25.5,,-130,4.5,,146,1.5
D'Angelo Russell,,-149,6.5,,-112,17.5,,-115,27.5,,-115,3.5,,130,2.5
Rui Hachimura,,,,,-115,14.5,,-125,20.5,,-128,4.5,,-130,1.5
