Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Jayson Tatum,,-147,5.5,,-112,28.5,,-109,41.5,,-104,7.5,,-133,3.5
Jaylen Brown,,-108,3.5,,-130,26.5,,-114,35.5,,107,5.5,,-133,2.5
Jaden Ivey,,-105,3.5,,-101,15.5,,-119,23.5,,-152,3.5,,-149,1.5
Cade Cunningham,,125,6.5,,100,21.5,,-119,33.5,,-133,4.5,,-111,1.5
Jalen Duren,,,,,-120,12.5,,100,25.5,,-116,11.5,,,
Kristaps Porzingis,,,,,-110,19.5,,-125,28.5,,-137,6.5,,-175,2.5
Gary Trent Jr,,-143,2.5,,-120,18.5,,-112,24.5,,106,3.5,,-147,3.5
Shai Gilgeous-Alexander,,119,5.5,,-108,30.5,,-114,43.5,,115,5.5,,-114,1.5
Josh Giddey,,119,3.5,,-112,11.5,,-114,22.5,,-122,6.5,,151,0.5
Jalen Williams,,-132,4.5,,-114,19.5,,-114,29.5,,-133,4.5,,-135,1.5
Chet Holmgren,,-149,2.5,,-119,16.5,,-119,28.5,,-128,9.5,,-115,1.5
Kelly Olynyk,,-112,5.5,,-105,13.5,,-111,26.5,,-114,6.5,,-233,1.5
Bruce Brown Jr,,108,4.5,,-116,12.5,,-108,22.5,,-139,5.5,,112,0.5
Gradey Dick,,-154,2.5,,-120,12.5,,100,17.5,,128,2.5,,130,1.5
Luguentz Dort,,,,,-105,9.5,,-118,15.5,,110,3.5,,120,1.5
Ochai Agbaji,,,,,-130,11.5,,-118,16.5,,106,3.5,,-217,1.5
Darius Garland,,-101,6.5,,-125,20.5,,-110,29.5,,103,2.5,,-102,2.5
Anthony Edwards,,-127,4.5,,-115,29.5,,-108,40.5,,-114,6.5,,100,2.5
Caris LeVert,,-156,7.5,,-103,15.5,,-112,28.5,,-147,5.5,,113,1.5
Jarrett Allen,,-192,2.5,,-108,16.5,,-119,31.5,,-143,12.5,,,
Mike Conley,,103,4.5,,-123,11.5,,-114,19.5,,-169,3.5,,133,1.5
Kyle Anderson,,-154,5.5,,-111,9.5,,-116,20.5,,-145,5.5,,-435,0.5
Georges Niang,,,,,100,11.5,,-125,18.5,,-118,4.5,,-159,2.5
