Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Darius Garland,,102,6.5,,-120,21.5,-105,,31.5,-143,,2.5,,-154,3.5
Isaac Okoro,120,,2.5,110,,11.5,,-108,17.5,,-105,3.5,,-108,1.5
Jarrett Allen,,-189,2.5,-108,,15.5,-101,,31.5,100,,11.5,,,
Caris LeVert,,-143,7.5,,-105,15.5,,-115,28.5,130,,5.5,-167,,1.5
Georges Niang,,,,,-120,11.5,104,,18.5,,-118,4.5,,-122,2.5
Sam Merrill,,,,-123,,9.5,-110,,14.5,,116,2.5,,122,2.5
Tyrese Haliburton,-139,,10.5,-118,,20.5,-105,,35.5,,-167,4.5,,104,2.5
Andrew Nembhard,106,,3.5,,100,8.5,-120,,14.5,-125,,2.5,-182,,0.5
Pascal Siakam,-143,,3.5,-119,,21.5,-109,,33.5,-109,,7.5,-145,,0.5
T.J. McConnell,,-106,4.5,-105,,10.5,-116,,18.5,,-154,3.5,239,,0.5
Myles Turner,,,,-112,,16.5,-105,,25.5,,-143,7.5,134,,1.5
Obi Toppin,,,,,-127,8.5,-118,,13.5,,100,3.5,-172,,0.5
Ben Sheppard,,,,,-115,5.5,,-114,8.5,-192,,1.5,,-244,1.5
Aaron Nesmith,,,,,-105,13.5,100,,20.5,,-135,4.5,144,,2.5
Jalen Smith,,,,-130,,8.5,-116,,15.5,-115,,5.5,-200,,0.5
Jaylen Brown,,-169,3.5,-123,,23.5,-116,,33.5,,118,5.5,,-167,2.5
Jayson Tatum,,120,4.5,-105,,26.5,,-111,39.5,-135,,7.5,,-147,3.5
Jrue Holiday,,115,4.5,-102,,11.5,,-110,20.5,105,,4.5,-145,,1.5
Khris Middleton,,-143,4.5,,-119,15.5,-105,,24.5,,-154,4.5,-147,,1.5
Damian Lillard,-141,,7.5,,100,26.5,,-120,38.5,-123,,4.5,,-137,3.5
Patrick Beverley,-161,,2.5,-114,,5.5,,-114,12.5,,135,2.5,-149,,0.5
Jae Crowder,,,,,-130,6.5,-120,,11.5,-143,,3.5,,-145,1.5
Bobby Portis,,,,-133,,15.5,-112,,26.5,,-143,9.5,,-156,1.5
Brook Lopez,,,,-101,,11.5,-109,,18.5,-103,,5.5,-143,,1.5
Pat Connaughton,,,,-105,,5.5,-115,,10.5,,-116,3.5,144,,1.5
Malik Beasley,,,,,-143,11.5,-114,,16.5,,-130,3.5,-143,,2.5
Gary Trent Jr,122,,2.5,-123,,19.5,,-122,26.5,,-149,3.5,,-118,3.5
De'Aaron Fox,-115,,6.5,-105,,27.5,,-114,38.5,110,,5.5,,-123,2.5
Domantas Sabonis,110,,8.5,,-109,21.5,,-105,45.5,-105,,15.5,,-244,0.5
