Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Malik Monk,102,,5.5,-114,,18.5,-123,,27.5,-156,,3.5,,-149,2.5
Gradey Dick,,-135,2.5,,-120,13.5,-112,,19.5,-128,,3.5,149,,2.5
Keon Ellis,106,,2.5,,-102,6.5,-110,,13.5,,100,3.5,,-169,1.5
Kelly Olynyk,112,,6.5,-111,,14.5,-118,,26.5,-118,,6.5,,-233,1.5
Harrison Barnes,,,,-118,,13.5,,-112,18.5,-118,,3.5,-169,,1.5
Ochai Agbaji,,,,-105,,10.5,,-127,16.5,,-123,3.5,-233,,0.5
Keegan Murray,,,,100,,15.5,-114,,23.5,-118,,6.5,,145,1.5
Davion Mitchell,,,,,-115,4.5,,-112,7.5,-102,,1.5,,-102,0.5
Chris Duarte,,,,-114,,5.5,,-120,9.5,-114,,2.5,,-227,1.5
Jalen Williams,,-119,4.5,100,,20.5,,105,28.5,,-167,4.5,-135,,1.5
Chet Holmgren,,-133,2.5,,-114,16.5,,-130,27.5,,-120,8.5,,-120,1.5
Keyonte George,,120,4.5,-115,,19.5,-114,,28.5,-114,,3.5,,-111,2.5
Josh Giddey,128,,4.5,,100,11.5,-135,,21.5,,-175,6.5,,162,0.5
Shai Gilgeous-Alexander,110,,6.5,,103,30.5,-103,,43.5,,-111,5.5,,-135,1.5
Gordon Hayward,134,,2.5,-105,,5.5,-103,,10.5,,-120,2.5,144,,0.5
Luguentz Dort,,,,,-143,10.5,,,,102,,3.5,,-192,2.5
Taylor Hendricks,,,,,-143,10.5,,-116,18.5,-143,,6.5,,-135,1.5
John Collins,,,,,-112,15.5,,-112,25.5,-125,,8.5,-196,,0.5
Isaiah Joe,,,,,-130,8.5,-108,,11.5,,-133,2.5,-156,,1.5
Cason Wallace,,,,-127,,5.5,,-130,10.5,,-147,2.5,178,,1.5
Kenrich Williams,,,,,105,2.5,-112,,6.5,-109,,2.5,103,,0.5
Aaron Wiggins,,,,100,,4.5,,-130,7.5,,117,1.5,,-143,0.5
Jaylin Williams,,,,,108,2.5,,-123,7.5,,-175,3.5,,-123,0.5
Draymond Green,,107,5.5,,110,6.5,-116,,20.5,-108,,7.5,-101,,0.5
Jaren Jackson Jr,140,,3.5,-130,,22.5,-105,,32.5,118,,6.5,,120,1.5
Desmond Bane,-123,,5.5,,-116,23.5,,-143,34.5,-116,,4.5,,-179,3.5
Santi Aldama,,-105,2.5,,-120,12.5,-103,,22.5,-130,,6.5,-145,,1.5
Jonathan Kuminga,109,,2.5,-130,,18.5,,-122,26.5,128,,5.5,-123,,0.5
Klay Thompson,-185,,1.5,,-111,16.5,-105,,22.5,,-149,3.5,,-133,3.5
Stephen Curry,,122,4.5,,-119,26.5,,-127,36.5,-112,,4.5,-143,,4.5
Andrew Wiggins,,,,-103,,12.5,-122,,18.5,141,,5.5,,-175,1.5
Kawhi Leonard,-114,,3.5,,-115,24.5,,-122,34.5,,105,5.5,,150,1.5
Paul George,-103,,3.5,-103,,23.5,,-120,32.5,,-133,5.5,110,,3.5
James Harden,-110,,8.5,-125,,15.5,,-108,29.5,-156,,4.5,,-123,2.5
Anfernee Simons,,109,5.5,-110,,24.5,,-119,34.5,,-112,3.5,-154,,3.5
Scoot Henderson,,-108,5.5,,-103,15.5,,-118,25.5,,-115,3.5,136,,1.5
Kris Murray,117,,2.5,,-108,7.5,,-120,14.5,-147,,3.5,-175,,0.5
Terance Mann,,,,,-114,8.5,,-114,13.5,-103,,3.5,,148,0.5
Deandre Ayton,,,,-130,,20.5,,-106,35.5,,-108,12.5,,,
Ivica Zubac,,,,-133,,9.5,-109,,20.5,107,,9.5,,,
Norman Powell,,,,,-122,14.5,,-119,18.5,-141,,2.5,,-145,2.5
Toumani Camara,,,,,-130,8.5,102,,15.5,115,,5.5,-152,,0.5
Devin Booker,,-130,6.5,-114,,25.5,,-106,35.5,,-108,4.5,122,,2.5
Tyrese Maxey,-108,,5.5,-123,,28.5,-116,,37.5,,-104,3.5,,-169,3.5
Jusuf Nurkic,,-156,3.5,-106,,10.5,,-109,25.5,,105,11.5,,,
Bradley Beal,-135,,4.5,-130,,17.5,-114,,27.5,100,,4.5,100,,1.5
Grayson Allen,-110,,2.5,-110,,12.5,-119,,18.5,,-116,3.5,,108,2.5
Tobias Harris,,123,2.5,,-110,16.5,-114,,26.5,100,,6.5,120,,1.5
Kevin Durant,,-149,4.5,,100,24.5,,-114,36.5,-125,,6.5,,145,1.5
Royce O'Neale,,-185,2.5,-123,,5.5,-115,,12.5,,-130,4.5,106,,1.5
Kyle Lowry,,-114,4.5,-122,,7.5,,-109,15.5,-175,,2.5,,-141,1.5
Eric Gordon,,,,,-128,8.5,-112,,11.5,-120,,1.5,,106,1.5
Mohamed Bamba,,,,,102,4.5,,-123,11.5,,-141,5.5,-109,,0.5
Buddy Hield,,,,-120,,10.5,,,,,,,-102,,2.5
Kelly Oubre Jr,,,,-110,,17.5,-111,,24.5,110,,5.5,-111,,1.5
