Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Miles Bridges,,-156,3.5,,110,20.5,106,,31.5,106,,7.5,141,,2.5
Franz Wagner,,-128,3.5,,100,18.5,-130,,27.5,103,,5.5,132,,1.5
Jalen Suggs,,120,2.5,,110,10.5,-110,,17.5,-108,,3.5,-189,,1.5
Brandon Miller,,112,2.5,,-105,16.5,,-119,24.5,,-159,4.5,117,,2.5
Paolo Banchero,-122,,5.5,,-114,21.5,,-112,34.5,,116,6.5,,-132,1.5
Tre Mann,,-145,4.5,-127,,10.5,-115,,19.5,,-152,4.5,,-145,1.5
Vasilije Micic,120,,6.5,-125,,12.5,-125,,21.5,106,,2.5,,-204,1.5
Cole Anthony,100,,2.5,,-132,9.5,-108,,15.5,-105,,3.5,-172,,0.5
Markelle Fultz,,-179,2.5,-108,,6.5,-127,,11.5,-145,,2.5,,,
Wendell Carter Jr,,,,,-119,11.5,-130,,21.5,109,,8.5,167,,1.5
Gary Harris,,,,,-119,7.5,,-112,10.5,-167,,1.5,-108,,1.5
Nick Richards,,,,,-104,8.5,-112,,18.5,-108,,8.5,,,
Jonathan Isaac,,,,-112,,7.5,,-133,14.5,-118,,5.5,-169,,0.5
Kyle Kuzma,,-130,4.5,-111,,22.5,-112,,34.5,-109,,7.5,,-105,1.5
Jalen Green,-114,,3.5,,-125,26.5,-115,,36.5,-114,,6.5,-135,,2.5
Fred VanVleet,,-103,8.5,,-110,19.5,-112,,33.5,,-119,4.5,,130,2.5
Amen Thompson,,133,2.5,-123,,13.5,,-116,26.5,106,,9.5,,-476,0.5
Dillon Brooks,,,,,110,12.5,,-106,18.5,-154,,3.5,-137,,1.5
Jabari Smith Jr,,,,,-122,15.5,,-110,26.5,,-102,9.5,,-116,1.5
Jock Landale,,,,-115,,8.5,,-116,16.5,124,,6.5,,-312,0.5
Jeff Green,,,,-101,,6.5,-118,,9.5,-118,,2.5,,-110,0.5
Jae'sean Tate,,,,,-120,4.5,-120,,8.5,,121,2.5,,-286,0.5
Reggie Bullock,,,,-105,,3.5,-115,,7.5,,106,2.5,-149,,0.5
Aaron Holiday,,,,,-120,4.5,,-115,7.5,,-156,1.5,,-125,0.5
Nicolas Claxton,,-167,2.5,-106,,11.5,,-109,23.5,,-137,10.5,,,
Brandon Ingram,,-116,5.5,,-110,19.5,-119,,30.5,-102,,5.5,-217,,0.5
Zion Williamson,126,,5.5,-118,,23.5,,100,35.5,-130,,6.5,,,
Cam Thomas,103,,3.5,,-105,20.5,-109,,28.5,-112,,3.5,,-169,2.5
Herb Jones,,-175,2.5,,-103,8.5,-115,,14.5,-108,,3.5,158,,1.5
C.J. McCollum,,-130,3.5,-123,,15.5,,-120,24.5,,-154,4.5,-154,,2.5
Mikal Bridges,-132,,3.5,,-128,18.5,,-115,26.5,,-132,4.5,-105,,2.5
Dennis Schroder,-108,,6.5,-114,,13.5,-123,,22.5,,-110,2.5,-175,,1.5
Dorian Finney-Smith,,,,,103,7.5,,-120,14.5,-102,,4.5,-116,,1.5
Jose Alvarado,,,,-120,,5.5,,-127,10.5,132,,2.5,-233,,0.5
Naji Marshall,,,,,-128,6.5,,-105,11.5,,-115,3.5,,113,0.5
Larry Nance Jr,,,,,-115,5.5,,-115,12.5,,-152,5.5,,-500,0.5
Jonas Valanciunas,,,,-112,,8.5,-109,,18.5,,101,7.5,233,,0.5
Trey Murphy III,,,,,-120,14.5,-119,,20.5,,-116,4.5,,133,2.5
Devin Vassell,,114,4.5,,-112,21.5,-110,,31.5,-103,,4.5,,-112,2.5
Luka Doncic,100,,10.5,,-114,33.5,,-114,53.5,,-120,9.5,,108,3.5
Jeremy Sochan,,-102,2.5,,-120,13.5,-108,,23.5,-137,,6.5,-189,,0.5
Kyrie Irving,-175,,4.5,,-119,25.5,,-114,35.5,-137,,4.5,,135,2.5
Victor Wembanyama,118,,4.5,-122,,23.5,,-125,39.5,,-130,11.5,,147,1.5
Tre Jones,,-145,7.5,,-123,10.5,,-119,21.5,-125,,3.5,-135,,0.5
Keldon Johnson,146,,2.5,-108,,15.5,,-111,22.5,,110,4.5,115,,2.5
Blake Wesley,,-167,2.5,-135,,3.5,-120,,7.5,113,,1.5,,-455,0.5
Julian Champagnie,,,,-130,,5.5,,-119,10.5,-125,,2.5,,-189,1.5
Derrick Jones,,,,-108,,7.5,-118,,11.5,,128,2.5,,-102,0.5
P.J. Washington,,,,,-105,10.5,,-101,17.5,-105,,5.5,110,,1.5
Daniel Gafford,,,,-114,,10.5,-114,,19.5,,-112,7.5,,,
Malaki Branham,,,,,-106,6.5,,-115,10.5,,100,1.5,,127,0.5
Nikola Jokic,,-133,8.5,,-106,25.5,,-120,46.5,,-106,11.5,-213,,0.5
Jamal Murray,-135,,6.5,-137,,20.5,,-120,32.5,109,,4.5,-182,,1.5
Aaron Gordon,-179,,2.5,,100,12.5,,-114,22.5,,-147,6.5,,-149,0.5
Michael Porter Jr,,,,-106,,16.5,-110,,24.5,,-112,6.5,-116,,2.5
Kentavious Caldwell-Pope,,,,-125,,8.5,-125,,12.5,112,,2.5,,-172,1.5
