Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Brandon Ingram,,-145,6.5,,-111,21.5,,-108,33.5,,104,4.5,,-204,1.5
Jonas Valanciunas,,123,1.5,,-115,14.5,,-115,26.5,,-129,9.5,,-384,0.5
Myles Turner,,-214,1.5,,-117,17.5,,-119,26.5,,-109,7.5,,-125,1.5
Tyrese Haliburton,,-145,11.5,,-127,19.5,,-123,34.5,,-115,3.5,,118,2.5
Herbert Jones,,-131,2.5,,-117,12.5,,-137,19.5,,108,3.5,,-117,1.5
Pascal Siakam,,120,3.5,,-113,21.5,,-115,32.5,,-119,6.5,,-135,1.5
Zion Williamson,,106,5.5,,-117,25.5,,-104,37.5,,-103,5.5,,,
Andrew Nembhard,,116,3.5,,-119,10.5,,-148,17.5,,-131,2.5,,165,0.5
Jalen Smith,,,,,-129,8.5,,-121,14.5,,-151,5.5,,136,0.5
Josh Green,,-174,2.5,,-104,8.5,,-131,14.5,,-142,3.5,,-184,1.5
Gary Trent Jr.,,106,1.5,,-121,12.5,,-131,17.5,,-123,2.5,,-151,2.5
Kyrie Irving,,100,4.5,,-117,26.5,,-115,36.5,,-145,5.5,,126,2.5
Immanuel Quickley,,-121,5.5,,-131,19.5,,-137,29.5,,104,3.5,,118,2.5
Luka Doncic,,-123,9.5,,100,32.5,,104,50.5,,-121,8.5,,-103,3.5
PJ Washington,,110,1.5,,-111,11.5,,-104,18.5,,-115,5.5,,-157,1.5
Scottie Barnes,,-111,7.5,,-129,20.5,,-111,36.5,,126,7.5,,-244,1.5
Jakob Poeltl,,-139,2.5,,-106,11.5,,-113,23.5,,-145,9.5,,,
RJ Barrett,,100,3.5,,-127,20.5,,-127,30.5,,126,5.5,,-174,1.5
Dereck Lively II,,143,0.5,,-103,7.5,,-115,15.5,,-115,6.5,,,
Tim Hardaway Jr.,,,,,-111,11.5,,-123,16.5,,,,,143,1.5
Daniel Gafford,,,,,,,,-127,14.5,,102,5.5,,,
Coby White,,-137,5.5,,-117,20.5,,-125,31.5,,102,4.5,,112,2.5
Donovan Mitchell,,-117,5.5,,-111,25.5,,-125,36.5,,110,4.5,,-142,3.5
DeMar DeRozan,,-125,4.5,,-108,22.5,,-109,31.5,,-163,4.5,,123,0.5
Caris LeVert,,-166,4.5,,-113,11.5,,-106,19.5,,-101,3.5,,-160,1.5
Ayo Dosunmu,,-154,4.5,,-131,13.5,,-129,21.5,,-125,3.5,,-123,1.5
Jarrett Allen,,126,1.5,,-115,16.5,,-119,29.5,,104,10.5,,,
Max Strus,,-166,3.5,,-117,9.5,,-111,16.5,,108,3.5,,120,1.5
Nikola Vucevic,,-119,2.5,,-106,17.5,,-131,30.5,,-145,10.5,,-234,1.5
Evan Mobley,,-135,2.5,,100,13.5,,108,24.5,,118,8.5,,-264,0.5
Darius Garland,,136,5.5,,-113,15.5,,-101,23.5,,-163,2.5,,108,1.5
Isaac Okoro,,,,,,,,,,,,,,190,0.5
Georges Niang,,,,,,,,,,,,,,-160,1.5
Vince Williams Jr.,,-103,4.5,,-117,11.5,,-106,22.5,,-154,6.5,,-160,1.5
Jaren Jackson Jr.,,-117,2.5,,-137,23.5,,-151,31.5,,-151,5.5,,120,1.5
Santi Aldama,,-154,2.5,,-103,7.5,,-121,15.5,,-145,5.5,,-234,1.5
Ziaire Williams,,-174,2.5,,108,8.5,,-125,15.5,,-117,3.5,,-174,1.5
Rudy Gobert,,-214,1.5,,-121,14.5,,-109,29.5,,-139,14.5,,,
Mike Conley,,110,5.5,,-103,10.5,,-127,20.5,,110,2.5,,-169,2.5
Karl-Anthony Towns,,104,2.5,,-125,22.5,,-108,34.5,,-111,9.5,,-142,2.5
Anthony Edwards,,-123,5.5,,-111,27.5,,-115,39.5,,116,5.5,,-101,2.5
Gregory Jackson,,,,,-113,12.5,,-125,18.5,,-121,4.5,,-101,1.5
Lamar Stevens,,,,,,,,-111,12.5,,-148,4.5,,-254,0.5
Jamal Murray,,114,6.5,,-125,22.5,,-115,33.5,,108,3.5,,-163,2.5
De'Aaron Fox,,-157,6.5,,100,25.5,,106,35.5,,-174,4.5,,-154,2.5
Harrison Barnes,,102,0.5,,-117,10.5,,-129,14.5,,-121,2.5,,-148,1.5
Keegan Murray,,-179,1.5,,-121,12.5,,-129,19.5,,-157,5.5,,-106,1.5
Reggie Jackson,,-160,3.5,,,,,-133,13.5,,,,,108,0.5
Kentavious Caldwell-Pope,,104,1.5,,-101,9.5,,-117,14.5,,-121,2.5,,-121,1.5
Aaron Gordon,,-109,2.5,,-129,14.5,,-129,23.5,,106,5.5,,-125,0.5
Malik Monk,,-133,4.5,,-106,14.5,,-109,22.5,,,,,-101,1.5
Michael Porter Jr.,,-133,1.5,,-115,16.5,,-127,25.5,,-109,6.5,,-123,2.5
Kevin Huerter,,-189,2.5,,-129,11.5,,-113,17.5,,-106,3.5,,129,1.5
Nikola Jokic,,-109,9.5,,-111,26.5,,-113,49.5,,-111,12.5,,165,0.5
Domantas Sabonis,,133,7.5,,-123,18.5,,100,39.5,,-137,13.5,,-254,0.5
Trey Lyles,,,,,,,,,,,100,3.5,,143,0.5
Christian Braun,,,,,,,,,,,-129,3.5,,-160,0.5
