Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Peyton Watson,,,,,,,,,,,-123,3.5,,-131,0.5
Norman Powell,,-169,1.5,,-103,19.5,,-117,24.5,,-142,3.5,,110,2.5
LeBron James,,-123,7.5,,-123,24.5,,-103,39.5,,126,6.5,,114,1.5
Terance Mann,,-154,2.5,,-121,11.5,,-113,18.5,,-104,4.5,,-214,1.5
James Harden,,-115,8.5,,-108,20.5,,-113,35.5,,114,5.5,,-131,3.5
Austin Reaves,,-151,5.5,,-129,14.5,,-129,23.5,,-129,3.5,,-123,1.5
Kawhi Leonard,,104,3.5,,-104,26.5,,100,37.5,,-137,7.5,,-179,2.5
Rui Hachimura,,118,0.5,,-117,11.5,,-101,16.5,,120,3.5,,-224,1.5
Anthony Davis,,-104,2.5,,-115,24.5,,-125,41.5,,-109,13.5,,-157,0.5
D'Angelo Russell,,-106,5.5,,104,17.5,,-104,26.5,,112,2.5,,100,2.5
Ivica Zubac,,-154,1.5,,-135,12.5,,-119,23.5,,-103,9.5,,,
