Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Zion Williamson,,-116,4.5,,-114,22.5,,-114,33.5,,116,5.5,,,
Herb Jones,,-179,2.5,,-101,8.5,,-116,14.5,,-149,3.5,,-185,1.5
Jalen Suggs,,-103,2.5,,-118,11.5,,-114,17.5,,123,2.5,,-192,2.5
Brandon Ingram,,-143,5.5,,100,17.5,,100,28.5,,113,4.5,,173,0.5
Franz Wagner,,-139,3.5,,-116,17.5,,-114,26.5,,104,4.5,,-192,1.5
C.J. McCollum,,-145,3.5,,-114,16.5,,-105,22.5,,-112,3.5,,107,2.5
Paolo Banchero,,-137,5.5,,110,20.5,,-119,33.5,,-101,6.5,,-152,1.5
Cole Anthony,,-172,2.5,,-103,8.5,,-111,14.5,,-169,3.5,,120,0.5
Joe Ingles,,142,1.5,,120,2.5,,-104,6.5,,-130,1.5,,100,0.5
Jonathan Isaac,,,,,-125,6.5,,-118,11.5,,-139,4.5,,110,0.5
Moe Wagner,,,,,-128,7.5,,-127,12.5,,-102,3.5,,-303,0.5
Gary Harris,,,,,-135,6.5,,-102,8.5,,-127,1.5,,-149,1.5
Markelle Fultz,,,,,-108,5.5,,100,9.5,,-135,2.5,,,
Wendell Carter Jr,,,,,-101,10.5,,-118,20.5,,-109,7.5,,-233,1.5
Trey Murphy III,,,,,-119,12.5,,-111,18.5,,-154,4.5,,-108,2.5
Larry Nance Jr,,,,,-133,6.5,,-135,14.5,,-110,5.5,,-233,0.5
Jonas Valanciunas,,,,,101,7.5,,-119,16.5,,-105,6.5,,-303,0.5
Jose Alvarado,,,,,-141,5.5,,-115,8.5,,-112,1.5,,143,0.5
Naji Marshall,,,,,-123,5.5,,-123,10.5,,124,2.5,,-115,0.5
Deni Avdija,,106,3.5,,-122,16.5,,-118,28.5,,-141,8.5,,-172,1.5
De'Aaron Fox,,-159,6.5,,-120,27.5,,-108,37.5,,100,4.5,,-130,2.5
Kyle Kuzma,,-122,4.5,,100,22.5,,-106,32.5,,-104,6.5,,-108,1.5
Domantas Sabonis,,-139,8.5,,-120,22.5,,-114,45.5,,-114,15.5,,-278,0.5
Keon Ellis,,-185,2.5,,-114,6.5,,-125,12.5,,-125,3.5,,-147,1.5
Jordan Poole,,-149,5.5,,-114,17.5,,-114,25.5,,-108,2.5,,-169,2.5
Malik Monk,,-154,5.5,,-120,17.5,,-115,26.5,,110,3.5,,-175,2.5
Corey Kispert,,-141,2.5,,-110,14.5,,-119,20.5,,127,2.5,,-105,2.5
Harrison Barnes,,,,,-102,12.5,,-122,17.5,,-169,3.5,,-104,1.5
Keegan Murray,,,,,-118,14.5,,-123,21.5,,-147,6.5,,106,1.5
Cam Thomas,,-156,3.5,,-103,22.5,,-114,30.5,,-179,4.5,,-172,2.5
Dennis Schroder,,-135,6.5,,-105,13.5,,-115,23.5,,121,2.5,,115,1.5
Mikal Bridges,,-125,3.5,,-120,17.5,,104,25.5,,-111,4.5,,-139,2.5
Nicolas Claxton,,-172,2.5,,-118,10.5,,-111,22.5,,-104,9.5,,,
Nikola Vucevic,,-130,2.5,,-119,19.5,,-111,33.5,,-111,11.5,,-189,1.5
DeMar DeRozan,,-115,4.5,,-114,23.5,,-111,32.5,,-112,4.5,,149,0.5
Jalen Green,,-143,3.5,,-114,23.5,,-115,33.5,,128,5.5,,121,2.5
Amen Thompson,,122,2.5,,104,12.5,,-108,24.5,,-120,8.5,,-278,0.5
Fred VanVleet,,-116,8.5,,-122,17.5,,-106,29.5,,102,3.5,,115,2.5
Ayo Dosunmu,,-101,4.5,,-106,14.5,,-125,23.5,,104,3.5,,111,1.5
Jabari Smith Jr,,,,,-122,15.5,,100,25.5,,102,8.5,,-182,2.5
Dillon Brooks,,,,,-125,12.5,,100,16.5,,-167,3.5,,117,1.5
Jeff Green,,,,,-120,5.5,,-118,8.5,,120,1.5,,-120,0.5
Aaron Holiday,,,,,-112,4.5,,-112,7.5,,,,,-106,0.5
Jae'sean Tate,,,,,105,3.5,,-115,7.5,,-125,2.5,,-370,0.5
Jock Landale,,,,,104,7.5,,-116,14.5,,120,4.5,,-526,0.5
Luka Doncic,,-116,10.5,,-119,34.5,,-118,54.5,,-115,9.5,,-156,4.5
Kyrie Irving,,105,4.5,,-118,25.5,,-120,35.5,,113,4.5,,-167,3.5
Derrick Jones,,,,,-101,6.5,,-105,10.5,,123,2.5,,111,0.5
Daniel Gafford,,,,,-111,11.5,,-127,20.5,,-123,7.5,,,
P.J. Washington,,,,,-120,11.5,,104,17.5,,-111,5.5,,-115,1.5
Jamal Murray,,107,6.5,,-108,20.5,,-119,32.5,,-143,4.5,,-179,2.5
Kentavious Caldwell-Pope,,-189,2.5,,-127,9.5,,-103,13.5,,-149,2.5,,100,1.5
Isaiah Hartenstein,,-156,2.5,,-105,6.5,,-109,17.5,,-128,8.5,,,
Aaron Gordon,,-164,3.5,,-116,13.5,,-118,23.5,,-133,6.5,,-145,0.5
Jalen Brunson,,-105,5.5,,-108,27.5,,-123,37.5,,-152,3.5,,101,2.5
Donte DiVincenzo,,-112,2.5,,-108,15.5,,-103,22.5,,113,3.5,,-116,3.5
Reggie Jackson,,-175,2.5,,-125,5.5,,-108,8.5,,-204,1.5,,105,0.5
Nikola Jokic,,-145,8.5,,-118,25.5,,-118,46.5,,-104,12.5,,149,0.5
Josh Hart,,-149,5.5,,-122,11.5,,-130,28.5,,-130,10.5,,-227,1.5
Michael Porter Jr,,,,,-125,17.5,,-115,25.5,,-106,6.5,,-101,2.5
Peyton Watson,,,,,-125,5.5,,-125,9.5,,126,2.5,,-137,0.5
Christian Braun,,,,,-141,5.5,,-115,9.5,,-159,3.5,,-120,0.5
Alec Burks,,,,,-109,5.5,,-123,8.5,,-125,1.5,,169,0.5
Bojan Bogdanovic,,,,,-103,7.5,,-125,11.5,,-167,2.5,,-192,1.5
Devin Booker,,-103,6.5,,-110,25.5,,-119,37.5,,-102,4.5,,-172,2.5
Dejounte Murray,,-119,8.5,,-120,26.5,,-118,39.5,,-147,5.5,,-149,3.5
Bogdan Bogdanovic,,102,3.5,,-112,17.5,,-114,25.5,,-119,3.5,,-169,3.5
Kevin Durant,,-141,4.5,,100,24.5,,-118,36.5,,-112,6.5,,-167,2.5
Grayson Allen,,-103,2.5,,-118,14.5,,-123,21.5,,-114,3.5,,-119,3.5
Jusuf Nurkic,,-135,3.5,,-109,10.5,,-122,27.5,,-116,12.5,,,
Bradley Beal,,-154,5.5,,-114,17.5,,-125,27.5,,-120,4.5,,-123,1.5
Clint Capela,,,,,-119,11.5,,-122,23.5,,-123,10.5,,,
