Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Jalen Brunson,,-114,6.5,,-108,29.5,-114,,39.5,,-154,3.5,-132,,2.5
Josh Hart,104,,5.5,-109,,12.5,110,,29.5,-110,,10.5,158,,1.5
Donte DiVincenzo,,122,2.5,-116,,17.5,,-110,24.5,,109,3.5,,-103,3.5
Coby White,-167,,4.5,100,,19.5,,-119,29.5,-123,,4.5,-116,,2.5
Deni Avdija,-112,,4.5,,-106,17.5,-122,,30.5,-103,,8.5,100,,1.5
Nikola Vucevic,-159,,2.5,,-114,19.5,-130,,33.5,-103,,11.5,-250,,0.5
Corey Kispert,-143,,2.5,-119,,16.5,-123,,22.5,124,,3.5,,-154,3.5
DeMar DeRozan,,132,4.5,,-120,25.5,,-118,35.5,-132,,4.5,,150,0.5
Alex Caruso,,114,3.5,,-116,10.5,,-115,18.5,-147,,3.5,152,,2.5
Ayo Dosunmu,,102,4.5,,-127,16.5,,-115,24.5,110,,3.5,,110,1.5
Jordan Poole,,100,5.5,-120,,20.5,-120,,29.5,,-164,3.5,,135,2.5
Richaun Holmes,,,,-130,,9.5,-110,,19.5,,101,7.5,,,
Anfernee Simons,,-109,4.5,,-114,22.5,-109,,31.5,-132,,3.5,106,,3.5
Fred VanVleet,-167,,7.5,-108,,19.5,-105,,31.5,,102,3.5,,-109,3.5
Amen Thompson,,119,2.5,-108,,14.5,,-135,26.5,,-143,9.5,,-455,0.5
Jalen Green,-179,,2.5,-130,,26.5,-118,,35.5,-130,,5.5,,-132,3.5
Dillon Brooks,,,,,-114,12.5,,-114,18.5,,-149,3.5,,127,1.5
Deandre Ayton,,,,-123,,19.5,,-120,33.5,103,,12.5,,,
Devin Booker,106,,6.5,-123,,25.5,-110,,37.5,-109,,4.5,146,,2.5
Kevin Durant,-164,,3.5,,101,23.5,-122,,34.5,,-130,6.5,,-175,2.5
Bradley Beal,,-143,6.5,115,,17.5,,110,26.5,-143,,3.5,,-139,1.5
Victor Wembanyama,,111,3.5,,-114,22.5,,-118,37.5,-105,,10.5,-169,,1.5
Grayson Allen,,100,2.5,-103,,13.5,,-104,19.5,102,,3.5,,120,2.5
Jusuf Nurkic,-111,,3.5,,-114,10.5,,-110,25.5,,-135,11.5,,,
Devin Vassell,112,,4.5,-114,,19.5,,-120,28.5,122,,4.5,,-154,2.5
Tre Jones,,100,6.5,-130,,9.5,-115,,20.5,-110,,3.5,,125,0.5
Jeremy Sochan,,-105,2.5,,-118,12.5,-118,,21.5,103,,6.5,,145,0.5
Julian Champagnie,,,,-103,,5.5,,-120,9.5,-123,,2.5,146,,1.5
Lauri Markkanen,,-179,2.5,-118,,22.5,,-119,32.5,110,,7.5,-149,,2.5
Kyrie Irving,105,,5.5,-109,,24.5,,-115,34.5,-127,,4.5,,-159,3.5
Luka Doncic,,-118,10.5,,-111,33.5,110,,54.5,-108,,9.5,,-149,4.5
Keyonte George,-103,,5.5,,-125,16.5,-112,,25.5,110,,3.5,,-137,2.5
Daniel Gafford,,,,,105,13.5,,-104,21.5,103,,7.5,,,
Derrick Jones,,,,,-133,7.5,-103,,11.5,-154,,2.5,-123,,0.5
P.J. Washington,,,,-103,,11.5,-116,,17.5,-105,,5.5,,-110,1.5
Nikola Jokic,,100,8.5,,-110,26.5,115,,50.5,,-143,13.5,,160,0.5
Jamal Murray,,-132,7.5,-115,,21.5,,-114,33.5,,-156,4.5,,-175,2.5
Jaren Jackson Jr,,-109,2.5,-120,,21.5,-114,,29.5,,-108,5.5,,-122,1.5
Desmond Bane,,111,4.5,-115,,20.5,,-110,29.5,-154,,3.5,,-132,2.5
De'Aaron Fox,,-115,5.5,,-111,25.5,-112,,36.5,113,,5.5,-123,,2.5
Tyrese Maxey,106,,5.5,-106,,26.5,-111,,35.5,,-125,3.5,,108,2.5
Kelly Oubre Jr,144,,2.5,,-110,17.5,,-112,25.5,,-122,5.5,-109,,1.5
Tobias Harris,,128,2.5,-114,,17.5,,-106,27.5,-135,,6.5,,-145,1.5
Keon Ellis,136,,2.5,,-114,6.5,,-118,12.5,,-149,3.5,,-128,1.5
Domantas Sabonis,-147,,7.5,,-108,19.5,-109,,43.5,102,,15.5,,-175,0.5
Malik Monk,,101,4.5,-106,,16.5,-119,,24.5,-116,,3.5,-182,,1.5
Harrison Barnes,,,,-118,,12.5,-112,,17.5,-109,,3.5,,116,1.5
Keegan Murray,,,,,-123,15.5,-105,,23.5,,-137,6.5,100,,2.5
Mohamed Bamba,,,,,-127,6.5,,-109,13.5,,-141,6.5,,120,0.5
Paul George,-105,,3.5,,-109,23.5,,-109,32.5,,-139,5.5,,-169,3.5
Kawhi Leonard,130,,3.5,-111,,24.5,-122,,33.5,,-143,6.5,-120,,1.5
Tyrese Haliburton,,-133,10.5,-112,,18.5,,-118,33.5,,128,3.5,-111,,2.5
Andrew Nembhard,,-145,3.5,-106,,9.5,-114,,15.5,-118,,2.5,-208,,0.5
James Harden,,-141,9.5,,-115,16.5,-105,,31.5,109,,5.5,103,,2.5
Pascal Siakam,,-152,3.5,,-110,22.5,-103,,34.5,,102,7.5,,-112,0.5
Myles Turner,,,,-114,,14.5,,-116,22.5,110,,7.5,141,,1.5
Terance Mann,,,,,-135,9.5,100,,14.5,,-133,3.5,,135,0.5
Aaron Nesmith,,,,-105,,12.5,,-114,17.5,-154,,3.5,-167,,1.5
Ivica Zubac,,,,-110,,10.5,,-110,20.5,104,,9.5,,,
