Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Darius Garland,,-114,6.5,-111,,20.5,-122,,29.5,-103,,2.5,,-164,3.5
Miles Bridges,,-130,3.5,-112,,20.5,-109,,31.5,,-130,7.5,-154,,1.5
Jarrett Allen,,-141,2.5,,-114,17.5,,-108,31.5,-125,,11.5,,,
Brandon Miller,,-103,2.5,,-130,17.5,,-114,24.5,,-154,4.5,,-119,2.5
Caris LeVert,,107,6.5,,-114,15.5,,-130,27.5,,100,4.5,,117,1.5
Tre Mann,112,,4.5,,-123,10.5,-125,,18.5,-167,,3.5,,-217,1.5
Vasilije Micic,,117,4.5,,100,11.5,-118,,19.5,,-137,2.5,,-244,1.5
Isaac Okoro,-192,,1.5,-120,,9.5,,-122,15.5,128,,3.5,124,,1.5
Nick Richards,,,,-123,,9.5,-103,,20.5,,-127,9.5,,,
Bogdan Bogdanovic,,110,3.5,-114,,17.5,-118,,24.5,,-147,3.5,,-102,2.5
Jayson Tatum,103,,5.5,,-114,26.5,-105,,40.5,,-120,7.5,-169,,2.5
Jaylen Brown,104,,3.5,-130,,22.5,-106,,32.5,,-101,5.5,144,,2.5
Derrick White,134,,6.5,-130,,14.5,,103,25.5,,-139,4.5,,-125,2.5
Dejounte Murray,-130,,7.5,-125,,24.5,,100,38.5,-114,,5.5,,-175,3.5
De'Andre Hunter,,,,,-110,17.5,-103,,23.5,-132,,3.5,,133,1.5
Clint Capela,,,,,-108,10.5,-125,,21.5,100,,10.5,,,
Kristaps Porzingis,,,,-118,,19.5,-106,,27.5,104,,6.5,-196,,1.5
Gary Trent Jr,,-152,2.5,-108,,20.5,103,,27.5,128,,4.5,-169,,2.5
Mikal Bridges,,110,3.5,,-106,18.5,,-111,28.5,110,,5.5,,110,2.5
Gradey Dick,,-179,2.5,-119,,13.5,,-123,20.5,,110,3.5,,-169,2.5
Cam Thomas,,104,3.5,100,,24.5,,100,32.5,,-125,4.5,,-175,2.5
Dennis Schroder,,120,6.5,,-122,14.5,-105,,25.5,,-135,3.5,-141,,1.5
Ochai Agbaji,,-175,2.5,-130,,10.5,-109,,18.5,-143,,4.5,,-222,1.5
Nicolas Claxton,-192,,1.5,,-125,13.5,,-119,26.5,-105,,11.5,,,
Kelly Olynyk,-143,,5.5,-116,,13.5,-103,,27.5,-123,,6.5,,141,0.5
Dorian Finney-Smith,,,,100,,9.5,-102,,17.5,,109,5.5,,103,1.5
Cade Cunningham,100,,6.5,,-106,19.5,-109,,30.5,,106,3.5,,-103,1.5
Miles McBride,115,,3.5,,-122,14.5,,-111,20.5,,-130,2.5,,-119,2.5
Isaiah Hartenstein,117,,2.5,,-149,8.5,,-115,19.5,,-115,8.5,,,
Jaden Ivey,,130,2.5,-120,,14.5,,-109,20.5,,-105,2.5,,-130,1.5
