Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Brandon Miller,,-135,2.5,,-115,27.5,,-115,27.5,,-135,4.5,,114,2.5
Keyonte George,,-125,5.5,,-119,23.5,,-119,23.5,,114,2.5,,-127,2.5
Miles Bridges,,-142,4.5,,-117,34.5,,-117,34.5,,100,6.5,,-142,2.5
Tre Mann,,104,5.5,,-117,23.5,,-117,23.5,,-111,4.5,,-104,1.5
Cody Martin,,112,3.5,,-109,16.5,,-109,16.5,,-157,4.5,,159,0.5
Nick Richards,,129,0.5,,-121,20.5,,-121,20.5,,-135,8.5,,,
Vasilije Micic,,-142,4.5,,-109,12.5,,-109,12.5,,,,,-117,0.5
Lauri Markkanen,,106,1.5,,-117,34.5,,-117,34.5,,-106,8.5,,-166,3.5
Grant Williams,,,,,-125,18.5,,-125,18.5,,-148,4.5,,143,1.5
Talen Horton-Tucker,,,,,-142,12.5,,-142,12.5,,,,,-101,0.5
Seth Curry,,,,,,,,,,,,,,-154,1.5
Kyle Kuzma,,-115,3.5,,-121,29.5,,-121,29.5,,-145,6.5,,-199,2.5
Kentavious Caldwell-Pope,,120,1.5,,-133,15.5,,-133,15.5,,-119,2.5,,-109,1.5
Jamal Murray,,-148,7.5,,-127,32.5,,-127,32.5,,110,3.5,,-145,2.5
Reggie Jackson,,-117,3.5,,-127,14.5,,-127,14.5,,,,,129,0.5
Aaron Gordon,,106,2.5,,-108,23.5,,-108,23.5,,-123,6.5,,-119,0.5
Deni Avdija,,-111,3.5,,-104,26.5,,-104,26.5,,-119,7.5,,-160,1.5
Tyus Jones,,106,7.5,,-109,23.5,,-109,23.5,,-117,2.5,,-109,1.5
Michael Porter Jr.,,-133,1.5,,-119,24.5,,-119,24.5,,-111,6.5,,-104,2.5
Marvin Bagley III,,-154,1.5,,-103,21.5,,-103,21.5,,112,6.5,,,
Nikola Jokic,,-160,9.5,,-115,49.5,,-115,49.5,,-104,12.5,,152,0.5
Peyton Watson,,,,,,,,,,,-117,3.5,,-115,0.5
Christian Braun,,,,,,,,,,,-125,3.5,,-145,0.5
Landry Shamet,,,,,,,,,,,,,,-199,1.5
D'Angelo Russell,,114,6.5,,106,30.5,,106,30.5,,-117,3.5,,-174,3.5
Andrew Wiggins,,120,1.5,,-129,20.5,,-129,20.5,,-108,4.5,,-145,1.5
Jonathan Kuminga,,-104,2.5,,-121,27.5,,-121,27.5,,106,5.5,,-119,0.5
Draymond Green,,-133,6.5,,-133,25.5,,-133,25.5,,-121,7.5,,129,0.5
Brandin Podziemski,,-166,5.5,,-106,24.5,,-106,24.5,,110,6.5,,-129,1.5
Stephen Curry,,102,5.5,,-113,40.5,,-113,40.5,,-111,4.5,,-115,5.5
Austin Reaves,,-129,6.5,,-108,28.5,,-108,28.5,,-166,4.5,,136,1.5
Anthony Davis,,110,3.5,,-109,46.5,,-109,46.5,,100,13.5,,-113,0.5
Taurean Prince,,-145,1.5,,-115,15.5,,-115,15.5,,100,3.5,,120,1.5
Rui Hachimura,,-199,1.5,,-111,22.5,,-111,22.5,,-139,5.5,,-111,1.5
Klay Thompson,,,,,-151,21.5,,-151,21.5,,-160,3.5,,102,2.5
Lester Quinones,,,,,,,,,,,,,,146,0.5
Victor Wembanyama,,-129,3.5,,-123,37.5,,-123,37.5,,-139,10.5,,106,1.5
Julian Champagnie,,-244,1.5,,-108,8.5,,-108,8.5,,-123,2.5,,136,0.5
De'Aaron Fox,,-137,6.5,,106,36.5,,106,36.5,,-142,4.5,,-135,2.5
Malik Monk,,-160,5.5,,-127,26.5,,-127,26.5,,-125,3.5,,-145,2.5
Kevin Huerter,,-154,2.5,,-129,17.5,,-129,17.5,,-131,3.5,,-184,2.5
Jeremy Sochan,,-129,2.5,,-117,20.5,,-117,20.5,,100,5.5,,114,0.5
Domantas Sabonis,,104,8.5,,-109,44.5,,-109,44.5,,100,13.5,,-154,0.5
Keegan Murray,,106,1.5,,-117,22.5,,-117,22.5,,-111,5.5,,139,1.5
Harrison Barnes,,159,0.5,,-113,18.5,,-113,18.5,,108,3.5,,110,1.5
Blake Wesley,,-135,3.5,,,,,,,,,,,-284,0.5
Devin Vassell,,-157,4.5,,-129,29.5,,-129,29.5,,-169,4.5,,-125,2.5
Tre Jones,,-117,6.5,,-109,19.5,,-109,19.5,,-145,3.5,,-123,0.5
Keldon Johnson,,,,,-106,18.5,,-106,18.5,,100,4.5,,-151,1.5
Malaki Branham,,,,,-133,12.5,,-133,12.5,,,,,146,0.5
Trey Lyles,,,,,-121,13.5,,-121,13.5,,110,4.5,,-157,1.5
Zach Collins,,,,,-111,14.5,,-111,14.5,,-142,4.5,,-169,0.5
Davion Mitchell,,,,,,,,,,,,,,-137,0.5
Cedi Osman,,,,,,,,,,,,,,133,0.5
