Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Jalen Johnson,,-157,3.5,,-113,28.5,,-113,28.5,,-131,9.5,,-199,1.5
Dejounte Murray,,-111,5.5,,-117,32.5,,-117,32.5,,-160,5.5,,-145,2.5
Immanuel Quickley,,-106,5.5,,-137,29.5,,-137,29.5,,110,3.5,,-129,2.5
Scottie Barnes,,-119,7.5,,-115,37.5,,-115,37.5,,-133,8.5,,-184,1.5
Gary Trent Jr.,,104,1.5,,-117,17.5,,-117,17.5,,-154,2.5,,-133,2.5
RJ Barrett,,112,3.5,,-101,30.5,,-101,30.5,,106,5.5,,-199,1.5
Jakob Poeltl,,-151,2.5,,-117,24.5,,-117,24.5,,104,8.5,,,
Trae Young,,106,10.5,,-106,38.5,,-106,38.5,,106,2.5,,-148,3.5
Bogdan Bogdanovic,,,,,-113,19.5,,-113,19.5,,,,,-117,2.5
Donovan Mitchell,,-160,6.5,,-109,38.5,,-109,38.5,,-160,5.5,,-127,3.5
Paul Reed,,-121,1.5,,-106,18.5,,-106,18.5,,-111,8.5,,,
Tobias Harris,,-111,3.5,,-115,27.5,,-115,27.5,,106,5.5,,-224,1.5
Tyrese Maxey,,-166,6.5,,-139,35.5,,-139,35.5,,-148,3.5,,100,2.5
Jabari Smith Jr.,,-194,1.5,,-109,22.5,,-109,22.5,,-131,8.5,,-103,1.5
Alperen Sengun,,102,4.5,,-111,34.5,,-111,34.5,,-127,9.5,,-224,0.5
Fred VanVleet,,-103,6.5,,-129,24.5,,-129,24.5,,-157,3.5,,-139,2.5
Kevin Durant,,110,4.5,,-123,40.5,,-123,40.5,,-139,7.5,,-189,2.5
Amen Thompson,,-160,3.5,,-109,18.5,,-109,18.5,,-113,5.5,,-479,0.5
Jusuf Nurkic,,129,2.5,,-129,23.5,,-129,23.5,,-106,9.5,,-504,0.5
Devin Booker,,-157,6.5,,-101,39.5,,-101,39.5,,-119,4.5,,-194,2.5
Dillon Brooks,,-119,1.5,,-129,18.5,,-129,18.5,,-145,3.5,,114,1.5
Grayson Allen,,116,2.5,,-109,18.5,,-109,18.5,,-169,4.5,,-194,2.5
Jalen Green,,-151,3.5,,-106,23.5,,-106,23.5,,-135,4.5,,118,1.5
Cam Whitmore,,,,,-109,17.5,,-109,17.5,,112,3.5,,112,1.5
Jeff Green,,,,,,,,,,,,,,-189,0.5
Terance Mann,,120,1.5,,-109,12.5,,-109,12.5,,-154,3.5,,108,0.5
Santi Aldama,,-163,3.5,,-119,18.5,,-119,18.5,,-142,5.5,,120,1.5
Kawhi Leonard,,-121,3.5,,-117,33.5,,-117,33.5,,-145,6.5,,-148,2.5
Paul George,,-125,3.5,,-115,30.5,,-115,30.5,,-135,5.5,,-166,3.5
James Harden,,-108,7.5,,-111,29.5,,-111,29.5,,-119,5.5,,110,2.5
Ivica Zubac,,-244,1.5,,-109,21.5,,-109,21.5,,-108,9.5,,,
Jaren Jackson Jr.,,120,2.5,,-111,32.5,,-111,32.5,,108,4.5,,-174,2.5
Vince Williams Jr.,,-157,5.5,,-111,24.5,,-111,24.5,,-154,6.5,,-154,1.5
Jimmy Butler,,-125,5.5,,-119,32.5,,-119,32.5,,116,4.5,,-224,1.5
Bam Adebayo,,-169,4.5,,-108,35.5,,-108,35.5,,-109,10.5,,,
Brandon Ingram,,-151,6.5,,-123,32.5,,-123,32.5,,-142,5.5,,-115,1.5
Tyler Herro,,-123,4.5,,-111,27.5,,-111,27.5,,-106,4.5,,102,2.5
Zion Williamson,,-154,5.5,,-135,35.5,,-135,35.5,,100,5.5,,,
Duncan Robinson,,-174,3.5,,-129,19.5,,-129,19.5,,-137,2.5,,120,2.5
Shai Gilgeous-Alexander,,-148,7.5,,-109,43.5,,-109,43.5,,-123,5.5,,-244,1.5
Jalen Williams,,-103,4.5,,-123,30.5,,-123,30.5,,-131,4.5,,114,1.5
Chet Holmgren,,-111,2.5,,-111,26.5,,-111,26.5,,-123,8.5,,-129,1.5
Josh Giddey,,110,3.5,,-129,21.5,,-129,21.5,,-154,6.5,,129,0.5
Jordan Poole,,-179,3.5,,-113,19.5,,-113,19.5,,,,,129,1.5
Bilal Coulibaly,,-108,1.5,,-111,14.5,,-111,14.5,,-109,4.5,,129,0.5
Tyus Jones,,-109,8.5,,-131,24.5,,-131,24.5,,-108,2.5,,-104,1.5
Marvin Bagley III,,-199,1.5,,-109,19.5,,-109,19.5,,-111,6.5,,,
Deni Avdija,,-133,3.5,,-125,26.5,,-125,26.5,,-108,7.5,,-179,1.5
Kyle Kuzma,,-125,3.5,,-115,32.5,,-115,32.5,,-125,7.5,,-174,2.5
Luguentz Dort,,-169,1.5,,-113,16.5,,-113,16.5,,110,3.5,,116,1.5
Corey Kispert,,,,,-119,16.5,,-119,16.5,,,,,136,1.5
Aaron Wiggins,,,,,,,,,,,,,,106,0.5
Isaiah Joe,,,,,,,,,,,,,,-131,1.5
Cason Wallace,,,,,,,,,,,,,,159,0.5
Andrew Wiggins,,114,1.5,,-129,19.5,,-129,19.5,,-127,4.5,,-169,1.5
Jonathan Kuminga,,-131,2.5,,-103,24.5,,-103,24.5,,-129,5.5,,-127,0.5
Stephen Curry,,-157,6.5,,-115,39.5,,-115,39.5,,112,3.5,,100,5.5
Brandin Podziemski,,-166,5.5,,-121,24.5,,-121,24.5,,-123,6.5,,-131,1.5
Miles Bridges,,-131,4.5,,-121,35.5,,-121,35.5,,-115,7.5,,-111,2.5
Draymond Green,,-154,6.5,,-129,23.5,,-129,23.5,,106,6.5,,116,0.5
Nick Richards,,159,0.5,,-117,20.5,,-117,20.5,,-109,8.5,,,
Brandon Miller,,-121,2.5,,-117,27.5,,-117,27.5,,-129,4.5,,129,2.5
Cody Martin,,-115,3.5,,-127,16.5,,-127,16.5,,-151,4.5,,143,0.5
Aaron Gordon,,-125,2.5,,-115,23.5,,-115,23.5,,112,5.5,,-119,0.5
Jamal Murray,,104,6.5,,110,30.5,,110,30.5,,100,3.5,,-163,2.5
Nikola Jokic,,-157,9.5,,-113,47.5,,-113,47.5,,-103,12.5,,152,0.5
Jerami Grant,,-157,3.5,,-117,29.5,,-117,29.5,,106,3.5,,129,1.5
Deandre Ayton,,-104,1.5,,-125,27.5,,-125,27.5,,-133,10.5,,,
