Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Anfernee Simons,,-154,6.5,,-121,33.5,,-121,33.5,,-142,3.5,,-123,3.5
Michael Porter Jr.,,-154,1.5,,-125,23.5,,-125,23.5,,-157,6.5,,-121,2.5
Jae Crowder,,-174,1.5,,-109,9.5,,-109,9.5,,126,2.5,,139,0.5
Giannis Antetokounmpo,,-137,6.5,,-111,45.5,,-111,45.5,,-142,11.5,,-174,0.5
Damian Lillard,,-108,5.5,,-117,33.5,,-117,33.5,,-148,3.5,,114,2.5
Rudy Gobert,,-234,1.5,,-108,28.5,,-108,28.5,,-108,12.5,,,
Malik Beasley,,159,0.5,,-127,14.5,,-127,14.5,,118,2.5,,102,2.5
Karl-Anthony Towns,,-111,2.5,,-111,32.5,,-111,32.5,,-113,7.5,,-163,2.5
Anthony Edwards,,-129,5.5,,-121,38.5,,-121,38.5,,-119,5.5,,116,2.5
Brook Lopez,,-121,1.5,,-129,18.5,,-129,18.5,,-154,5.5,,110,1.5
Kyle Anderson,,-106,3.5,,-104,12.5,,-104,12.5,,-145,3.5,,,
Mike Conley,,-121,6.5,,-117,19.5,,-117,19.5,,112,2.5,,139,1.5
Jaden McDaniels,,-199,1.5,,-109,14.5,,-109,14.5,,114,2.5,,-148,1.5
Naz Reid,,,,,-121,15.5,,-121,15.5,,-160,4.5,,-145,1.5
Bobby Portis,,,,,-115,20.5,,-115,20.5,,108,6.5,,-254,1.5
Nickeil Alexander-Walker,,,,,,,,,,,,,,-199,1.5
Monte Morris,,,,,,,,,,,,,,-121,0.5
Julian Champagnie,,-199,1.5,,-121,9.5,,-121,9.5,,-113,2.5,,-234,1.5
Austin Reaves,,-142,5.5,,-104,24.5,,-104,24.5,,-123,3.5,,100,1.5
LeBron James,,-113,7.5,,-117,38.5,,-117,38.5,,-103,6.5,,-108,1.5
Jeremy Sochan,,-139,2.5,,-117,21.5,,-117,21.5,,104,5.5,,136,0.5
Anthony Davis,,129,2.5,,-115,41.5,,-115,41.5,,-115,13.5,,-166,0.5
Tre Jones,,100,6.5,,-121,20.5,,-121,20.5,,-160,3.5,,-119,0.5
Rui Hachimura,,159,0.5,,-129,18.5,,-129,18.5,,-111,4.5,,-194,1.5
Devin Vassell,,-123,4.5,,-121,30.5,,-121,30.5,,123,3.5,,-125,2.5
D'Angelo Russell,,-117,5.5,,-127,27.5,,-127,27.5,,-174,3.5,,112,2.5
Victor Wembanyama,,-121,3.5,,-115,36.5,,-115,36.5,,100,9.5,,102,1.5
Keldon Johnson,,,,,-125,19.5,,-125,19.5,,-148,4.5,,-148,1.5
